,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
650,ISOTRETINOINA SISTEMICA,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,$ 27.999,18%,$ 22.959
651,ISOTRETINOINA SISTEMICA,INFLADER 10mg X30CAP.,PHARMA INVESTI,$ 24.399,20%,$ 19.519
652,ISOTRETINOINA SISTEMICA,INFLADER 20mg X30CAP.,PHARMA INVESTI,$ 36.399,20%,$ 29.119
653,ISOTRETINOINA SISTEMICA,ROACNETAN (R) 20mg X30CAP.,CLINICAL MARKET,$ 50.799,44%,$ 28.447
654,ISOTRETINOINA SISTEMICA,ROACNETAN (R) 10mg X30CAP.,CLINICAL MARKET,$ 38.499,51%,$ 18.865
655,JERINGAS,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,$ 699,83%,$ 119
656,JERINGAS,JERINGA DESECH.3ml X1UNID.,MEDCELL ACCESORIOS,$ 799,92%,$ 64
657,KETOCONAZOL CAPILAR,FINDER 2% SH.X100ml,MEDIPHARM,$ 14.699,52%,$ 7.056
658,KETOPROFENO,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,$ 5.699,25%,$ 4.274
659,KETOPROFENO,PROFENID (R) 100mg X10COM.,SANOFI,$ 13.499,32%,$ 9.179
660,KETOPROFENO,TALFLEX 50mg X10COM.REC.,BAGO,$ 7.599,39%,$ 4.635
661,KETOPROFENO,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,$ 2.199,52%,$ 1.056
662,KETOPROFENO,TALFLEX BI 150mg X14COM.LIB.SOST.,BAGO,$ 13.499,54%,$ 6.210
663,KETOROLACO,BURTEN 10mg X10COM.,LABORATORIO CHILE,$ 13.199,20%,$ 10.559
664,KETOROLACO,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,$ 21.699,20%,$ 17.359
665,KETOTIFENO OFTALMICO,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,$ 28.699,15%,$ 24.394
666,KETOTIFENO OFTALMICO,OFTALER 0.025% OFT.10ml,SAVAL S.A.,$ 26.299,15%,$ 22.354
667,L-ACETILCARNITINA,ACTIGERON 500mg COMP.X30,BAGO,$ 37.799,37%,$ 23.813
668,LACOSAMIDA,ALDINAM 200mg X30COM.REC.,RECALCINE,$ 68.499,15%,$ 58.224
669,LACOSAMIDA,ALDINAM 50mg X30COM.REC.,RECALCINE,$ 23.999,15%,$ 20.399
670,LACOSAMIDA,ALDINAM 100mg X30COM.REC.,RECALCINE,$ 42.499,30%,$ 29.749
671,LACTASA,DIOLASA X30COM.,ANDROMACO FARMA,$ 15.999,20%,$ 12.799
672,LACTASA,DIOLASA VAINILLA X30COM.MAST.,ANDROMACO FARMA,$ 15.599,20%,$ 12.479
673,LACTASA,DIAVITAL LACTASA X60COM.,MAVER FARMA,$ 16.899,20%,$ 13.519
674,LACTOBACILLUS ACIDOPHILUS,BIOLACTUS 1g PVO.X6SOB.,SYNTHON,$ 9.999,30%,$ 6.999
675,LACTULOSA,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,$ 39.899,40%,$ 23.939
676,LACTULOSA,LACTULOSA 65% SOL.ORAL 200ml,RECETARIO,$ 7.799,50%,$ 3.900
677,LAMIVUDINA+ZIDOVUDINA,LAMIVUDINA/ZIDOVUDINA (B) X60COM.,OPKO,$ 74.899,24%,$ 56.923
678,LAMOTRIGINA,LAFIGIN (B) 25mg X30COM.,RECALCINE,$ 15.999,15%,$ 13.599
679,LAMOTRIGINA,DAKSOL (B) 25mg X28COM.,EXELTIS CHILE,$ 12.399,15%,$ 10.539
680,LAMOTRIGINA,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,$ 31.699,15%,$ 26.944
681,LAMOTRIGINA,LAFIGIN (B)100mg X30COM.,RECALCINE,$ 39.999,15%,$ 33.999
682,LAMOTRIGINA,DAKSOL (B) 100mg X28COM.,EXELTIS CHILE,$ 40.099,20%,$ 32.079
683,LAMOTRIGINA,DAKSOL (B) 50mg X28COM.,EXELTIS CHILE,$ 26.199,20%,$ 20.959
684,LAMOTRIGINA,TRADOX (B) 50mg X30COM.,ANDROMACO FARMA,$ 33.399,24%,$ 25.383
685,LAMOTRIGINA,LAMICTAL (R) 100mg COMP.X30,GLAXO,$ 60.499,28%,$ 43.559
686,LAMOTRIGINA,TRADOX (B) 25mg X30COM.,ANDROMACO FARMA,$ 20.399,30%,$ 14.279
687,LAMOTRIGINA,LETICO (B) 100mg X30COM.,EUROFARMA CHILE S.A.,$ 20.499,30%,$ 14.349
688,LAMOTRIGINA,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,$ 59.999,30%,$ 41.999
689,LAMOTRIGINA,TRADOX (B) 100mg X30COM.,ANDROMACO FARMA,$ 42.599,31%,$ 29.393
690,LAMOTRIGINA,LAMICTAL (R) 25mg X30COM.,GLAXO,$ 26.399,32%,$ 17.951
691,LAMOTRIGINA,DAKSOL (B) 200mg X28COM.,EXELTIS CHILE,$ 53.399,35%,$ 34.709
692,LAMOTRIGINA,MEGANOX 200mg X30COM.DISP.,ETEX FARMACEUTICA LTDA.,$ 82.499,36%,$ 52.799
693,LAMOTRIGINA,TRIGILAB (B) 50mg X30COM.,INTERPHARMA,$ 7.999,44%,$ 4.479
694,LAMOTRIGINA,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,$ 7.099,53%,$ 3.337
695,LAMOTRIGINA,TRIGILAB (B) 100mg X30COM.,INTERPHARMA,$ 21.999,54%,$ 10.120
696,LAMOTRIGINA,LAMOTRIGINA (B) 100mg X30COM.DISP.,LABORATORIO CHILE,$ 12.099,65%,$ 4.235
697,LANSOPRAZOL,LANZOPRAL 30mg X30CAP.,PHARMA INVESTI,$ 28.399,20%,$ 22.719
698,LANSOPRAZOL,LANSOPRAZOL (B) 30mg X30CAP,LABORATORIO CHILE,$ 3.899,30%,$ 2.729
699,LANSOPRAZOL,LANZOPRAL 30 DB X14COM.,PHARMA INVESTI,$ 19.499,41%,$ 11.504
700,LATANOPROST,XALATAN SOL.OFT.2.5ml,PFIZER,$ 43.999,27%,$ 32.119
701,LATANOPROST,"LATANOPROST (B) 50mcg/ml SOF.X2,5ml",OPKO,$ 8.999,45%,$ 4.949
702,LATANOPROST + TIMOLOL,LOUTEN T SOL.OFT.2.5ml,PHARMA INVESTI,$ 17.599,34%,$ 11.615
703,LETROZOL,(B) LETROVITAE 2.5mg COMP. X30,GALENICUM HEALTH CHILE SPA,$ 45.199,25%,$ 33.899
704,LEVETIRACETAM,KOPODEX XR 500mg X30COM.,RECALCINE,$ 26.099,15%,$ 22.184
705,LEVETIRACETAM,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,$ 19.999,18%,$ 16.399
706,LEVETIRACETAM,LEOVAL SOL.100mg X300ml,SAVAL S.A.,$ 29.699,24%,$ 22.571
707,LEVETIRACETAM,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,$ 24.499,30%,$ 17.149
708,LEVETIRACETAM,KREDIT (B) 1000mg X30COM.REC.,PHARMA INVESTI,$ 39.899,34%,$ 26.333
709,LEVETIRACETAM,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,$ 47.999,40%,$ 28.799
710,LEVETIRACETAM,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$ 35.599,42%,$ 20.647
711,LEVETIRACETAM,LEVEVITAE (B) 500mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$ 20.299,43%,$ 11.570
712,LEVOCETIRIZINA,XUZAL (B) 5mg/ml GTAS.X20ml,GLAXO,$ 16.099,40%,$ 9.659
713,LEVOCETIRIZINA,LEVORIGOTAX 5mg/ml GTAS.X20ml,PRATER,$ 11.699,61%,$ 4.563
714,LEVOCETIRIZINA,LEVORIGOTAX (B) 5mg X60COM.REC.,PRATER,$ 13.799,65%,$ 4.830
715,LEVODOPA + BENZERAZIDA,PROLOPA 200/50 X30COM.,ROCHE,$ 30.999,35%,$ 20.149
716,LEVODOPA + CARBIDOPA,LEVOFAMIL 250/25 X30COM.,ANDROMACO FARMA,$ 23.799,15%,$ 20.229
717,LEVODOPA + CARBIDOPA,GRIFOPARKIN X30COM.,LABORATORIO CHILE,$ 18.699,50%,$ 9.350
718,LEVOFLOXACINO,NOVACILINA 750mg X10COM.REC.,TECNOFARMA LTDA.,$ 21.299,13%,$ 18.530
719,LEVOFLOXACINO,QUINOBIOT (B) 750mg X10COM.REC.,ANDROMACO FARMA,$ 19.899,19%,$ 16.118
720,LEVOFLOXACINO,AUXXIL (B) 750mg X7COM.REC.,LABORATORIO CHILE,$ 22.799,33%,$ 15.275
721,LEVOFLOXACINO,LEVOXIN (B) 500mg X7COM.,EUROFARMA CHILE S.A.,$ 16.799,34%,$ 11.087
722,LEVOFLOXACINO,RECAMICINA (B) 500mg X10COM.REC.,ABBOTT ETICO,$ 23.199,35%,$ 15.079
723,LEVONORGESTREL + ETINILESTRADIOL,MICROGYNON-CD GRAG.X28,BAYER ETICO,$ 9.599,12%,$ 8.447
724,LEVONORGESTREL + ETINILESTRADIOL,NORVETAL 20 CD COMP.X28,ABBOTT ETICO,$ 11.699,50%,$ 5.850
725,LEVOSULPIRIDA,LEVOGASTROL 25mg COM.X30,FAES FARMA CHILE,$ 31.099,42%,$ 18.037
726,LEVOTIROXINA,EUTIROX (R) 100mcg X100TAB.,MERCK SA CHILE,$ 15.999,17%,$ 13.279
727,LEVOTIROXINA,T4-BAGO (B) 150mcg X50COM.FLEXIDOSIS,BAGO,$ 11.299,19%,$ 9.152
728,LEVOTIROXINA,T4-BAGO (B) 100mcg X50COM.FLEXIDOSIS,BAGO,$ 6.399,22%,$ 4.991
729,LEVOTIROXINA,EUTIROX (R) 100mcg X50TAB.,MERCK SA CHILE,$ 10.199,30%,$ 7.139
730,LEVOTIROXINA,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,$ 17.699,31%,$ 12.212
731,LEVOTIROXINA,T4-BAGO (B) 75mcg X50COM.FLEXIDOSIS,BAGO,$ 7.899,32%,$ 5.371
732,LEVOTIROXINA,EUTIROX (R) 125mcg X50TAB.,MERCK SA CHILE,$ 15.999,32%,$ 10.879
733,LEVOTIROXINA,EUTIROX (R) 75mcg X50COM.,MERCK SA CHILE,$ 12.399,35%,$ 8.059
734,LEVOTIROXINA,EUTIROX (R) 88mcg X50COM.,MERCK SA CHILE,$ 13.099,36%,$ 8.383
735,LEVOTIROXINA,(R) EUTIROX 25mcg COMP.X50,MERCK SA CHILE,$ 11.199,37%,$ 7.055
736,LEVOTIROXINA,EUTIROX (R) 112mcg X50COM.,MERCK SA CHILE,$ 15.999,38%,$ 9.919
737,LEVOTIROXINA,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,BAGO,$ 7.799,40%,$ 4.679
738,LEVOTIROXINA,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,$ 19.699,43%,$ 11.228
739,LEVOTIROXINA,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,$ 23.999,43%,$ 13.679
740,LEVOTIROXINA,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,$ 23.699,45%,$ 13.034
741,LEVOTIROXINA,EUTIROX (R) 50mcg X50TAB.,MERCK SA CHILE,$ 11.899,50%,$ 5.950
742,LIDOCAINA CLORHIDRATO,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,$ 1.499,60%,$ 600
743,LINAGLIPTINA,TRAYENTA 5mg COMP.X30,BOEHRINGER INGELHEIM,$ 48.099,33%,$ 32.226
744,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5/1000 X60COM.,BOEHRINGER INGELHEIM,$ 47.099,24%,$ 35.795
745,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5mg/500 COMP.X60,BOEHRINGER INGELHEIM,$ 44.799,30%,$ 31.359
746,LIRAGLUTIDA,VICTOZA 6mg/ml PENFILL 3ml,NOVONORDISK,$ 81.699,21%,$ 64.542
747,LISDEXANFETAMINA,SAMEXID 30mg CAPS.X30,RECALCINE,$ 51.999,15%,$ 44.199
748,LISDEXANFETAMINA,SAMEXID 50mg CAPS.X30,RECALCINE,$ 57.799,15%,$ 49.129
749,LISINOPRIL,TONO TENSIL 10mg X30COM.,LABORATORIO CHILE,$ 22.499,15%,$ 19.124
750,LISINOPRIL,ACERDIL 20mg X30COM.REC.,RECALCINE,$ 35.699,15%,$ 30.344
751,LISINOPRIL,ACERDIL 5mg X30COM.REC.,RECALCINE,$ 13.499,15%,$ 11.474
752,LISINOPRIL,ACERDIL 10mg X30COM.,ABBOTT ETICO,$ 24.999,18%,$ 20.499
753,LISINOPRIL + HIDROCLOROTIAZIDA,ACERDIL D X30COM.,RECALCINE,$ 34.999,32%,$ 23.799
754,LITIO CARBONATO,KALITIUM (R) 300mg X50COM.REC,EUROFARMA CHILE S.A.,$ 10.399,18%,$ 8.527
755,LITIO CARBONATO,KALITIUM (R) 450mg X30COM.PROL.,EUROFARMA CHILE S.A.,$ 12.099,30%,$ 8.469
756,LITIO CARBONATO,CARBORON 300mg X50COM.,PHARMA INVESTI,$ 20.599,60%,$ 8.240
757,"L-METIONINA, L-CISTEÍNA, QUELATO DE ZINC",VANTUX MAX CAPS.X60,PHARMA INVESTI,$ 19.399,31%,$ 13.385
758,LOPERAMIDA,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,$ 1.099,75%,$ 275
759,LORATADINA,LORATADINA (B)1 0mg X30COM.,LABORATORIO CHILE,$ 1.499,71%,$ 435
760,LORATADINA + PSEUDOEFEDRINA,FRENALER D JBE.X100ml,LABORATORIO CHILE,$ 16.499,20%,$ 13.199
761,LORATADINA + PSEUDOEFEDRINA,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,$ 18.499,20%,$ 14.799
762,LORATADINA + PSEUDOEFEDRINA,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,$ 21.499,20%,$ 17.199
763,LORATADINA + PSEUDOEFEDRINA,ALLEDRYL D JBE.X120ml,PRATER,$ 7.199,20%,$ 5.759
764,LORAZEPAM,(B) LORAZEPAM 2mg COMP.X30,LABORATORIO CHILE,$ 1.999,42%,$ 1.159
765,LORCASERINA,REPENTIL 10mg COM.X30,TECNOFARMA LTDA.,$ 24.399,37%,$ 15.371
766,LOSARTAN,CORODIN (B) 100mg X30COM.,RECALCINE,$ 20.499,7%,$ 19.064
767,LOSARTAN,SIMPERTEN (B) 50mg X30COM.,LABORATORIO CHILE,$ 7.499,29%,$ 5.324
768,LOSARTAN,COZAAR (R) 100mg X30COM.,MSD-ORGANON,$ 26.399,54%,$ 12.144
769,LOSARTAN,COZAAR (R) 50mg X30COM.,MSD-ORGANON,$ 25.499,55%,$ 11.475
770,LOSARTAN,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,$ 8.099,63%,$ 2.997
771,LOSARTAN,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,$ 2.599,74%,$ 676
772,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 100/25 X30COM.,EUROFARMA CHILE S.A.,$ 2.999,30%,$ 2.099
773,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 50/12.5 X30COM.REC.,ASCEND LABORATORIES SPA,$ 6.399,30%,$ 4.479
774,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROC (B) 50/12.5 X30COM.REC,OPKO,$ 5.499,30%,$ 3.849
775,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 50/12.5 X30COM.REC.,LABORATORIO CHILE,$ 26.499,33%,$ 17.754
776,LOSARTAN + HIDROCLOROTIAZIDA,CORODIN D FTE.X30COM.REC.,RECALCINE,$ 28.499,34%,$ 18.809
777,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 100/25 X30COM.REC.,LABORATORIO CHILE,$ 28.499,35%,$ 18.524
778,LOSARTAN + HIDROCLOROTIAZIDA,HYZAAR FORTE 100/25 X30COM.REC.,MSD-ORGANON,$ 23.799,56%,$ 10.472
779,LOSARTAN + HIDROCLOROTIAZIDA,HYZAAR 50/12.5 X30TAB.,MSD-ORGANON,$ 23.199,57%,$ 9.976
780,LOTEPREDNOL ETABONATO,OFTOL 0.2% SOL.OFT.5ml,SAVAL S.A.,$ 22.899,28%,$ 16.487
781,LOVASTATINA,LOVASTATINA (B) 20mg X28COM.,LABORATORIO CHILE,$ 2.199,70%,$ 660
782,LUTEINA/ZEAXANTINA,ICAPS TABS.X60,ALCON CHILE LTDA.OTC,$ 38.599,42%,$ 22.387
783,MACROGOL,LAX PVO.X7SOB.,ANDROMACO FARMA,$ 14.099,41%,$ 8.318
784,MACROGOL,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,$ 22.199,46%,$ 11.987
785,MACROGOL + PROPILENGLICOL,SYSTANE ULTRA SOL.OFT.10ml,ALCON CHILE LTDA.OTC,$ 20.099,17%,$ 16.682
786,MAGALDRATO + SIMETICONA,ANTIAX X24COM.MASTICABLES,SAVAL S.A.,$ 11.599,44%,$ 6.495
787,MAGALDRATO + SIMETICONA,ANTIAX S.O.X180ml,SAVAL S.A.,$ 18.599,49%,$ 9.485
788,MEBENDAZOL,MEBENDAZOL 100mg X6COM.,HOSPIFARMA,$ 1.799,43%,$ 1.025
789,MEBEVERINA,DUSPATALIN 200mg X30CAP.,RECALCINE,$ 23.499,30%,$ 16.449
790,MEBEVERINA,EVADOL XR 200mg X30CAP.PROL.,ANDROMACO FARMA,$ 27.399,31%,$ 18.905
791,MEBEVERINA,DOLOVERINA 200mg X20COM.,SAVAL S.A.,$ 29.099,40%,$ 17.459
792,MEDROXIPROGESTERONA,PRODASONE (R) 5mg X20COM.,PFIZER,$ 15.599,15%,$ 13.259
793,MELATONINA,VIGISOM 2mg COM.X30,PHARMASAN S.A.,$ 36.499,17%,$ 30.294
794,MELATONINA,MELATONINA 3mg CAPS.X30,OTROS SUPLEMENTOS,$ 7.999,55%,$ 3.600
795,MELOXICAM,MELOXICAM (B) 15mg X10COM.,LABORATORIO CHILE,$ 1.999,76%,$ 480
796,MEMANTINA,NEUROPRON FT 20mg X30COM.BUC.,ANDROMACO FARMA,$ 53.699,23%,$ 41.348
797,MEMANTINA,EBIXA 20mg X28COM.REC.,LUNDBECK,$ 109.799,25%,$ 82.349
798,MEMANTINA,EUTEBROL (B) 20mg X30COM.,TECNOFARMA LTDA.,$ 34.699,26%,$ 25.677
799,MEMANTINA,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,$ 49.999,30%,$ 34.999
800,MEMANTINA,MEMANVITAE (B) 10mg X56COM.REC,GALENICUM HEALTH CHILE SPA,$ 27.099,30%,$ 18.969
801,MEMANTINA,VIVIMEX 20 20mg X30COM.REC.,PHARMA INVESTI,$ 44.399,41%,$ 26.195
802,MEMANTINA,VIVIMEX 10mg X60COM.REC.,PHARMA INVESTI,$ 37.599,42%,$ 21.807
803,MESALAZINA,SALOFALK 500mg COMP.X100,BIOTOSCANA,$ 113.299,16%,$ 95.171
804,MESALAZINA,PENTASA 1g X50SOB.,FERRING,$ 96.499,17%,$ 80.094
805,MESALAZINA,PENTASA 2g X30SOB.,FERRING,$ 105.299,20%,$ 84.239
806,MESALAZINA,PENTASA 500mg X100COM.,FERRING,$ 92.999,20%,$ 74.399
807,MESALAZINA,MECOLZINE 500mg COMP.X100,FAES FARMA CHILE,$ 77.399,29%,$ 54.953
808,METAMIZOL MAGNESICO + PARGEVERINA CLORHI,BEVITEX CPTO.GTAS X30ml,PRATER,$ 6.599,23%,$ 5.081
809,METAMIZOL MAGNESICO + PARGEVERINA CLORHI,VIADIL CPTO.GTAS.X15ml,PHARMA INVESTI,$ 9.099,25%,$ 6.824
810,METFORMINA,GLIFORTEX (B) 850mg X60COM.REC.,ANDROMACO FARMA,$ 17.099,15%,$ 14.534
811,METFORMINA,GLIFORTEX XR (B) 750 X30COM.PROL.,ANDROMACO FARMA,$ 13.199,20%,$ 10.559
812,METFORMINA,HIPOGLUCIN LP (B) 750mg X60COM.,LABORATORIO CHILE,$ 21.899,23%,$ 16.862
813,METFORMINA,GLIFORTEX XR (B) 1000 X30COM.PROL.,ANDROMACO FARMA,$ 15.899,23%,$ 12.242
814,METFORMINA,HIPOGLUCIN LP (B) 1000mg X60COM.,LABORATORIO CHILE,$ 25.499,24%,$ 19.379
815,METFORMINA,GLIFORTEX (B) 850mg X30COM.REC.,ANDROMACO FARMA,$ 13.399,24%,$ 10.183
816,METFORMINA,HIPOGLUCIN LP (B) 500mg X60COM.PROL.,LABORATORIO CHILE,$ 13.099,24%,$ 9.955
817,METFORMINA,GLIFORTEX XR 500 X30COM.PROL.,ANDROMACO FARMA,$ 8.899,24%,$ 6.763
818,METFORMINA,HIPOGLUCIN (B) 850mg X30COM.REC.,LABORATORIO CHILE,$ 9.199,25%,$ 6.899
819,METFORMINA,(R) GLAFORNIL XR 500 COMP.X30,MERCK SA CHILE,$ 11.999,25%,$ 8.999
820,METFORMINA,GLAFORNIL (R) 850mg X30COM.,MERCK SA CHILE,$ 15.999,27%,$ 11.679
821,METFORMINA,HIPOGLUCIN LP (B) 1000mg X30COM.,LABORATORIO CHILE,$ 15.599,29%,$ 11.075
822,METFORMINA,HIPOGLUCIN LP (B) 750mg X30COM.,LABORATORIO CHILE,$ 13.299,30%,$ 9.309
823,METFORMINA,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,$ 9.899,30%,$ 6.929
824,METFORMINA,GLIDANIL (B) 500mg X30COM.REC.,MEDIPHARM,$ 3.699,30%,$ 2.589
825,METFORMINA,GLAFORNIL (R) 1000mg X30COM.,MERCK SA CHILE,$ 26.299,34%,$ 17.357
826,METFORMINA,GLAFORNIL XR (R) 1000 X30COM.PROL.,MERCK SA CHILE,$ 26.799,35%,$ 17.419
827,METFORMINA,HIPOGLUCIN (B) 1g X30COM.REC.,LABORATORIO CHILE,$ 18.599,35%,$ 12.089
828,METFORMINA,HIPOGLUCIN LP (B) 500mg X30COM.PROL.,LABORATORIO CHILE,$ 8.999,35%,$ 5.849
829,METFORMINA,HIPOGLUCIN (B) 850mg X60COM.REC.,LABORATORIO CHILE,$ 16.799,35%,$ 10.919
830,METFORMINA,(R) GLAFORNIL XR 750 COMP.X30,MERCK SA CHILE,$ 23.399,39%,$ 14.273
831,METFORMINA,GLIDANIL (B) 850mg X30COM.REC.,MEDIPHARM,$ 4.499,40%,$ 2.699
832,METFORMINA,GLAUPAX (B) 850mg X30COM.REC.,PASTEUR,$ 6.399,53%,$ 3.008
833,METFORMINA,GLAUPAX XR (B) 1000mg X30COM.PROL.,PASTEUR,$ 13.499,55%,$ 6.075
834,METFORMINA,GLAUPAX XR (B) 750mg X30COM.PROL.,PASTEUR,$ 12.699,62%,$ 4.826
835,METFORMINA,GLAUPAX (B) 500mg X30COM.REC.,PASTEUR,$ 7.199,65%,$ 2.520
836,METFORMINA,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,$ 3.299,67%,$ 1.089
837,METFORMINA,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,$ 4.999,75%,$ 1.250
838,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500/5 X30COM.REC.,LABORATORIO CHILE,$ 11.699,19%,$ 9.476
839,METFORMINA + GLIBENCLAMIDA,GLUCOVANCE 500/5 X30COM.REC.,MERCK SA CHILE,$ 18.399,30%,$ 12.879
840,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/2.5 X30COM.REC.,BAGO,$ 11.299,35%,$ 7.344
841,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/5 X30COM.REC.,BAGO,$ 11.799,53%,$ 5.546
842,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/2.5 X60COM.,SANITAS S.A.,$ 10.899,56%,$ 4.796
843,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/5 X60COM.,SANITAS S.A.,$ 16.399,59%,$ 6.724
844,METILFENIDATO,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,$ 11.999,15%,$ 10.199
845,METILFENIDATO,METRANS XR (B) 20mg X30COM.,ANDROMACO FARMA,$ 39.499,15%,$ 33.574
846,METILFENIDATO,ARADIX (B) 10mg X30COM.,RECALCINE,$ 24.499,15%,$ 20.824
847,METILFENIDATO,RUBIFEN (B) 10mg X30COM.,EXELTIS CHILE,$ 22.399,15%,$ 19.039
848,METILFENIDATO,ARADIX RET.10mg X30COM.,RECALCINE,$ 32.699,16%,$ 27.467
849,METILFENIDATO,ARADIX RET.20mg X30COM.,RECALCINE,$ 45.499,20%,$ 36.399
850,METILFENIDATO,RUBIFEN SR (B) 20mg X30COM.,EXELTIS CHILE,$ 37.199,20%,$ 29.759
851,METILFENIDATO,RITALIN LA (R) 20mg X30CAP.,AXON PHARMA,$ 84.799,36%,$ 54.271
852,METILFENIDATO,RITALIN (R) 10mg X30COM.,AXON PHARMA,$ 53.399,37%,$ 33.641
853,METILPREDNISOLONA,DEPO MEDROL 80mg/ml X1F-A,PFIZER,$ 48.299,15%,$ 41.054
854,METILPREDNISOLONA,SOLU MEDROL 40mg X1AMP.,PFIZER,$ 9.599,17%,$ 7.967
855,METILPREDNISOLONA,MEDROL 4mg X20COM.,PFIZER,$ 22.399,19%,$ 18.143
856,METILPREDNISOLONA,MEDROL 16mg COMP.X14,PFIZER,$ 54.199,35%,$ 35.229
857,METISOPRINOL,ISOPRINOSIDE 500mg X20COM.,ANDROMACO FARMA,$ 54.599,22%,$ 42.587
858,METOCLOPRAMIDA,ITAN (B) 10mg X30COM.,SAVAL S.A.,$ 11.099,26%,$ 8.213
859,METOCLOPRAMIDA,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,$ 1.799,67%,$ 594
860,METOCLOPRAMIDA + SIMETICONA + CLORDIAZEPOXIDO,AEROGASTROL CAPS.X20,MEDIPHARM,$ 10.499,68%,$ 3.360
861,METOPROLOL,BETALOC ZOK 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$ 31.099,40%,$ 18.659
862,METOPROLOL,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$ 26.099,43%,$ 14.876
863,METOTREXATO,METOTREXATO (R) 2.5mg X100COM.,PFIZER,$ 38.599,15%,$ 32.809
864,METOTREXATO,METOTREXATO (B) 2.5mg X100COM.,HOSPIFARMA,$ 24.899,15%,$ 21.164
865,METRONIDAZOL,METROPAST (B) 500mg X20COM.,PASTEUR,$ 10.899,41%,$ 6.430
866,METRONIDAZOL,METROPAST (B) 500mg X10COM.,PASTEUR,$ 8.199,52%,$ 3.936
867,METRONIDAZOL DERMICO,MEDAZOL GEL X30g,MEDIPHARM,$ 8.199,25%,$ 6.149
868,METRONIDAZOL DERMICO,GELODERM 0.75% CR.40g,SMB,$ 16.599,28%,$ 11.951
869,METRONIDAZOL OVULOS,METROPAST 500mg X10OV.,PASTEUR,$ 10.999,43%,$ 6.269
870,METRONIDAZOL OVULOS,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,$ 2.699,47%,$ 1.430
871,MINOCICLINA,BAGOMICINA 100mg X15COM.REC.,BAGO,$ 26.199,30%,$ 18.339
872,MINOXIDILO,ALOPEK 5% SOL.60ml,PHARMA INVESTI,$ 23.899,46%,$ 12.905
873,MIRTAZAPINA,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,$ 23.699,15%,$ 20.144
