,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
695,LAMOTRIGINA,LAMOTRIGINA (B) 100mg X30COM.DISP.,LABORATORIO CHILE,$12.099,65%,$4.235
696,LANSOPRAZOL,LANZOPRAL 30mg X30CAP.,PHARMA INVESTI,$28.399,20%,$22.719
697,LANSOPRAZOL,LANSOPRAZOL (B) 30mg X30CAP,LABORATORIO CHILE,$3.899,30%,$2.729
698,LANSOPRAZOL,LANZOPRAL 30 DB X14COM.,PHARMA INVESTI,$19.499,41%,$11.504
699,LATANOPROST,XALATAN SOL.OFT.2.5ml,PFIZER,$43.999,27%,$32.119
700,LATANOPROST,"LATANOPROST (B) 50mcg/ml SOF.X2,5ml",OPKO,$8.499,45%,$4.674
701,LATANOPROST + TIMOLOL,LOUTEN T SOL.OFT.2.5ml,PHARMA INVESTI,$20.599,34%,$13.595
702,LETROZOL,(B) LETROVITAE 2.5mg COMP. X30,GALENICUM HEALTH CHILE SPA,$45.199,25%,$33.899
703,LEVETIRACETAM,KOPODEX XR 500mg X30COM.,RECALCINE,$26.099,15%,$22.184
704,LEVETIRACETAM,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,$19.999,18%,$16.399
705,LEVETIRACETAM,LEOVAL SOL.100mg X300ml,SAVAL S.A.,$29.299,24%,$22.267
706,LEVETIRACETAM,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,$24.499,30%,$17.149
707,LEVETIRACETAM,KREDIT (B) 1000mg X30COM.REC.,PHARMA INVESTI,$39.899,34%,$26.333
708,LEVETIRACETAM,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,$47.999,40%,$28.799
709,LEVETIRACETAM,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$35.599,42%,$20.647
710,LEVETIRACETAM,LEVEVITAE (B) 500mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$20.299,43%,$11.570
711,LEVOCETIRIZINA,XUZAL (B) 5mg/ml GTAS.X20ml,GLAXO,$15.899,40%,$9.539
712,LEVOCETIRIZINA,LEVORIGOTAX 5mg/ml GTAS.X20ml,PRATER,$11.699,61%,$4.563
713,LEVOCETIRIZINA,LEVORIGOTAX (B) 5mg X60COM.REC.,PRATER,$13.799,65%,$4.830
714,LEVODOPA + BENZERAZIDA,PROLOPA 200/50 X30COM.,ROCHE,$29.799,35%,$19.369
715,LEVODOPA + CARBIDOPA,LEVOFAMIL 250/25 X30COM.,ANDROMACO FARMA,$23.099,15%,$19.634
716,LEVODOPA + CARBIDOPA,GRIFOPARKIN X30COM.,LABORATORIO CHILE,$18.699,50%,$9.350
717,LEVOFLOXACINO,NOVACILINA 750mg X10COM.REC.,TECNOFARMA LTDA.,$20.199,13%,$17.573
718,LEVOFLOXACINO,QUINOBIOT (B) 750mg X10COM.REC.,ANDROMACO FARMA,$19.499,19%,$15.794
719,LEVOFLOXACINO,AUXXIL (B) 750mg X7COM.REC.,LABORATORIO CHILE,$22.799,33%,$15.275
720,LEVOFLOXACINO,LEVOXIN (B) 500mg X7COM.,EUROFARMA CHILE S.A.,$16.799,34%,$11.087
721,LEVOFLOXACINO,RECAMICINA (B) 500mg X10COM.REC.,ABBOTT ETICO,$22.499,35%,$14.624
722,LEVONORGESTREL + ETINILESTRADIOL,MICROGYNON-CD GRAG.X28,BAYER ETICO,$9.599,12%,$8.447
723,LEVONORGESTREL + ETINILESTRADIOL,NORVETAL 20 CD COMP.X28,ABBOTT ETICO,$11.699,50%,$5.850
724,LEVOSULPIRIDA,LEVOGASTROL 25mg COM.X30,FAES FARMA CHILE,$31.099,42%,$18.037
725,LEVOTIROXINA,EUTIROX (R) 100mcg X100TAB.,MERCK SA CHILE,$15.999,17%,$13.279
726,LEVOTIROXINA,T4-BAGO (B) 150mcg X50COM.FLEXIDOSIS,BAGO,$11.299,19%,$9.152
727,LEVOTIROXINA,T4-BAGO (B) 100mcg X50COM.FLEXIDOSIS,BAGO,$6.399,22%,$4.991
728,LEVOTIROXINA,EUTIROX (R) 100mcg X50TAB.,MERCK SA CHILE,$10.199,30%,$7.139
729,LEVOTIROXINA,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,$17.699,31%,$12.212
730,LEVOTIROXINA,T4-BAGO (B) 75mcg X50COM.FLEXIDOSIS,BAGO,$7.899,32%,$5.371
731,LEVOTIROXINA,EUTIROX (R) 125mcg X50TAB.,MERCK SA CHILE,$15.999,32%,$10.879
732,LEVOTIROXINA,EUTIROX (R) 75mcg X50COM.,MERCK SA CHILE,$12.399,35%,$8.059
733,LEVOTIROXINA,EUTIROX (R) 88mcg X50COM.,MERCK SA CHILE,$13.099,36%,$8.383
734,LEVOTIROXINA,(R) EUTIROX 25mcg COMP.X50,MERCK SA CHILE,$11.199,37%,$7.055
735,LEVOTIROXINA,EUTIROX (R) 112mcg X50COM.,MERCK SA CHILE,$15.999,38%,$9.919
736,LEVOTIROXINA,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,BAGO,$7.799,40%,$4.679
737,LEVOTIROXINA,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,$19.699,43%,$11.228
738,LEVOTIROXINA,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,$23.999,43%,$13.679
739,LEVOTIROXINA,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,$23.699,45%,$13.034
740,LEVOTIROXINA,EUTIROX (R) 50mcg X50TAB.,MERCK SA CHILE,$11.899,50%,$5.950
741,LIDOCAINA CLORHIDRATO,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,$1.499,60%,$600
742,LINAGLIPTINA,TRAYENTA 5mg COMP.X30,BOEHRINGER INGELHEIM,$44.799,33%,$30.015
743,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5/1000 X60COM.,BOEHRINGER INGELHEIM,$43.899,24%,$33.363
744,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5mg/500 COMP.X60,BOEHRINGER INGELHEIM,$41.699,30%,$29.189
745,LIRAGLUTIDA,VICTOZA 6mg/ml PENFILL 3ml,NOVONORDISK,$81.699,21%,$64.542
746,LISDEXANFETAMINA,SAMEXID 30mg CAPS.X30,RECALCINE,$49.499,15%,$42.074
747,LISDEXANFETAMINA,SAMEXID 50mg CAPS.X30,RECALCINE,$54.999,15%,$46.749
748,LISINOPRIL,TONO TENSIL 10mg X30COM.,LABORATORIO CHILE,$22.499,15%,$19.124
749,LISINOPRIL,ACERDIL 20mg X30COM.REC.,RECALCINE,$34.999,15%,$29.749
750,LISINOPRIL,ACERDIL 5mg X30COM.REC.,RECALCINE,$13.199,15%,$11.219
751,LISINOPRIL,ACERDIL 10mg X30COM.,ABBOTT ETICO,$24.999,18%,$20.499
752,LISINOPRIL + HIDROCLOROTIAZIDA,ACERDIL D X30COM.,RECALCINE,$34.999,32%,$23.799
753,LITIO CARBONATO,KALITIUM (R) 300mg X50COM.REC,EUROFARMA CHILE S.A.,$10.399,18%,$8.527
754,LITIO CARBONATO,KALITIUM (R) 450mg X30COM.PROL.,EUROFARMA CHILE S.A.,$12.099,30%,$8.469
755,LITIO CARBONATO,CARBORON 300mg X50COM.,PHARMA INVESTI,$19.999,60%,$8.000
756,"L-METIONINA, L-CISTEÍNA, QUELATO DE ZINC",VANTUX MAX CAPS.X60,PHARMA INVESTI,$19.399,31%,$13.385
757,LOPERAMIDA,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,$1.099,75%,$275
758,LORATADINA,LORATADINA (B)1 0mg X30COM.,LABORATORIO CHILE,$1.499,71%,$435
759,LORATADINA + PSEUDOEFEDRINA,FRENALER D JBE.X100ml,LABORATORIO CHILE,$16.499,20%,$13.199
760,LORATADINA + PSEUDOEFEDRINA,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,$18.499,20%,$14.799
761,LORATADINA + PSEUDOEFEDRINA,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,$21.499,20%,$17.199
762,LORATADINA + PSEUDOEFEDRINA,ALLEDRYL D JBE.X120ml,PRATER,$7.199,20%,$5.759
763,LORAZEPAM,(B) LORAZEPAM 2mg COMP.X30,LABORATORIO CHILE,$1.999,42%,$1.159
764,LORCASERINA,REPENTIL 10mg COM.X30,TECNOFARMA LTDA.,$24.399,37%,$15.371
765,LOSARTAN,CORODIN (B) 100mg X30COM.,RECALCINE,$20.499,7%,$19.064
766,LOSARTAN,SIMPERTEN (B) 50mg X30COM.,LABORATORIO CHILE,$7.499,29%,$5.324
767,LOSARTAN,COZAAR (R) 100mg X30COM.,MSD- ORGANON,$26.399,54%,$12.144
768,LOSARTAN,COZAAR (R) 50mg X30COM.,MSD- ORGANON,$25.499,55%,$11.475
769,LOSARTAN,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,$8.099,63%,$2.997
770,LOSARTAN,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,$2.599,74%,$676
771,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 100/25 X30COM.,EUROFARMA CHILE S.A.,$2.999,30%,$2.099
772,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 50/12.5 X30COM.REC.,ASCEND LABORATORIES SPA,$6.399,30%,$4.479
773,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 50/12.5 X30COM.REC.,LABORATORIO CHILE,$26.499,33%,$17.754
774,LOSARTAN + HIDROCLOROTIAZIDA,CORODIN D FTE.X30COM.REC.,RECALCINE,$28.499,34%,$18.809
775,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 100/25 X30COM.REC.,LABORATORIO CHILE,$28.499,35%,$18.524
776,LOSARTAN + HIDROCLOROTIAZIDA,HYZAAR FORTE 100/25 X30COM.REC.,MSD- ORGANON,$23.799,56%,$10.472
777,LOSARTAN + HIDROCLOROTIAZIDA,HYZAAR 50/12.5 X30TAB.,MSD- ORGANON,$23.199,57%,$9.976
778,LOTEPREDNOL ETABONATO,OFTOL 0.2% SOL.OFT.5ml,SAVAL S.A.,$21.899,28%,$15.767
779,LOVASTATINA,LOVASTATINA (B) 20mg X28COM.,LABORATORIO CHILE,$2.199,70%,$660
780,LUTEINA/ZEAXANTINA,ICAPS TABS.X60,ALCON CHILE LTDA.OTC,$38.599,42%,$22.387
781,MACROGOL,LAX PVO.X7SOB.,ANDROMACO FARMA,$13.599,41%,$8.023
782,MACROGOL,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,$20.699,46%,$11.177
783,MACROGOL + PROPILENGLICOL,SYSTANE ULTRA SOL.OFT.10ml,ALCON CHILE LTDA.OTC,$20.099,17%,$16.682
784,MAGALDRATO + SIMETICONA,ANTIAX X24COM.MASTICABLES,SAVAL S.A.,$11.099,44%,$6.215
785,MAGALDRATO + SIMETICONA,ANTIAX S.O.X180ml,SAVAL S.A.,$17.599,49%,$8.975
786,MEBENDAZOL,MEBENDAZOL 100mg X6COM.,HOSPIFARMA,$1.799,43%,$1.025
787,MEBEVERINA,DUSPATALIN 200mg X30CAP.,RECALCINE,$22.999,30%,$16.099
788,MEBEVERINA,EVADOL XR 200mg X30CAP.PROL.,ANDROMACO FARMA,$27.399,31%,$18.905
789,MEBEVERINA,DOLOVERINA 200mg X20COM.,SAVAL S.A.,$27.699,40%,$16.619
790,MEDROXIPROGESTERONA,PRODASONE (R) 5mg X20COM.,PFIZER,$15.599,15%,$13.259
791,MELATONINA,VIGISOM 2mg COM.X30,PHARMASAN S.A.,$36.499,17%,$30.294
792,MELATONINA,MELATONINA 3mg CAPS.X30,OTROS SUPLEMENTOS,$7.699,55%,$3.465
793,MELOXICAM,MELOXICAM (B) 15mg X10COM.,LABORATORIO CHILE,$1.999,76%,$480
794,MEMANTINA,NEUROPRON FT 20mg X30COM.BUC.,ANDROMACO FARMA,$52.099,23%,$40.116
795,MEMANTINA,EBIXA 20mg X28COM.REC.,LUNDBECK,$106.999,25%,$80.249
796,MEMANTINA,EUTEBROL (B) 20mg X30COM.,TECNOFARMA LTDA.,$31.799,26%,$23.531
797,MEMANTINA,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,$49.999,30%,$34.999
798,MEMANTINA,MEMANVITAE (B) 10mg X56COM.REC,GALENICUM HEALTH CHILE SPA,$27.099,30%,$18.969
799,MEMANTINA,VIVIMEX 20 20mg X30COM.REC.,PHARMA INVESTI,$42.199,41%,$24.897
800,MEMANTINA,VIVIMEX 10mg X60COM.REC.,PHARMA INVESTI,$35.799,42%,$20.763
801,MESALAZINA,SALOFALK 500mg COMP.X100,BIOTOSCANA,$113.299,16%,$95.171
802,MESALAZINA,PENTASA 1g X50SOB.,FERRING,$96.499,17%,$80.094
803,MESALAZINA,PENTASA 2g X30SOB.,FERRING,$105.299,20%,$84.239
804,MESALAZINA,PENTASA 500mg X100COM.,FERRING,$92.999,20%,$74.399
805,MESALAZINA,MECOLZINE 500mg COMP.X100,FAES FARMA CHILE,$77.399,29%,$54.953
806,METAMIZOL MAGNESICO + PARGEVERINA CLORHI,BEVITEX CPTO.GTAS X30ml,PRATER,$6.599,23%,$5.081
807,METAMIZOL MAGNESICO + PARGEVERINA CLORHI,VIADIL CPTO.GTAS.X15ml,PHARMA INVESTI,$9.099,25%,$6.824
808,METFORMINA,GLIFORTEX (B) 850mg X60COM.REC.,ANDROMACO FARMA,$17.099,15%,$14.534
809,METFORMINA,GLIFORTEX XR (B) 750 X30COM.PROL.,ANDROMACO FARMA,$13.199,20%,$10.559
810,METFORMINA,HIPOGLUCIN LP (B) 750mg X60COM.,LABORATORIO CHILE,$21.899,23%,$16.862
811,METFORMINA,GLIFORTEX XR (B) 1000 X30COM.PROL.,ANDROMACO FARMA,$15.899,23%,$12.242
812,METFORMINA,HIPOGLUCIN LP (B) 1000mg X60COM.,LABORATORIO CHILE,$25.499,24%,$19.379
813,METFORMINA,GLIFORTEX (B) 850mg X30COM.REC.,ANDROMACO FARMA,$13.399,24%,$10.183
814,METFORMINA,HIPOGLUCIN LP (B) 500mg X60COM.PROL.,LABORATORIO CHILE,$13.099,24%,$9.955
815,METFORMINA,GLIFORTEX XR 500 X30COM.PROL.,ANDROMACO FARMA,$8.899,24%,$6.763
816,METFORMINA,HIPOGLUCIN (B) 850mg X30COM.REC.,LABORATORIO CHILE,$9.199,25%,$6.899
817,METFORMINA,(R) GLAFORNIL XR 500 COMP.X30,MERCK SA CHILE,$11.999,25%,$8.999
818,METFORMINA,GLAFORNIL (R) 850mg X30COM.,MERCK SA CHILE,$15.999,27%,$11.679
819,METFORMINA,HIPOGLUCIN LP (B) 1000mg X30COM.,LABORATORIO CHILE,$15.599,29%,$11.075
820,METFORMINA,HIPOGLUCIN LP (B) 750mg X30COM.,LABORATORIO CHILE,$13.299,30%,$9.309
821,METFORMINA,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,$9.899,30%,$6.929
822,METFORMINA,GLIDANIL (B) 500mg X30COM.REC.,MEDIPHARM,$3.699,30%,$2.589
823,METFORMINA,GLAFORNIL (R) 1000mg X30COM.,MERCK SA CHILE,$26.299,34%,$17.357
824,METFORMINA,GLAFORNIL XR (R) 1000 X30COM.PROL.,MERCK SA CHILE,$26.799,35%,$17.419
825,METFORMINA,HIPOGLUCIN (B) 1g X30COM.REC.,LABORATORIO CHILE,$18.599,35%,$12.089
826,METFORMINA,HIPOGLUCIN LP (B) 500mg X30COM.PROL.,LABORATORIO CHILE,$8.999,35%,$5.849
827,METFORMINA,HIPOGLUCIN (B) 850mg X60COM.REC.,LABORATORIO CHILE,$16.799,35%,$10.919
828,METFORMINA,(R) GLAFORNIL XR 750 COMP.X30,MERCK SA CHILE,$23.399,39%,$14.273
829,METFORMINA,GLIDANIL (B) 850mg X30COM.REC.,MEDIPHARM,$4.499,40%,$2.699
830,METFORMINA,GLAUPAX (B) 850mg X30COM.REC.,PASTEUR,$6.399,53%,$3.008
831,METFORMINA,GLAUPAX XR (B) 1000mg X30COM.PROL.,PASTEUR,$13.499,55%,$6.075
832,METFORMINA,GLAUPAX XR (B) 750mg X30COM.PROL.,PASTEUR,$12.699,62%,$4.826
833,METFORMINA,GLAUPAX (B) 500mg X30COM.REC.,PASTEUR,$7.199,65%,$2.520
834,METFORMINA,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,$3.199,67%,$1.056
835,METFORMINA,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,$4.999,75%,$1.250
836,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500/5 X30COM.REC.,LABORATORIO CHILE,$11.699,19%,$9.476
837,METFORMINA + GLIBENCLAMIDA,GLUCOVANCE 500/5 X30COM.REC.,MERCK SA CHILE,$18.399,30%,$12.879
838,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/2.5 X30COM.REC.,BAGO,$11.299,35%,$7.344
839,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/5 X30COM.REC.,BAGO,$11.799,53%,$5.546
840,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/2.5 X60COM.,SANITAS S.A.,$10.899,56%,$4.796
841,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/5 X60COM.,SANITAS S.A.,$16.399,59%,$6.724
842,METILFENIDATO,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,$11.999,15%,$10.199
843,METILFENIDATO,METRANS XR (B) 20mg X30COM.,ANDROMACO FARMA,$39.499,15%,$33.574
844,METILFENIDATO,ARADIX (B) 10mg X30COM.,RECALCINE,$24.499,15%,$20.824
845,METILFENIDATO,RUBIFEN (B) 10mg X30COM.,EXELTIS CHILE,$22.399,15%,$19.039
846,METILFENIDATO,ARADIX RET.10mg X30COM.,RECALCINE,$32.699,16%,$27.467
847,METILFENIDATO,ARADIX RET.20mg X30COM.,RECALCINE,$45.499,20%,$36.399
848,METILFENIDATO,RUBIFEN SR (B) 20mg X30COM.,EXELTIS CHILE,$37.199,20%,$29.759
849,METILFENIDATO,RITALIN LA (R) 20mg X30CAP.,AXON PHARMA,$79.199,36%,$50.687
850,METILFENIDATO,RITALIN (R) 10mg X30COM.,AXON PHARMA,$49.899,37%,$31.436
851,METILPREDNISOLONA,DEPO MEDROL 80mg/ml X1F-A,PFIZER,$48.299,15%,$41.054
852,METILPREDNISOLONA,SOLU MEDROL 40mg X1AMP.,PFIZER,$9.599,17%,$7.967
853,METILPREDNISOLONA,MEDROL 4mg X20COM.,PFIZER,$22.399,19%,$18.143
854,METILPREDNISOLONA,MEDROL 16mg COMP.X14,PFIZER,$54.199,35%,$35.229
855,METISOPRINOL,ISOPRINOSIDE 500mg X20COM.,ANDROMACO FARMA,$54.599,22%,$42.587
856,METOCLOPRAMIDA,ITAN (B) 10mg X30COM.,SAVAL S.A.,$10.599,26%,$7.843
857,METOCLOPRAMIDA,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,$1.799,67%,$594
858,METOCLOPRAMIDA + SIMETICONA + CLORDIAZEPOXIDO,AEROGASTROL CAPS.X20,MEDIPHARM,$10.499,68%,$3.360
859,METOPROLOL,BETALOC ZOK 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$29.499,40%,$17.699
860,METOPROLOL,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$24.699,43%,$14.078
861,METOTREXATO,METOTREXATO (R) 2.5mg X100COM.,PFIZER,$38.599,15%,$32.809
862,METOTREXATO,METOTREXATO (B) 2.5mg X100COM.,HOSPIFARMA,$24.899,15%,$21.164
863,METRONIDAZOL,METROPAST (B) 500mg X20COM.,PASTEUR,$10.899,41%,$6.430
864,METRONIDAZOL,METROPAST (B) 500mg X10COM.,PASTEUR,$8.199,52%,$3.936
865,METRONIDAZOL DERMICO,MEDAZOL GEL X30g,MEDIPHARM,$8.199,25%,$6.149
866,METRONIDAZOL DERMICO,GELODERM 0.75% CR.40g,SMB,$16.599,28%,$11.951
867,METRONIDAZOL OVULOS,METROPAST 500mg X10OV.,PASTEUR,$10.999,43%,$6.269
868,METRONIDAZOL OVULOS,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,$2.699,47%,$1.430
869,MINOCICLINA,BAGOMICINA 100mg X15COM.REC.,BAGO,$26.199,30%,$18.339
870,MINOXIDILO,ALOPEK 5% SOL.60ml,PHARMA INVESTI,$22.699,46%,$12.257
871,MIRTAZAPINA,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,$22.499,15%,$19.124
872,MIRTAZAPINA,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,$26.999,17%,$22.409
873,MIRTAZAPINA,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,$49.499,23%,$38.114
874,MOMETASONA,MOMETASONA 0.1% CR. TOPICA X15g,ASCEND LABORATORIES SPA,$6.699,70%,$2.010
875,MOMETASONA FUROATO PARA INHALACION,PLUSTER 50mcg NEB.X120DS.,DEUTSCHE PHARMA S.A.,$10.199,40%,$6.119
876,MOMETASONA FUROATO PARA INHALACION,SYNALLER 50mcg NEB.X200DS.,PASTEUR,$15.299,40%,$9.179
877,MONTELUKAST,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,$34.199,20%,$27.359
878,MONTELUKAST,(R) SINGULAIR 10mg COMP.X30,MSD- ORGANON,$94.999,29%,$67.449
879,MONTELUKAST,LUCASTE (B) 5mg X30.COM.MAST.,EUROFARMA CHILE S.A.,$18.899,37%,$11.906
880,MONTELUKAST,LUCASTE (B) 4mg X30.COM.MAST.,EUROFARMA CHILE S.A.,$18.899,41%,$11.150
881,MONTELUKAST,MONKAST (B) 10mg X28COM.REC.,PASTEUR,$21.199,47%,$11.235
882,MONTELUKAST,MONKAST (B) 5mg X28COM.MAST.,PASTEUR,$19.499,54%,$8.970
883,MONTELUKAST,MONKAST (B) 4mg X28COM.MAST.,PASTEUR,$17.899,59%,$7.339
884,MONTELUKAST,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,$54.899,60%,$21.960
885,MOXIFLOXACINO,MOXIFLOXACINO (B) 400mg X10COM.REC.,LABORATORIO CHILE,$18.999,49%,$9.689
886,MUPIROCINA,MUPAX 2% UNG.X7.5g,RAFFO S.A.,$6.299,15%,$5.354
887,N-ACETILCISTEINA,FLUIDASA 100mg X10SOB.,RECALCINE,$4.499,15%,$3.824
888,N-ACETILCISTEINA,FLUIDASA 600mg X10SOB.,RECALCINE,$4.799,15%,$4.079
889,N-ACETILCISTEINA,ACEMUK 100mg JBE.100ml,DEUTSCHE PHARMA S.A.,$9.199,20%,$7.359
890,NAFAZOLINA + HIDROXIPROPILMETILCELULOSA + DEXTRAN,NOVOTEARS SOL.OFT.10ml,SAVAL S.A.,$5.499,54%,$2.530
891,NANDROLONA DECANOATO,DECADURABOLIN 50mg/ml JP.X1,ASPEN CHILE,$19.399,33%,$12.997
892,NAPROXENO,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,$3.099,62%,$1.178
893,NEBIVOLOL,PERTIUM (B) 5mg X30COM.,SAVAL S.A.,$15.399,24%,$11.703
894,NEBIVOLOL,NABILA (B) 2.5mg COMP.X28,TECNOFARMA LTDA.,$12.799,31%,$8.831
895,NEBIVOLOL,DOOX (B) 5mg X30COM.,LABORATORIO CHILE,$21.699,32%,$14.755
896,NEBIVOLOL,ANFIBOL (B) 5mg X30COM.REC.,ABBOTT ETICO,$18.699,38%,$11.593
897,NEOLUCID,NEOLUCID LOC.LIM.X250ml,SMB,$12.599,42%,$7.307
898,NIFEDIPINO,CARDICON RET.20mg X30COM.,ITF (EX LABOMED),$29.699,13%,$25.838
899,NIFEDIPINO,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,$2.499,65%,$875
900,NIFUROXAZIDA + FTALILSULFATIAZOL,LIRACOL AD.X20COM.,MEDIPHARM,$3.799,25%,$2.849
901,NIFUROXAZIDA + FTALILSULFATIAZOL,IMECOL AD. X16COM.,MAVER FARMA,$4.299,25%,$3.224
902,NISTATINA + ZINC OXIDO + VIT.A + VIT.D,NISTAGLOS CR.X30g,ANDROMACO FARMA,$15.199,26%,$11.247
903,NISTATINA DERMICA,NISTATINA 100000UI UNG.X15g,LABORATORIO CHILE,$2.599,46%,$1.403
904,NISTATINA VAGINAL,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,$3.899,51%,$1.911
905,NITROFURANTOINA,NITROFURANTOINA (B) 100mg X10COM.,HOSPIFARMA,$1.599,21%,$1.263
906,NITROFURANTOINA,MACROSAN (B) 100mg X15CAP.,SANITAS S.A.,$11.799,30%,$8.259
907,NITROFURANTOINA,(B) MACROSAN 50mg CAPS.X30,SANITAS S.A.,$8.199,32%,$5.575
908,NOMEGESTROL,ARIANA 28COM.REC,SAVAL S.A.,$16.799,25%,$12.599
909,NOSCAPINA,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,$2.699,52%,$1.296
910,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX GTAS.X15ml,RECALCINE,$13.499,25%,$10.124
911,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX JBE.X120ml,RECALCINE,$10.499,25%,$7.874
912,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX X10CAP.,RECALCINE,$9.999,25%,$7.499
913,OLANZAPINA,AMULSIN (B) 10mg X30 COM.REC.,SANITAS S.A.,$35.299,20%,$28.239
914,OLANZAPINA,AMULSIN (B) 5mg X30COM.REC.,SANITAS S.A.,$28.799,23%,$22.175
915,OLANZAPINA,SINCRIS (B) 5mg X30COM.REC.,LABORATORIO CHILE,$25.499,29%,$18.104
916,OLANZAPINA,SINCRIS (B) 10mg X30COM.REC.,LABORATORIO CHILE,$36.799,34%,$24.287
917,OLANZAPINA,OLANVITAE (B) 10mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$33.699,34%,$22.241
918,OLANZAPINA,OLANVITAE (B) 5mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$25.599,41%,$15.103
919,OLMESARTAN,OLTAN 20mg X30COM.REC.,ITF (EX LABOMED),$15.499,35%,$10.074
920,OLMESARTAN,OLTAN 40mg X30COM.REC.,ITF (EX LABOMED),$18.999,44%,$10.639
921,OLMESARTAN + AMLODIPINO,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),$17.899,30%,$12.529
922,OLMESARTAN + AMLODIPINO,ILTUXAM 40/5 X28COM.REC,TECNOFARMA LTDA.,$16.299,39%,$9.942
923,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 20/12.5 X30COM.,ITF (EX LABOMED),$16.099,33%,$10.786
924,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 40/12.5 X30COM.,ITF (EX LABOMED),$18.799,40%,$11.279
925,OLODATEROL CLORHIDRATO+BROMURO DE TIOTRO,SPIOLTO RESPIMAT 2.5/2.5 INH.30DS.,BOEHRINGER INGELHEIM,$70.099,27%,$51.172
926,OLOPATADINA,ZEPIKEN (B) 0.2% SOF 5ml,D&M PHARMA S.A.,$17.899,26%,$13.245
927,OMEGA 3,OMEGA 3 UP ULTRAPURE X150CAP,NEW SCIENCE,$27.999,29%,$19.879
928,OMEGA3+ANTIOXIDANTES+MINERALES+VITAMINAS,MANHAE X30CAP.,PASTEUR,$18.699,20%,$14.959
929,OMEPRAZOL,LOMEX (B) 20mg X28CAP.PROL.,SAVAL S.A.,$23.099,28%,$16.631
