,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
709,PARACETAMOL + CLORZOXAZONA,DESDOL X 20 COMPR.,MEDIPHARM,$7.499,55%,$3.375
710,PARACETAMOL + PSEUDOEFEDRINA,CORTIGRIP x 10 comprimidos,MEDIPHARM,$3.799,41%,$2.241
711,PARACETAMOL + TRAMADOL,ANALGEX SAP X20COM.REC.,RECALCINE,$22.499,50%,$11.250
712,PARACETAMOL + TRAMADOL,ZALDIAR X20COM.REC.,GRUNENTHAL,$26.099,50%,$13.050
713,PARACETAMOL + TRAMADOL,ZALEDOR P COMP.X30,MEDIPHARM,$12.999,68%,$4.160
714,PAROXETINA,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,$23.899,21%,$18.880
715,PAROXETINA,(B) POSIVYL 20mg COMP.X30,LABORATORIO CHILE,$37.499,35%,$24.374
716,PAROXETINA,SERETRAN 20mg X30COM.,RECALCINE,$38.499,25%,$28.874
717,PAROXETINA,(B) TRAVIATA 20mg COMP.X30,ANDROMACO FARMA,$42.999,40%,$25.799
718,PENICILINA G SODICA,PENICILINA G SOD 1000000UI X1F-A,OPKO,$899,91%,$81
719,PENICILINA G SODICA,PENICILINA G SOD 2000000UI X1F-A,OPKO,$1.199,65%,$420
720,PENTOXIFILINA,PENTOXIFILINA 400mg X30COM.,LABORATORIO CHILE,$8.299,65%,$2.905
721,PERMETRINA,KILNITS 1% SH.60ml,ANDROMACO FARMA,$4.099,20%,$3.279
722,PERMETRINA,KILNITS 1% SH.X100ml,ANDROMACO FARMA,$8.899,80%,$1.780
723,PERMETRINA,NOLAIS SHAMPOO X 120 ML,MEDIPHARM,$3.799,34%,$2.507
724,PIRACETAM,NOOTROPYL 800mg X30COM.REC.,GLAXO,$25.499,54%,$11.730
725,POLIVITAMINICO,BION 3 X30COM.REC.,PROCTER&GAMBLE (FARMA),$9.699,27%,$7.080
726,POLIVITAMINICO CON MINERALES,BIOCORD ACTIVE x 30 FLUIDCAPS,MEDIPHARM,$5.299,25%,$3.974
727,POLIVITAMINICO CON MINERALES,REGENESIS UP CAPS.X30,EXELTIS CHILE,$15.399,20%,$12.319
728,POLIVITAMINICO PRENATAL,PRENAMIN NATAL VITAM/OMEGA X60CAP.,RECALCINE,$19.999,25%,$14.999
729,POLIVITAMINICO PRENATAL,REGENESIS MAX 30CAP.,EXELTIS CHILE,$14.999,20%,$11.999
730,POLIVITAMINICOS C/GINSENG,REGENESIS NEXT 30CAP.,EXELTIS CHILE,$15.999,20%,$12.799
731,POLOXAMER + POLIETILENGLICOL + CARBOMER,BLEPHAGEL DUO GEL 40g,THEA PHARMA SPA,$23.899,30%,$16.729
732,POTASIO GLUCONATO,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,$6.499,53%,$3.055
733,POTASIO GLUCONATO,YONKA 780mg X40TAB.,ANDROMACO FARMA,$13.399,59%,$5.494
734,PRAMIPEXOLE,PARMITAL (B) 0.25mg COMP.X30,TECNOFARMA LTDA.,$11.099,13%,$9.656
735,PRAMIPEXOLE,BIOPSOL 1mg X30COM.,RECALCINE,$47.999,96%,$1.920
736,PRAMIPEXOLE,INTAXEL 1 MG 30 C,LABORATORIO CHILE,$30.999,35%,$20.149
737,PRAMIPEXOLE,SIFROL ER (R) 1.5mg X30COM.PROL.,BOEHRINGER INGELHEIM,$94.799,64%,$34.128
738,PREDNISOLONA ACETATO COLIRIO,PREDNISOLONA 1% SOF.X10ml,HOSPIFARMA,$10.899,63%,$4.033
739,PREDNISOLONA ACETATO COLIRIO,SOPHIPREN OFTENO 1% SOF.X5ml,SOPHIA,$19.999,65%,$7.000
740,PREDNISONA,(B) BERSEN 20mg COMP.X20,PASTEUR,$6.499,23%,$5.004
741,PREDNISONA,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,$7.399,20%,$5.919
742,PREDNISONA,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,$12.499,20%,$9.999
743,PREDNISONA,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,$11.099,85%,$1.665
744,PREDNISONA,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,$1.299,72%,$364
745,PREDNISONA,PROCION 20 mg. x 20 comprimidos,MEDIPHARM,$6.999,71%,$2.030
746,PREDNISONA,PROCION 20 mg/5ml SUSPENSION 60 ml.,MEDIPHARM,$7.499,55%,$3.375
747,PREGABALINA,(B) PRESTAT 75mg COMP.X40,BAGO,$12.999,30%,$9.099
748,PREGABALINA,(R) LYRICA 75mg CAPS.X28,PFIZER,$41.299,20%,$33.039
749,PREGABALINA,ALIVAX 150 MG 30 CAPSULAS,LABORATORIO CHILE,$23.699,35%,$15.404
750,PREGABALINA,ALIVAX 75MG X 30 COMP BE,LABORATORIO CHILE,$13.499,35%,$8.774
751,PREGABALINA,PREGALEX 150MG/30COMP,ANDROMACO FARMA,$40.499,30%,$28.349
752,PREGABALINA,(B) PREGALEX 75mg COMP.X30,ANDROMACO FARMA,$19.699,30%,$13.789
753,PREGABALINA,PREGOBIN (B) 150mg X30CAP.,RECALCINE,$44.999,25%,$33.749
754,PRIMIDONA,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,$5.599,30%,$3.919
755,PROGESTERONA,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,$19.999,20%,$15.999
756,PROGESTERONA,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,$19.999,25%,$14.999
757,PROGESTERONA,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,$22.999,25%,$17.249
758,PROGESTERONA,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,$32.999,25%,$24.749
759,PROPAFENONA,RITMOCOR 150mg X20COM.,RECALCINE,$28.399,48%,$14.767
760,PROPAFENONA,RITMOCOR 300mg X20COM.,RECALCINE,$41.499,35%,$26.974
761,PROPANOLOL,PROPANOLOL 10mg X20COM.,HOSPIFARMA,$1.199,78%,$264
762,PROPANOLOL,PROPANOLOL 40mg X20COM.,HOSPIFARMA,$799,72%,$224
763,PROPARACAINA,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.OTC,$32.999,81%,$6.270
764,PROPINOXATO,VIPLAN FORTE GOTAS x 15 ml,MEDIPHARM,$5.199,59%,$2.132
765,PROPINOXATO,VIPLAN GOTAS x 20 ml.,MEDIPHARM,$6.099,25%,$4.574
766,PROPINOXATO,VIPROXIL 5mg GTAS.15ml,ANDROMACO FARMA,$4.899,20%,$3.919
767,PROPINOXATO + METAMIZOL,VIADIL CPTO.GTAS.15ml,PHARMA INVESTI,$9.099,25%,$6.824
768,PRUCALOPRIDA SUCCINATO,PRUCALEX 2mg COMP.X30,ANDROMACO FARMA,$44.999,30%,$31.499
769,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D x 20 cápsulas,MEDIPHARM,$10.599,25%,$7.949
770,QUETIAPINA,ASICOT 100MG 30CR,LABORATORIO CHILE,$23.599,35%,$15.339
771,QUETIAPINA,ASICOT 200MG 30CR,LABORATORIO CHILE,$47.699,35%,$31.004
772,QUETIAPINA,ASICOT 25MG 30CR,LABORATORIO CHILE,$17.399,35%,$11.309
773,QUETIAPINA,EUFRENIM (B) 100mg X30COM.REC.,LABORATORIO CHILE,$21.599,84%,$3.456
774,QUETIAPINA,NORSIC 100MGX30COMP.REC,LABORATORIO CHILE,$55.499,40%,$33.299
775,QUETIAPINA,NORSIC 25MG.30COMP.,LABORATORIO CHILE,$25.999,40%,$15.599
776,QUETIAPINA,QUEPIMAX (B) 25mg COMP.X30,MEDIPHARM,$16.499,61%,$6.435
777,QUETIAPINA,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,$11.999,41%,$7.079
778,QUETIAPINA,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,$43.499,35%,$28.274
779,QUETIAPINA,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,$65.499,35%,$42.574
780,QUETIAPINA,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,$25.999,35%,$16.899
781,QUETIAPINA,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,$80.999,35%,$52.649
782,QUETIAPINA,QUETIDIN XR 150mg X30COM.,RECALCINE,$47.999,35%,$31.199
783,QUETIAPINA,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,$55.999,35%,$36.399
784,QUETIAPINA,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,$39.499,35%,$25.674
785,QUETIAPINA,SEROQUEL (R) 100mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$72.499,25%,$54.374
786,QUETIAPINA,SEROQUEL (R) 200mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$100.999,25%,$75.749
787,QUETIAPINA,SEROQUEL (R) 25mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$39.799,25%,$29.849
788,QUETIAPINA,SEROQUEL (R) 300mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$140.299,25%,$105.224
789,QUETIAPINA,SEROQUEL XR (R) 200mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$90.299,25%,$67.724
790,QUETIAPINA,SEROQUEL XR (R) 300mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$100.999,87%,$13.130
791,QUETIAPINA,SEROQUEL XR (R) 400mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$116.299,25%,$87.224
792,QUETIAPINA,SEROQUEL XR (R) 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$74.499,25%,$55.874
793,QUETIAPINA,SEROQUEL XR 150mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.699,25%,$63.524
794,RABEPRAZOL,GASTRODINE 20 mg. x 28 comprimidos,MEDIPHARM,$15.499,51%,$7.595
795,RANITIDINA,RANITIDINA 300mg X10COM.,ANDROMACO FARMA,$1.599,61%,$624
796,RIFAXIMA,NORMIX 200mg COMP.X24,ANDROMACO FARMA,$36.499,46%,$19.709
797,RIFAXIMA,RIBOLAC 200mg X10COM.,RECALCINE,$10.999,20%,$8.799
798,RISPERIDONA,DAGOTIL 3mg X30COM.,PHARMA INVESTI,$23.799,93%,$1.666
799,RISPERIDONA,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,$17.599,20%,$14.079
800,RISPERIDONA,RADIGEN 1 mg. FRASCO 30 ml.,MEDIPHARM,$16.899,25%,$12.674
801,RISPERIDONA,SPIRON 1MG.30COMP.,ANDROMACO FARMA,$30.499,40%,$18.299
802,RISPERIDONA,SPIRON 1mg/ml GTAS.X30ml,ANDROMACO FARMA,$26.499,39%,$16.164
803,RISPERIDONA,SPIRON FT 3MG. 30COMP.TRISECTADOS,ANDROMACO FARMA,$30.999,40%,$18.599
804,RIVAROXABAN,XARELTO 15mg COMP.X28,BAYER ETICO,$70.499,20%,$56.399
805,RIVAROXABAN,XARELTO 20mg COMP.X28,BAYER ETICO,$75.499,20%,$60.399
806,RIVASTIGMINA,EXELON (R) 1.5mg X28CAP.,AXON PHARMA,$75.799,30%,$53.059
807,RIVASTIGMINA,EXELON (R) 3mg X28CAP.,AXON PHARMA,$71.599,30%,$50.119
808,RIVASTIGMINA,EXELON (R) 4.5mg X28CAP.,AXON PHARMA,$75.199,30%,$52.639
809,RIVASTIGMINA,EXELON (R) 6mg X28CAP.,AXON PHARMA,$74.599,30%,$52.219
810,RIVASTIGMINA,EXELON 10 X30PCHE.,AXON PHARMA,$94.599,30%,$66.219
811,RIVASTIGMINA,EXELON 15 X30PCHE.,AXON PHARMA,$94.599,30%,$66.219
812,RIVASTIGMINA,EXELON 5 X30PCHE.,AXON PHARMA,$92.499,30%,$64.749
813,ROSUVASTATINA,(R) CRESTOR TABLETS 10mg COM.X30,ASTRA ZENECA DE CHILE LTDA.,$41.399,20%,$33.119
814,ROSUVASTATINA,CRESADEX 10mg X30COM.REC.,RECALCINE,$26.999,73%,$7.290
815,ROSUVASTATINA,CRESADEX 20mg X30COM.REC.,RECALCINE,$36.999,66%,$12.580
816,ROSUVASTATINA,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$60.299,25%,$45.224
817,ROSUVASTATINA,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$81.099,25%,$60.824
818,ROSUVASTATINA,ROSVEL 10 MG 30 CR,LABORATORIO CHILE,$10.599,35%,$6.889
819,ROSUVASTATINA,ROSVEL 10 MG 60 CR,LABORATORIO CHILE,$13.899,35%,$9.034
820,ROSUVASTATINA,ROSVEL 20 MG 30 CR,LABORATORIO CHILE,$14.199,35%,$9.229
821,RUPATADINA,REAX 10mg X30COM.,RECALCINE,$11.499,25%,$8.624
822,SACHAROMYCES BOULARDII,VINTIX 250mg X10CAP.,PHARMA INVESTI,$9.999,41%,$5.899
823,SALBUTAMOL INHALACION,BROPIL LF 100mcg INH.X200DS.,RECALCINE,$8.999,20%,$7.199
824,SALBUTAMOL INHALACION,SALBUTAMOL 100mcg INH.X200DS.,OPKO,$2.699,66%,$918
825,SALMETEROL + FLUTICASONA,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,$30.499,20%,$24.399
826,SALMETEROL + FLUTICASONA,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,$36.499,20%,$29.199
827,SALMETEROL + FLUTICASONA,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$49.599,96%,$1.984
828,SALMETEROL + FLUTICASONA,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$52.399,12%,$46.111
829,SALMETEROL + FLUTICASONA,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,$37.899,32%,$25.771
830,SALMETEROL + FLUTICASONA,SERETIDE DISKUS 100/50 INH.X60DS.,GLAXO,$46.999,53%,$22.090
831,SALMETEROL + FLUTICASONA,SERETIDE LF 250/25 CD X120DS.,GLAXO,$72.999,28%,$52.559
832,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,$49.499,56%,$21.780
833,SELEGILINA,SELGINA 5mg COMP.X30,ANDROMACO FARMA,$18.999,30%,$13.299
834,SERTRALINA,ELEVAL 100mg X30COM.REC.,RECALCINE,$36.999,25%,$27.749
835,SERTRALINA,ELEVAL 50mg X30COM.REC.,RECALCINE,$19.499,25%,$14.624
836,SERTRALINA,ELEVAL 50mg X60COM.REC.,RECALCINE,$35.499,25%,$26.624
837,SERTRALINA,EMERGEN 100MG 30C,LABORATORIO CHILE,$36.999,35%,$24.049
838,SERTRALINA,EMERGEN 50MG 30CR,LABORATORIO CHILE,$23.999,35%,$15.599
839,SERTRALINA,SERONEX (B) 100mg X30COM.REC.,EXELTIS CHILE,$25.999,20%,$20.799
840,SERTRALINA,SERONEX (B) 50mg X30COM.REC.,EXELTIS CHILE,$19.999,20%,$15.999
841,SERTRALINA,SERTAC 100MG.30COMP.RC.,ANDROMACO FARMA,$23.499,40%,$14.099
842,SERTRALINA,SERTAC 50MG.30COMP.REC.,ANDROMACO FARMA,$22.499,40%,$13.499
843,SERTRALINA,SERTRALINA (B) 100mg X30COM.,LABORATORIO CHILE,$7.099,75%,$1.775
844,SERTRALINA,SERTRALINA (B) 50mg X30COM.,LABORATORIO CHILE,$2.499,85%,$375
845,SILDENAFIL,DIRTOP 100 mg. x 5 comprimidos Rec.,MEDIPHARM,$11.999,78%,$2.640
846,SILDENAFIL,DIRTOP 50 mg. x 1 comprimido BE,MEDIPHARM,$1.499,31%,$1.034
847,SILDENAFIL,DIRTOP 50 mg. x 10 comprimidos BE,MEDIPHARM,$11.799,59%,$4.838
848,SILDENAFIL,DIRTOP 50 mg. x 20 comprimidos Rec. BE,MEDIPHARM,$14.999,58%,$6.300
849,SILDENAFIL,DIRTOP 50 mg. x 5 comprimidos,MEDIPHARM,$5.999,68%,$1.920
850,SIMETICONA,FLAPEX 4% GTAS.15ml,ANDROMACO FARMA,$13.899,20%,$11.119
851,SIMETICONA,FLAPEX E CAPS.X10,ANDROMACO FARMA,$4.999,20%,$3.999
852,SIMETICONA + PIPENZOLATO METILBROMURO,GASORBOL GTAS.15ml,ANDROMACO FARMA,$17.499,30%,$12.249
853,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 COMP.X56,MERCK SHARP&DOME,$52.999,30%,$37.099
854,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X28,MERCK SHARP&DOME,$31.999,25%,$23.999
855,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X56,MERCK SHARP&DOME,$51.499,30%,$36.049
856,SODIO CLORURO INYECTABLE,CLORURO DE SODIO 0.9% 20ml X5,BIOSANO,$1.899,50%,$950
857,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% 5ml X5AMP.,SANDERSON S.A.,$1.999,87%,$260
858,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X250ml,HOSPIFARMA,$1.199,47%,$635
859,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,$1.699,82%,$306
860,SODIO CLORURO INYECTABLE,CLORURO SODIO 10% 20ml X5AMP.,SANDERSON S.A.,$1.699,94%,$102
861,SODIO HIALURONATO,HYABAK SOL.OFT.10ml,THEA PHARMA SPA,$25.999,48%,$13.519
862,SODIO HIALURONATO,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,$24.999,74%,$6.500
863,SODIO HIALURONATO,TOPTEAR 0.4% SOF.X10ml,PHARMA INVESTI,$15.499,46%,$8.369
864,SUERO FISIOLOGICO USO NASAL,FISIOLIMP LN.X100ml,PASTEUR,$14.999,33%,$10.049
865,SULFADIAZINA DE PLATA,SULFADIAZINA DE PLATA X50g,BAMBERG/SCHUBERT,$23.299,76%,$5.592
866,SULPIRIDE,SULPILAN 50mg X30CAP.,ITF (EX LABOMED),$15.499,70%,$4.650
867,SULPIRIDE,SULPILAN FTE.300mg X20CAP.,ITF (EX LABOMED),$22.499,36%,$14.399
868,TACROLIMUS,CIDIMUS (B) 0.5mg X50CAP.,NOVARTIS CHILE S.A.,$54.999,43%,$31.349
869,TACROLIMUS,T-INMUN (B) 1mg X60CAP.,RECALCINE,$153.999,78%,$33.880
870,TAMSULOSINA,GOTELY 0.4mg CAPS.X30,TECNOFARMA LTDA.,$15.999,25%,$11.999
871,TAMSULOSINA,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,$20.199,89%,$2.222
872,TELMISARTAN,CORDIAX 40mg X30COM.,RECALCINE,$22.499,25%,$16.874
873,TELMISARTAN,CORDIAX 80mg X30COM.,RECALCINE,$25.999,25%,$19.499
874,TELMISARTAN + AMLODIPINO,CORDIAX AM 40/5 X30COM.,RECALCINE,$23.499,25%,$17.624
875,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/10 X30COM.,RECALCINE,$23.499,25%,$17.624
876,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/5 X30COM.,RECALCINE,$25.999,31%,$17.939
877,TELMISARTAN + HIDROCLOROTIAZIDA,CORDIAX D 40/12.5 X30COM.,RECALCINE,$23.499,25%,$17.624
878,TELMISARTAN + HIDROCLOROTIAZIDA,"TELLMI-D 80/12,5mg 30COMP",SAVAL S.A.,$23.999,36%,$15.359
879,TERBINAFINA,TERBINAFINA (B) 250mg X28COM.,LABORATORIO CHILE,$9.799,54%,$4.508
880,TERBINAFINA USO TOPICO,ELATER CREMA X 15 G,MEDIPHARM,$5.999,43%,$3.419
881,TERBINAFINA USO TOPICO,MUCIVIL 1% SP.X20ml,PRATER,$8.399,42%,$4.871
882,TESTOSTERONA,ACTISER-T 2.5g GEL SOB.X30,SILESIA,$32.999,20%,$26.399
883,TETRACICLINA,TETRACICLINA 500mg X8CAP.,HOSPIFARMA,$1.899,55%,$855
884,TIAMAZOL,THYROZOL 10mg X50COM.REC.,MERCK SA CHILE,$32.099,49%,$16.370
885,TIAMAZOL,THYROZOL 5mg X50COM.REC.,MERCK SA CHILE,$14.599,28%,$10.511
886,TIBOLONA,LIREX 2.5mg X30COM.,SILESIA,$24.199,42%,$14.035
887,TIBOLONA,"TINOX 2,5mg X30COM.",RECALCINE,$26.599,64%,$9.576
888,TICAGRELOR,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$44.399,56%,$19.536
889,TIMOLOL,"TIMOLOL 0,5% SOF.X10ml",OPKO,$2.799,80%,$560
890,TINIDAZOL + MICONAZOL,FAMIDAL CR.VAG.60g,ANDROMACO FARMA,$20.599,30%,$14.419
891,TINIDAZOL + MICONAZOL,FAMIDAL DUAL CR.20g+10OVULO,ANDROMACO FARMA,$23.999,30%,$16.799
892,TINIDAZOL + MICONAZOL,FAMIDAL OVUL.VAG.X10,ANDROMACO FARMA,$24.499,30%,$17.149
893,TIORIDAZINA,TIORIDAZINA 100mg X20COM.REC.,LABORATORIO CHILE,$5.399,61%,$2.106
894,TIORIDAZINA,TIORIDAZINA 25mg X30COM.REC.,LABORATORIO CHILE,$2.199,53%,$1.034
895,TIOTROPIO BROMURO,SPIRIVA RESPIMAT 2.5mcg INH.X30DS,BOEHRINGER INGELHEIM,$63.899,47%,$33.866
896,TIZANIDINA,SIRDALUD 2mg X12COM.,NOVARTIS CHILE S.A.,$15.499,20%,$12.399
897,TOLTERODINA,DETRUSITOL 2mg X28COM.REC.,PFIZER,$28.399,25%,$21.299
898,TOLTERODINA,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,$44.299,28%,$31.895
899,TOPIRAMATO,AMATO 25mg COM.X60,EUROFARMA CHILE S.A.,$21.499,30%,$15.049
900,TOPIRAMATO,AMATO(BE) 50mg COM.X60,EUROFARMA CHILE S.A.,$32.999,30%,$23.099
901,TOPIRAMATO,TOPICTAL (B) 100mg X28COM.REC.,TECNOFARMA LTDA.,$48.099,30%,$33.669
902,TOPIRAMATO,TOPICTAL 25mg X28COM.REC.,TECNOFARMA LTDA.,$22.899,30%,$16.029
903,TOPIRAMATO,TOPICTAL 50mg X28COM.REC.,TECNOFARMA LTDA.,$30.499,30%,$21.349
904,TOPIRAMATO,TOPREL 100mg X30COM.REC.,RECALCINE,$61.499,35%,$39.974
905,TOPIRAMATO,TOPREL 25mg X30COM.REC.,RECALCINE,$24.499,72%,$6.860
906,TOPIRAMATO,TOPREL 50mg X30COM.REC.,RECALCINE,$39.999,25%,$29.999
907,TRAMADOL,ANALGEX 100mg/ml GTAS.X20ml,RECALCINE,$12.999,95%,$650
908,TRAMADOL,TRAMADOL 100mg GTAS.X10ml,LABORATORIO CHILE,$4.099,79%,$861
909,TRAMADOL,TRAMADOL 50mg X10CAP.,SANITAS S.A.,$2.499,30%,$1.749
910,TRAMADOL,TRAMAL 100mg/ml GTAS.X10ml,GRUNENTHAL,$22.899,50%,$11.450
911,TRAMADOL,TRAMAL LONG 100mg X10COM.,GRUNENTHAL,$30.099,76%,$7.224
912,TRAMADOL,TRAMAL LONG 50mg X20COM.PROL.,GRUNENTHAL,$24.899,67%,$8.217
913,TRAMADOL,ZALEDOR 100mg. GOTAS 10 ml.,MEDIPHARM,$9.199,73%,$2.484
914,TRAZODONA,TRITTICO 100mg X20COM.,LABORATORIO CHILE,$30.599,35%,$19.889
915,TRAZODONA,TRITTICO 25mg X20CAP.,LABORATORIO CHILE,$23.999,53%,$11.280
916,TRAZODONA,TRITTICO AC 150mg X20COM.PROL.,LABORATORIO CHILE,$52.999,43%,$30.209
917,TRAZODONA,TRONSALAN 100mg X20COM.REC.,MEDIPHARM,$15.799,61%,$6.162
918,TRIBENOSIDO + LIDOCAINA,GESIPROCT X 30 GR.,MEDIPHARM,$10.399,25%,$7.799
919,TRICLOSAN,SANIGERMIN 1% JB.X90g,SANITAS S.A.,$1.599,41%,$943
920,TRIHEXIFENIDILO,TONARIL 2mg X100COM.,LABORATORIO CHILE,$22.999,80%,$4.600
921,TRIMEBUTINO,TRIMEBUTINO (B) 100mg X20COM.,ANDROMACO FARMA,$1.799,75%,$450
922,VALERATO DE ESTRADIOL + DIENOGEST,DONABEL 2/1 COMP.X28,EXELTIS CHILE,$19.999,20%,$15.999
923,VALSARTAN,VERALPRES(BE) 160mg COMP.X30,EUROFARMA CHILE S.A.,$12.999,30%,$9.099
924,VALSARTAN,TAREG (R) 160mg X28COM.REC.,AXON PHARMA,$37.299,30%,$26.109
925,VALSARTAN,TAREG (R) 160mg X56COM.REC.,AXON PHARMA,$60.499,30%,$42.349
926,VALSARTAN,TAREG (R) 320mg X28COM.REC.,AXON PHARMA,$37.499,30%,$26.249
927,VALSARTAN,TAREG (R) 80mg X28COM.REC.,AXON PHARMA,$41.499,30%,$29.049
928,VALSARTAN,TAREG (R) 80mg X56COM.REC.,AXON PHARMA,$59.499,30%,$41.649
929,VALSARTAN,(B) VALAPLEX 160mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
930,VALSARTAN,(B) VALAPLEX 320mg COM.X30,LABORATORIO CHILE,$16.899,35%,$10.984
931,VALSARTAN,(B) VALAPLEX 80mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
932,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X28COM.REC.,AXON PHARMA,$47.299,30%,$33.109
933,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X56COM.REC.,AXON PHARMA,$68.399,30%,$47.879
934,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X28COM.REC.,AXON PHARMA,$36.499,30%,$25.549
935,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X56COM.REC.,AXON PHARMA,$57.699,30%,$40.389
936,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X28COM.REC.,AXON PHARMA,$37.599,30%,$26.319
937,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X56COM.REC.,AXON PHARMA,$63.999,30%,$44.799
938,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/25 X28COM.REC.,AXON PHARMA,$35.499,30%,$24.849
939,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X28COM.REC.,AXON PHARMA,$44.099,30%,$30.869
940,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X56COM.REC,AXON PHARMA,$68.699,30%,$48.089
941,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 160/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
942,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 80/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
943,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D FTE 160/25MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
944,VASELINA LIQUIDA MEDICINAL,VASELINA MEDICINAL X120ml,LABORATORIO CHILE,$1.499,26%,$1.109
945,VENLAFAXINA,ECTIEN XR 150 MG X 30 CAPSULAS,LABORATORIO CHILE,$41.999,30%,$29.399
946,VENLAFAXINA,ECTIEN XR 37.5 MG X 30 CAPSULAS,LABORATORIO CHILE,$16.499,35%,$10.724
947,VENLAFAXINA,ECTIEN XR 75 MG X 30 CAPSULAS,LABORATORIO CHILE,$21.499,55%,$9.675
948,VENLAFAXINA,EFEXOR XR (R) 75mg X30CAP.,PFIZER,$62.099,45%,$34.154
949,VENLAFAXINA,SENEXON SR 150mg X30COM.PROL.,RECALCINE,$62.499,31%,$43.124
950,VENLAFAXINA,SENEXON SR 37.5mg X30COM.REC.,RECALCINE,$25.799,20%,$20.639
