,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
709,OLANZAPINA,(B) AMULSIN 5mg COMP.X30,SANITAS S.A.,$31.799,23%,$24.485
710,OLMESARTAN,CARDIOPLUS 20mg X30COM.REC.,RECALCINE,$19.699,25%,$14.774
711,OLMESARTAN,CARDIOPLUS 40mg X30COM.REC.,RECALCINE,$18.999,35%,$12.349
712,OLMESARTAN,OLTAN 20mg X30COM.REC.,ITF (EX LABOMED),$14.999,25%,$11.249
713,OLMESARTAN,OLTAN 40mg X30COM.REC.,ITF (EX LABOMED),$18.399,35%,$11.959
714,OLMESARTAN + AMLODIPINO,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),$18.099,35%,$11.764
715,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 20/12.5 X30COM.REC.,RECALCINE,$23.499,25%,$17.624
716,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 40/12.5 X30COM.REC.,RECALCINE,$24.699,25%,$18.524
717,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 20/12.5 X30COM.,ITF (EX LABOMED),$15.099,25%,$11.324
718,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 40/12.5 X30COM.,ITF (EX LABOMED),$17.599,25%,$13.199
719,OMEGA3+ANTIOXIDANTES+MINERALES+VITAMINAS,MANHAE X30CAP.,PASTEUR,$17.199,20%,$13.759
720,OMEPRAZOL,(B) OMEPRAZOL 20mg COM.X60,LABORATORIO CHILE,$3.299,30%,$2.309
721,OMEPRAZOL,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,$1.699,55%,$765
722,OMEPRAZOL,LOMEX (B) 20mg 28CAP.PROL.,SAVAL S.A.,$21.999,24%,$16.719
723,ONDANSETRON,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,$62.999,75%,$15.750
724,OXCARBAZEPINA,TRILEPTAL 300mg X30COM.,AXON PHARMA,$29.199,31%,$20.147
725,OXIDO DE ZINC,PASTA LASSAR X50g,RECETARIO,$1.499,61%,$585
726,OXIDO DE ZINC,PASTA LASSAR X100g,RECETARIO,$2.199,20%,$1.759
727,OXOLAMINA,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,$2.199,60%,$880
728,OXOLAMINA,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.899,67%,$627
729,PANCREATINA,CREON 10.000 X20CAP.PROL.,ABBOTT FARMA,$24.999,58%,$10.500
730,PANCREATINA + PEPSINA + DIASTASA + BILIS DES. + SIMETICONA,FLAPEX E CAPS.X20,ANDROMACO FARMA,$8.099,20%,$6.479
731,PANCREATINA + SIMETICONA,DIGENIL X10CAP.,SAVAL S.A.,$6.199,20%,$4.959
732,PANTOPRAZOL,PANTOCAL 40mg X28COM.REC.,EUROFARMA CHILE S.A.,$18.999,36%,$12.159
733,PANTOPRAZOL,ZOLTUM 40mg X28COM.,TECNOFARMA LTDA.,$27.099,40%,$16.259
734,PARACETAMOL,GESIDOL 500 MG BE X 24 COMPRIMIDOS,MEDIPHARM,$1.490,29%,$1.058
735,PARACETAMOL,GESIDOL NIÑOS 160mg X16COM.MAST.,MEDIPHARM,$2.399,62%,$912
736,PARACETAMOL,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,$7.899,42%,$4.581
737,PARACETAMOL,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,$899,85%,$135
738,PARACETAMOL,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,$1.799,77%,$414
739,PARACETAMOL,PARACETAMOL PED.125mg X5SUP.,LABORATORIO CHILE,$1.499,63%,$555
740,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,CORTIGRIP DIA/NOCHE x 15 comprimidos,MEDIPHARM,$3.399,25%,$2.549
741,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN CPTO.S.O.X100ml,LABORATORIO CHILE,$6.999,86%,$980
742,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.JBE.X100ml,BAGO,$8.899,83%,$1.513
743,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.JBE.X100ml,CHEMOPHARMA S.A.,$8.599,84%,$1.376
744,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,$4.799,88%,$576
745,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) CPTO.GTAS.X15ml,BAGO,$14.799,25%,$11.099
746,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL DN COMP.X18,BAGO,$3.799,25%,$2.849
747,PARACETAMOL + CLORZOXAZONA,BREVEX X20COM.REC.,BAGO,$11.999,12%,$10.559
748,PARACETAMOL + CLORZOXAZONA,DESDOL X 20 COMPR.,MEDIPHARM,$7.499,55%,$3.375
749,PARACETAMOL + PSEUDOEFEDRINA,CORTIGRIP x 10 comprimidos,MEDIPHARM,$3.799,41%,$2.241
750,PARACETAMOL + TRAMADOL,ZALDIAR X20COM.REC.,GRUNENTHAL,$26.699,41%,$15.752
751,PARACETAMOL + TRAMADOL,ZALEDOR P COMP.X30,MEDIPHARM,$12.999,68%,$4.160
752,PARACETAMOL + TRAMADOL,PARACETAMOL/TRAMADOL (B) 325/37.5mg X30C,LABORATORIO CHILE,$9.399,69%,$2.914
753,PARGEVERINA CLORHIDRATO,VIADIL 5mg/ml GTAS.X15ml,PHARMA INVESTI,$7.399,50%,$3.700
754,PAROXETINA,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,$23.899,21%,$18.880
755,PAROXETINA,(B) POSIVYL 20mg COMP.X30,LABORATORIO CHILE,$37.499,35%,$24.374
756,PAROXETINA,SERETRAN 20mg X30COM.,RECALCINE,$38.499,25%,$28.874
757,PAROXETINA,(B) TRAVIATA 20mg COMP.X30,ANDROMACO FARMA,$42.999,40%,$25.799
758,PAROXETINA,AROTEX (B) 20mg X30COM.REC,RECALCINE,$18.699,30%,$13.089
759,PENICILINA G SODICA,PENICILINA G SOD 1000000UI X1F-A,OPKO,$899,91%,$81
760,PENICILINA G SODICA,PENICILINA G SOD 2000000UI X1F-A,OPKO,$1.199,64%,$432
761,PENTOXIFILINA,PENTOXIFILINA 400mg X30COM.,LABORATORIO CHILE,$8.299,55%,$3.735
762,PERMETRINA,KILNITS 1% SH.X100ml,ANDROMACO FARMA,$9.299,80%,$1.860
763,PERMETRINA,NOLAIS SHAMPOO X 120 ML,MEDIPHARM,$3.799,34%,$2.507
764,PIRACETAM,NOOTROPYL 800mg X30COM.REC.,GLAXO,$25.499,54%,$11.730
765,POLIMIXINA B + NEOMICINA + BETAMETASONA + LIDOCAINA,OTOLISAN SOL.OT.X10ml,PHARMA INVESTI,$14.399,20%,$11.519
766,POLIVITAMINICO,BION 3 X30COM.REC.,PROCTER&GAMBLE (FARMA),$9.699,27%,$7.080
767,POLIVITAMINICO,INFORTIN PROBIOTICOS X30COM.MAST.,PRATER,$11.599,13%,$10.091
768,POLIVITAMINICO CON MINERALES,BIOCORD ACTIVE x 30 FLUIDCAPS,MEDIPHARM,$5.299,25%,$3.974
769,POLIVITAMINICO CON MINERALES,REGENESIS UP CAPS.X30,EXELTIS CHILE,$15.399,20%,$12.319
770,POLIVITAMINICO CON MINERALES,INFOR PRO X30COM.,PRATER,$11.399,27%,$8.321
771,POLIVITAMINICO PRENATAL,PRENAMIN NATAL VITAM/OMEGA X60CAP.,RECALCINE,$19.999,25%,$14.999
772,POLIVITAMINICO PRENATAL,REGENESIS MAX 30CAP.,EXELTIS CHILE,$14.999,20%,$11.999
773,POLIVITAMINICO PRENATAL,NATICARE SUPRA X30CAP.,ITF (EX LABOMED),$14.499,20%,$11.599
774,POLIVITAMINICOS C/GINSENG,REGENESIS NEXT 30CAP.,EXELTIS CHILE,$15.999,20%,$12.799
775,POLOXAMER + POLIETILENGLICOL + CARBOMER,BLEPHAGEL DUO GEL 40g,THEA PHARMA SPA,$23.899,30%,$16.729
776,POTASIO GLUCONATO,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,$6.499,53%,$3.055
777,POTASIO GLUCONATO,YONKA 780mg X40TAB.,ANDROMACO FARMA,$13.899,58%,$5.838
778,PRAMIPEXOLE,PARMITAL (B) 0.25mg COMP.X30,TECNOFARMA LTDA.,$11.099,3%,$10.766
779,PRAMIPEXOLE,BIOPSOL 1mg X30COM.,RECALCINE,$47.999,96%,$1.920
780,PRAMIPEXOLE,INTAXEL 1 MG 30 C,LABORATORIO CHILE,$30.999,35%,$20.149
781,PRAMIPEXOLE,SIFROL ER (R) 1.5mg X30COM.PROL.,BOEHRINGER INGELHEIM,$97.699,64%,$35.172
782,PREDNISOLONA ACETATO COLIRIO,SOPHIPREN OFTENO 1% SOF.X5ml,SOPHIA,$20.999,65%,$7.350
783,PREDNISOLONA ACETATO COLIRIO,PREDNISOLONA 1% SOF.X5ml,PHARMATECH CHILE S.A.,$9.799,68%,$3.136
784,PREDNISONA,(B) BERSEN 20mg COMP.X20,PASTEUR,$6.499,23%,$5.004
785,PREDNISONA,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,$7.399,20%,$5.919
786,PREDNISONA,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,$12.499,20%,$9.999
787,PREDNISONA,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,$11.099,85%,$1.665
788,PREDNISONA,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,$1.299,70%,$390
789,PREDNISONA,PROCION 20 mg. x 20 comprimidos,MEDIPHARM,$6.999,70%,$2.100
790,PREDNISONA,PROCION 20 mg/5ml SUSPENSION 60 ml.,MEDIPHARM,$7.499,55%,$3.375
791,PREGABALINA,(B) PRESTAT 75mg COMP.X40,BAGO,$12.699,30%,$8.889
792,PREGABALINA,(R) LYRICA 75mg CAPS.X28,PFIZER,$41.299,15%,$35.104
793,PREGABALINA,ALIVAX 150 MG 30 CAPSULAS,LABORATORIO CHILE,$23.699,34%,$15.641
794,PREGABALINA,ALIVAX 75MG X 30 COMP BE,LABORATORIO CHILE,$13.499,35%,$8.774
795,PREGABALINA,PREGALEX 150MG/30COMP,ANDROMACO FARMA,$44.799,25%,$33.599
796,PREGABALINA,(B) PREGALEX 75mg COMP.X30,ANDROMACO FARMA,$19.899,23%,$15.322
797,PREGABALINA,PREGOBIN (B) 150mg X30CAP.,RECALCINE,$44.999,25%,$33.749
798,PREGABALINA,NEURUM (B) 75mg X30COM.,SAVAL S.A.,$12.699,20%,$10.159
799,PREGABALINA,PLENITEX (B) 150mg X30CAP.,RECALCINE,$22.999,25%,$17.249
800,PRIMIDONA,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,$5.899,30%,$4.129
801,PROGESTERONA,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,$19.999,20%,$15.999
802,PROGESTERONA,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,$19.999,25%,$14.999
803,PROGESTERONA,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,$22.999,25%,$17.249
804,PROGESTERONA,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,$32.999,24%,$25.079
805,PROGESTERONA,PROGEVA 200mg X30CAP.,ITF (EX LABOMED),$19.599,20%,$15.679
806,PROPAFENONA,RITMOCOR 150mg X20COM.,RECALCINE,$28.399,48%,$14.767
807,PROPAFENONA,RITMOCOR 300mg X20COM.,RECALCINE,$41.499,35%,$26.974
808,PROPANOLOL,PROPANOLOL 10mg X20COM.,HOSPIFARMA,$1.299,78%,$286
809,PROPANOLOL,PROPANOLOL 40mg X20COM.,HOSPIFARMA,$799,72%,$224
810,PROPARACAINA,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.OTC,$32.999,81%,$6.270
811,PROPINOXATO,VIPLAN FORTE GOTAS x 15 ml,MEDIPHARM,$5.199,59%,$2.132
812,PROPINOXATO,VIPLAN GOTAS x 20 ml.,MEDIPHARM,$6.099,25%,$4.574
813,PROPINOXATO + METAMIZOL,VIADIL CPTO.GTAS.15ml,PHARMA INVESTI,$9.099,25%,$6.824
814,PRUCALOPRIDA SUCCINATO,PRUCALEX 2mg COMP.X30,ANDROMACO FARMA,$44.999,30%,$31.499
815,PRUCALOPRIDA SUCCINATO,PRUVAL 2mg X30COM.REC,SAVAL S.A.,$37.599,30%,$26.319
816,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D x 20 cápsulas,MEDIPHARM,$10.599,25%,$7.949
817,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D X10CAP.,MEDIPHARM,$8.599,25%,$6.449
818,QUETIAPINA,ASICOT 100MG 30CR,LABORATORIO CHILE,$23.599,35%,$15.339
819,QUETIAPINA,ASICOT 200MG 30CR,LABORATORIO CHILE,$47.699,35%,$31.004
820,QUETIAPINA,ASICOT 25MG 30CR,LABORATORIO CHILE,$17.399,35%,$11.309
821,QUETIAPINA,EUFRENIM (B) 100mg X30COM.REC.,NOVARTIS CHILE S.A.,$21.599,84%,$3.456
822,QUETIAPINA,QUEPIMAX (B) 25mg COMP.X30,MEDIPHARM,$16.499,61%,$6.435
823,QUETIAPINA,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,$11.999,66%,$4.080
824,QUETIAPINA,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,$43.499,35%,$28.274
825,QUETIAPINA,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,$65.499,25%,$49.124
826,QUETIAPINA,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,$25.999,35%,$16.899
827,QUETIAPINA,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,$80.999,35%,$52.649
828,QUETIAPINA,QUETIDIN XR 150mg X30COM.,RECALCINE,$47.999,31%,$33.119
829,QUETIAPINA,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,$55.999,35%,$36.399
830,QUETIAPINA,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,$39.499,35%,$25.674
831,QUETIAPINA,SEROQUEL (R) 100mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$84.399,19%,$68.363
832,QUETIAPINA,SEROQUEL (R) 200mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$117.499,25%,$88.124
833,QUETIAPINA,SEROQUEL (R) 25mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$43.799,19%,$35.477
834,QUETIAPINA,SEROQUEL XR (R) 200mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$90.299,25%,$67.724
835,QUETIAPINA,SEROQUEL XR (R) 300mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$100.999,87%,$13.130
836,QUETIAPINA,SEROQUEL XR (R) 400mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$116.299,16%,$97.691
837,QUETIAPINA,SEROQUEL XR (R) 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.099,21%,$66.438
838,QUETIAPINA,SEROQUEL XR 150mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.699,25%,$63.524
839,QUETIAPINA,QUETEX (B) 200mg X30COM.REC,EXELTIS CHILE,$42.799,25%,$32.099
840,QUETIAPINA,QUETEX XR (B) 150mg X30COM.REC,EXELTIS CHILE,$45.199,25%,$33.899
841,QUETIAPINA,QUETEX XR (B) 50mg X30COM.REC,EXELTIS CHILE,$35.099,25%,$26.324
842,QUETIAPINA,QUETIUM (B) 300mg X30COM.REC.,SAVAL S.A.,$37.199,25%,$27.899
843,QUETIAPINA,QUETIAPINA (B) 25mg 30COM.REC,LABORATORIO CHILE,$8.499,35%,$5.524
844,RABEPRAZOL,GASTRODINE 20 mg. x 28 comprimidos,MEDIPHARM,$15.499,51%,$7.595
845,RIFAXIMA,NORMIX 200mg COMP.X24,ANDROMACO FARMA,$36.499,41%,$21.534
846,RIFAXIMA,RIBOLAC 200mg X10COM.,RECALCINE,$10.999,20%,$8.799
847,RISPERIDONA,DAGOTIL 3mg X30COM.,PHARMA INVESTI,$23.799,93%,$1.666
848,RISPERIDONA,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,$17.599,20%,$14.079
849,RISPERIDONA,RADIGEN 1 mg. FRASCO 30 ml.,MEDIPHARM,$16.899,25%,$12.674
850,RISPERIDONA,SPIRON 1MG.30COMP.,ANDROMACO FARMA,$30.499,40%,$18.299
851,RISPERIDONA,SPIRON 1mg/ml GTAS.X30ml,ANDROMACO FARMA,$26.499,39%,$16.164
852,RISPERIDONA,SPIRON FT 3MG. 30COMP.TRISECTADOS,ANDROMACO FARMA,$30.999,40%,$18.599
853,RISPERIDONA,DAGOTIL 1mg/ml GTAS.X30ml,PHARMA INVESTI,$28.399,45%,$15.619
854,RISPERIDONA,DAGOTIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$20.599,40%,$12.359
855,RIVAROXABAN,XARELTO 15mg COMP.X28,BAYER ETICO,$70.499,23%,$54.284
856,RIVAROXABAN,XARELTO 20mg COMP.X28,BAYER ETICO,$75.499,28%,$54.359
857,RIVASTIGMINA,EXELON (R) 1.5mg X28CAP.,AXON PHARMA,$78.899,30%,$55.229
858,RIVASTIGMINA,EXELON (R) 3mg X28CAP.,AXON PHARMA,$74.499,30%,$52.149
859,RIVASTIGMINA,EXELON (R) 4.5mg X28CAP.,AXON PHARMA,$78.299,30%,$54.809
860,RIVASTIGMINA,EXELON (R) 6mg X28CAP.,AXON PHARMA,$77.599,30%,$54.319
861,RIVASTIGMINA,EXELON 10 X30PCHE.,AXON PHARMA,$99.499,30%,$69.649
862,RIVASTIGMINA,EXELON 15 X30PCHE.,AXON PHARMA,$99.499,30%,$69.649
863,RIVASTIGMINA,EXELON 5 X30PCHE.,AXON PHARMA,$97.299,30%,$68.109
864,ROSUVASTATINA,(R) CRESTOR TABLETS 10mg COM.X30,ASTRA ZENECA DE CHILE LTDA.,$41.399,20%,$33.119
865,ROSUVASTATINA,CRESADEX 10mg X30COM.REC.,RECALCINE,$26.999,73%,$7.290
866,ROSUVASTATINA,CRESADEX 20mg X30COM.REC.,RECALCINE,$36.999,66%,$12.580
867,ROSUVASTATINA,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$60.299,25%,$45.224
868,ROSUVASTATINA,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$81.099,24%,$61.635
869,ROSUVASTATINA,ROSVEL 10 MG 30 CR,LABORATORIO CHILE,$10.599,35%,$6.889
870,ROSUVASTATINA,ROSVEL 10 MG 60 CR,LABORATORIO CHILE,$13.899,35%,$9.034
871,ROSUVASTATINA,ROSVEL 20 MG 30 CR,LABORATORIO CHILE,$14.199,35%,$9.229
872,RUPATADINA,REAX 10mg X30COM.,RECALCINE,$11.499,25%,$8.624
873,RUPATADINA,REXANEL 10mg X30COM.,PRATER,$12.099,25%,$9.074
874,SACHAROMYCES BOULARDII,VINTIX 250mg X10CAP.,PHARMA INVESTI,$9.999,32%,$6.799
875,SALBUTAMOL INHALACION,BROPIL LF 100mcg INH.X200DS.,RECALCINE,$8.999,20%,$7.199
876,SALBUTAMOL INHALACION,SALBUTAMOL 100mcg INH.X200DS.,OPKO,$2.699,66%,$918
877,SALMETEROL + FLUTICASONA,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,$30.499,20%,$24.399
878,SALMETEROL + FLUTICASONA,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,$36.499,20%,$29.199
879,SALMETEROL + FLUTICASONA,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$49.599,96%,$1.984
880,SALMETEROL + FLUTICASONA,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$52.399,12%,$46.111
881,SALMETEROL + FLUTICASONA,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,$37.899,32%,$25.771
882,SALMETEROL + FLUTICASONA,SERETIDE LF 250/25 CD X120DS.,GLAXO,$65.799,28%,$47.375
883,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$27.999,30%,$19.599
884,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,$49.499,56%,$21.780
885,SELEGILINA,SELGINA 5mg COMP.X30,ANDROMACO FARMA,$19.599,21%,$15.483
886,SERTRALINA,ELEVAL 100mg X30COM.REC.,RECALCINE,$36.999,35%,$24.049
887,SERTRALINA,ELEVAL 50mg X30COM.REC.,RECALCINE,$19.499,25%,$14.624
888,SERTRALINA,ELEVAL 50mg X60COM.REC.,RECALCINE,$35.499,25%,$26.624
889,SERTRALINA,SERONEX (B) 100mg X30COM.REC.,EXELTIS CHILE,$25.999,20%,$20.799
890,SERTRALINA,SERONEX (B) 50mg X30COM.REC.,EXELTIS CHILE,$19.999,20%,$15.999
891,SERTRALINA,SERTAC 100MG.30COMP.RC.,ANDROMACO FARMA,$23.999,40%,$14.399
892,SERTRALINA,SERTAC 50MG.30COMP.REC.,ANDROMACO FARMA,$22.999,40%,$13.799
893,SERTRALINA,SERTRALINA (B) 50mg X30COM.,LABORATORIO CHILE,$2.499,85%,$375
894,SERTRALINA,SERTRALINA (B) 100mg X30COM.,LABORATORIO CHILE,$7.099,75%,$1.775
895,SILDENAFIL,DIRTOP 100 mg. x 5 comprimidos Rec.,MEDIPHARM,$11.999,70%,$3.600
896,SILDENAFIL,DIRTOP 50 mg. x 1 comprimido BE,MEDIPHARM,$1.499,31%,$1.034
897,SILDENAFIL,DIRTOP 50 mg. x 10 comprimidos BE,MEDIPHARM,$11.799,59%,$4.838
898,SILDENAFIL,DIRTOP 50 mg. x 20 comprimidos Rec. BE,MEDIPHARM,$14.999,58%,$6.300
899,SILDENAFIL,DIRTOP 50 mg. x 5 comprimidos,MEDIPHARM,$5.999,68%,$1.920
900,SIMETICONA,FLAPEX 4% GTAS.15ml,ANDROMACO FARMA,$14.199,20%,$11.359
901,SIMETICONA,FLAPEX E CAPS.X10,ANDROMACO FARMA,$5.199,20%,$4.159
902,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 COMP.X56,MERCK SHARP&DOME,$54.699,24%,$41.571
903,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X28,MERCK SHARP&DOME,$32.999,25%,$24.749
904,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X56,MERCK SHARP&DOME,$53.199,23%,$40.963
905,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 X28COM.REC.,MERCK SHARP&DOME,$33.599,30%,$23.519
906,SODIO CLORURO INYECTABLE,CLORURO DE SODIO 0.9% 20ml X5,BIOSANO,$1.899,50%,$950
907,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,$1.699,82%,$306
908,SODIO HIALURONATO,HYABAK SOL.OFT.10ml,THEA PHARMA SPA,$25.999,48%,$13.519
909,SODIO HIALURONATO,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,$25.899,74%,$6.734
910,SODIO HIALURONATO,TOPTEAR 0.4% SOF.X10ml,PHARMA INVESTI,$15.499,38%,$9.609
911,SUERO FISIOLOGICO USO NASAL,FISIOLIMP LN.X100ml,PASTEUR,$14.999,33%,$10.049
912,SUERO FISIOLOGICO USO NASAL,BEBESAL SOL.NASAL SPRAY X100ml,RECETARIO,$14.999,33%,$10.049
913,SULFADIAZINA DE PLATA,SULFADIAZINA DE PLATA X50g,BAMBERG/SCHUBERT,$23.299,76%,$5.592
914,SULPIRIDE,SULPILAN 50mg X30CAP.,ITF (EX LABOMED),$15.999,70%,$4.800
915,SUPLEMENTO ALIMENTICIO,AVOPLUS X60TAB.,VITAMIN LIFE,$20.999,20%,$16.799
916,TACROLIMUS,T-INMUN (B) 1mg X60CAP.,RECALCINE,$153.999,78%,$33.880
917,TAMSULOSINA,GOTELY 0.4mg CAPS.X30,TECNOFARMA LTDA.,$15.999,24%,$12.159
918,TAMSULOSINA,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,$19.799,89%,$2.178
919,TAMSULOSINA,(B) SULIX 0.4mg CAPS.X30,SYNTHON,$11.999,16%,$10.079
920,TELMISARTAN,CORDIAX 40mg X30COM.,RECALCINE,$22.499,15%,$19.124
921,TELMISARTAN,CORDIAX 80mg X30COM.,RECALCINE,$25.999,25%,$19.499
922,TELMISARTAN,TELLMI (B) 80mg X30COMP,SAVAL S.A.,$23.999,25%,$17.999
923,TELMISARTAN,TENSUREN (B) 40mg X30COM,LABORATORIO CHILE,$18.999,24%,$14.439
924,TELMISARTAN + AMLODIPINO,CORDIAX AM 40/5 X30COM.,RECALCINE,$23.499,25%,$17.624
925,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/10 X30COM.,RECALCINE,$23.499,25%,$17.624
926,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/5 X30COM.,RECALCINE,$25.999,23%,$20.019
927,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/10 X28COM.,BOEHRINGER INGELHEIM,$36.699,25%,$27.524
928,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/5 X28COM.,BOEHRINGER INGELHEIM,$41.299,31%,$28.496
929,TELMISARTAN + HIDROCLOROTIAZIDA,CORDIAX D 40/12.5 X30COM.,RECALCINE,$23.499,17%,$19.504
930,TELMISARTAN + HIDROCLOROTIAZIDA,"TELLMI-D 80/12,5mg 30COMP",SAVAL S.A.,$23.999,36%,$15.359
931,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 40/12.5 X28COM.,BOEHRINGER INGELHEIM,$38.799,25%,$29.099
932,TERBINAFINA,TERBINAFINA (B) 250mg X28COM.,LABORATORIO CHILE,$9.799,49%,$4.997
933,TERBINAFINA,MUCIVIL (B) 250mg COM.X30,PRATER,$10.499,34%,$6.929
934,TERBINAFINA USO TOPICO,ELATER CREMA X 15 G,MEDIPHARM,$5.999,43%,$3.419
935,TERBINAFINA USO TOPICO,MUCIVIL 1% SP.X20ml,PRATER,$6.999,42%,$4.059
936,TERBINAFINA USO TOPICO,DICIL 1% SOL.SP.X30ml,PHARMA INVESTI,$8.799,42%,$5.103
937,TETRACICLINA,TETRACICLINA 500mg X8CAP.,HOSPIFARMA,$1.899,55%,$855
938,TIAMAZOL,THYROZOL 10mg X50COM.REC.,MERCK SA CHILE,$33.099,49%,$16.880
939,TIAMAZOL,THYROZOL 5mg X50COM.REC.,MERCK SA CHILE,$15.099,28%,$10.871
940,TIBOLONA,LIREX 2.5mg X30COM.,SILESIA,$25.199,35%,$16.379
941,TIBOLONA,"TINOX 2,5mg X30COM.",RECALCINE,$26.599,64%,$9.576
942,TICAGRELOR,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$44.399,56%,$19.536
943,TINIDAZOL + MICONAZOL,FAMIDAL CR.VAG.60g,ANDROMACO FARMA,$21.299,30%,$14.909
944,TINIDAZOL + MICONAZOL,FAMIDAL DUAL CR.20g+10OVULO,ANDROMACO FARMA,$23.999,30%,$16.799
945,TINIDAZOL + MICONAZOL,FAMIDAL OVUL.VAG.X10,ANDROMACO FARMA,$25.299,30%,$17.709
946,TINIDAZOL + MICONAZOL,GINECOPAST DUAL CR.X10g+10OV.,PASTEUR,$13.999,30%,$9.799
