,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
857,ANDROMACO FARMA,IBAMES 150mg COMP.X1,30%,$ 33.899,$ 23.729
858,ANDROMACO FARMA,LISACNE 10mg CAPS.X30,30%,$ 25.099,$ 17.569
859,ANDROMACO FARMA,LISACNE 20mg CAPS.X30,30%,$ 34.499,$ 24.149
860,ANDROMACO FARMA,(B) BIVIR 150mg COMP.X60,30%,$ 86.999,$ 60.899
861,GENERICOS,LANZOPRAZOL 30mg COMP.X30,30%,$ 4.299,$ 3.009
862,OPKO,LANZOPRAZOL 30mg COMP.X30,30%,$ 4.299,$ 3.009
863,LABORATORIO CHILE,LANZOPRAZOL 30mg COMP.X30,30%,$ 4.299,$ 3.009
864,MINTLAB,LANZOPRAZOL 30mg COMP.X30,30%,$ 4.299,$ 3.009
865,RIDER,LANZOPRAZOL 30mg COMP.X30,30%,$ 4.299,$ 3.009
866,ANDROMACO FARMA,LEVOFAMIL 250/25 COMP.X30,30%,$ 21.099,$ 14.769
867,ANDROMACO FARMA,(B) QUINOBIOT 500mg COMP.X7,30%,$ 17.699,$ 12.389
868,ANDROMACO FARMA,(B) QUINOBIOT 750mg COMP.X10,30%,$ 19.399,$ 13.579
869,ANDROMACO FARMA,(B) QUINOBIOT 750mg COMP.X7,30%,$ 17.299,$ 12.109
870,ANDROMACO FARMA,(B) ARATAN 100mg COMP.X30,30%,$ 20.399,$ 14.279
871,ANDROMACO FARMA,(B) ARATAN 50mg COMP.X30,30%,$ 18.399,$ 12.879
872,ANDROMACO FARMA,ARATAN D COMP.X30,30%,$ 29.099,$ 20.369
873,ANDROMACO FARMA,ARATAN D FTE.COMP.X30,30%,$ 28.299,$ 19.809
874,RECALCINE,CORODIN D FTE.COMP.REC.X30,30%,$ 28.099,$ 19.669
875,GENERICOS,LOSARTAN/HIDRO 100/25 COMP.X30,30%,$ 2.999,$ 2.099
876,340-EUROMED,LOSARTAN/HIDRO 100/25 COMP.X30,30%,$ 2.999,$ 2.099
877,GENERICOS,LOSARTAN/HIDROCL COMP.X30,30%,$ 5.199,$ 3.639
878,MINTLAB,LOSARTAN/HIDROCL COMP.X30,30%,$ 5.199,$ 3.639
879,HOSPIFARMA,LOSARTAN/HIDROCL COMP.X30,30%,$ 5.199,$ 3.639
880,VOLTA FARMA,LOSARTAN/HIDROCL COMP.X30,30%,$ 5.199,$ 3.639
881,PHARMA INVESTI,LOSARTAN/HIDROCL COMP.X30,30%,$ 5.199,$ 3.639
882,ANDROMACO FARMA,LAX SOB.X7,30%,$ 10.099,$ 7.069
883,ANDROMACO FARMA,EVADOL XR 200mg CAPS.X30,30%,$ 24.999,$ 17.499
884,PHARMA INVESTI,VIVIMEX 10mg COMP.X60,30%,$ 33.099,$ 23.169
885,ANDROMACO FARMA,(B) GLIFORTEX 850mg COMP.X30,30%,$ 9.199,$ 6.439
886,ANDROMACO FARMA,(B) GLIFORTEX 850mg COMP.X60,30%,$ 15.299,$ 10.709
887,GENERICOS,(B) METFORMINA 850mg COMP.X30,30%,$ 2.399,$ 1.679
888,ANDROMACO FARMA,GLIFORTEX XR 1000 COMP.X30,30%,$ 13.699,$ 9.589
889,ANDROMACO FARMA,GLIFORTEX XR 500 COMP.X30,30%,$ 7.299,$ 5.109
890,ANDROMACO FARMA,GLIFORTEX XR 750 COMP.X30,30%,$ 11.199,$ 7.839
891,ANDROMACO FARMA,GLIFORTEX-G 500/5.0 COMP.X30,30%,$ 8.999,$ 6.299
892,MERCK QCA.CHILENA SOC.LTDA.,GLUCOVANCE 500/5 COMP.X30,30%,$ 16.999,$ 11.899
893,ANDROMACO FARMA,ISOPRINOSINE 250mg JBE.120ml,30%,$ 32.999,$ 23.099
894,ANDROMACO FARMA,ISOPRINOSINE 500mg COMP.X20,30%,$ 44.399,$ 31.079
895,ANDROMACO FARMA,TRIOZOL 0.75% GEL X30g,30%,$ 19.399,$ 13.579
896,ANDROMACO FARMA,DACNEL 100mg COMP.X30,30%,$ 34.399,$ 24.079
897,ANDROMACO FARMA,DACNEL 50mg COMP.X30,30%,$ 17.699,$ 12.389
898,SILESIA,NALERONA 50mg COMP.X30,30%,$ 71.799,$ 50.259
899,ANDROMACO FARMA,NISTAGLOS CR.30g,30%,$ 11.499,$ 8.049
900,ANDROMACO FARMA,ZAPINEX FT 10mg COMP.X30,30%,$ 77.199,$ 54.039
901,GENERICOS,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
902,176-OPKO,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
903,220-MINTLAB,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
904,340-EUROMED,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
905,3-ANDROMACO FARMA,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
906,43-LABORATORIO CHILE,(B) OMEPRAZOL 20mg COM.X60,30%,$ 3.199,$ 2.239
907,ANDROMACO FARMA,RIMIVAT 12mg/ml 75ml,30%,$ 43.199,$ 30.239
908,ANDROMACO FARMA,RIMIVAT 75mg CAPS.X10,30%,$ 42.299,$ 29.609
909,ANDROMACO FARMA,BLEPHAGEL DUO GEL 40g,30%,$ 21.999,$ 15.399
910,BAGO,(B) PRESTAT 75mg COMP.X40,30%,$ 12.699,$ 8.889
911,ANDROMACO FARMA,PRUCALEX 2mg COMP.X30,30%,$ 43.999,$ 30.799
912,ANDROMACO FARMA,NORMIX 200mg COMP.X24,30%,$ 34.699,$ 24.289
913,ANDROMACO FARMA,SPIRON FT 0.5mg COMP.X30,30%,$ 13.499,$ 9.449
914,ANDROMACO FARMA,SELGINA 5mg COMP.X30,30%,$ 17.599,$ 12.319
915,ANDROMACO FARMA,GASORBOL GTAS.15ml,30%,$ 17.099,$ 11.969
916,MERCK SHARP&DOME,JANUMET 50/1000 COMP.X56,30%,$ 49.999,$ 34.999
917,MERCK SHARP&DOME,JANUMET 50/500 COMP.X56,30%,$ 46.099,$ 32.269
918,ANDROMACO FARMA,HYABAK SOL.OFT.10ml,30%,$ 24.999,$ 17.499
919,ANDROMACO FARMA,SOMATRAN 100mg COMP.X2,30%,$ 19.799,$ 13.859
920,ANDROMACO FARMA,FAMIDAL CR.VAG.60g,30%,$ 19.599,$ 13.719
921,ANDROMACO FARMA,FAMIDAL DUAL CR.20g+10OVULO,30%,$ 24.599,$ 17.219
922,ANDROMACO FARMA,FAMIDAL OVUL.VAG.X10,30%,$ 21.299,$ 14.909
923,ANDROMACO FARMA,MINIDOL 100mg GTAS.10ml,30%,$ 14.399,$ 10.079
924,GENERICOS,TRAMADOL 50mg CAP.X10,30%,$ 3.499,$ 2.449
925,ANDROMACO FARMA,NUM-ZIT 10mg COMP.X30,30%,$ 10.499,$ 7.349
926,ANDROMACO FARMA,NUM-ZIT 15mg COMP.X30,30%,$ 9.999,$ 6.999
927,ANDROMACO FARMA,NUM-ZIT 5 GTAS.25ml,30%,$ 11.099,$ 7.769
928,SAVAL S.A.,ENALTEN-D 10/25 COMP.X30,25%,$ 22.999,$ 17.249
929,MERCK SHARP&DOME,JANUMET 50/500 COMP.X28,25%,$ 31.599,$ 23.699
930,TECNOFARMA LTDA.,GOTELY 0.4mg CAPS.X30,25%,$ 14.199,$ 10.649
931,SAVAL S.A.,(B) VALAX 160mg COM.X35,25%,$ 16.299,$ 12.224
932,PHARMA INVESTI,PIASCLEDINE CAPS.X30,20%,$ 23.099,$ 18.479
933,ANDROMACO FARMA,(B) COAROL 4mg COMP.X20,20%,$ 13.599,$ 10.879
934,ANDROMACO FARMA,AMOLEX DUO 400/57 SUSP.35ml,20%,$ 10.299,$ 8.239
935,PFIZER,(R) LIPITOR 10mg COMP.X30,20%,$ 43.299,$ 34.639
936,ANDROMACO FARMA,KALMAFTA GEL 20ml,20%,$ 4.499,$ 3.599
937,MERCK QCA.CHILENA SOC.LTDA.,CONCOR 5mg COMP.X28,20%,$ 30.699,$ 24.559
938,PFIZER,(R) CELEBRA 200mg COMP.X30,20%,$ 42.999,$ 34.399
939,ANDROMACO FARMA,COLMAX 125mg COMP.X10,20%,$ 3.199,$ 2.559
940,ANDROMACO FARMA,COLMAX 125mg COMP.X20,20%,$ 6.699,$ 5.359
941,ANDROMACO FARMA,OTANDROL SOL.OT.5ml,20%,$ 6.399,$ 5.119
942,ANDROMACO FARMA,NOVARNELA CR.20g,20%,$ 12.999,$ 10.399
943,ANDROMACO FARMA,D HIPOGLOS EXTREME 60g,20%,$ 5.999,$ 4.799
944,ANDROMACO FARMA,D HIPOGLOS NOCHE 60g,20%,$ 4.799,$ 3.839
945,ANDROMACO FARMA,D HIPOGLOS SPRAY 100g,20%,$ 5.999,$ 4.799
946,ANDROMACO FARMA,D HIPOGLOS 100g,20%,$ 6.593,$ 5.274
947,ANDROMACO FARMA,D HIPOGLOS 60g,20%,$ 3.939,$ 3.151
948,SILESIA,VALERIX COMP.X30,20%,$ 17.099,$ 13.679
949,ANDROMACO FARMA,(B) RIBOTEX 600mg COMP.X30,20%,$ 111.799,$ 89.439
950,ANDROMACO FARMA,CINABEL COMP.X10,20%,$ 4.299,$ 3.439
951,ASTRA ZENECA DE CHILE LTDA.,(R) NEXIUM 20mg COMP.X28,20%,$ 26.199,$ 20.959
952,SILESIA,CYCLOBIOL 1mg COMP.X30,20%,$ 9.999,$ 7.999
953,SILESIA,VAGIFEM 10mcg COMP.VAG.X18,20%,$ 34.199,$ 27.359
954,SILESIA,ACTIVELLE COMP.X28,20%,$ 30.899,$ 24.719
955,SILESIA,LOVELLE CICL 1/0.25 COMP.X28,20%,$ 19.799,$ 15.839
956,SILESIA,LOVELLE CONT 1/0.125 COMP.X28,20%,$ 22.499,$ 17.999
957,ANDROMACO FARMA,(B) KEPRODOL 50mg CAP.X10,20%,$ 1.699,$ 1.359
958,ANDROMACO FARMA,KEPRODOL 100mg COM.REC.X20,20%,$ 5.099,$ 4.079
959,ANDROMACO FARMA,DIOLASA COMP.X30,20%,$ 13.999,$ 11.199
960,ANDROMACO FARMA,DIOLASA VAINILLA COMP.X30,20%,$ 10.499,$ 8.399
961,PHARMA INVESTI,LANZOPRAL 30mg COMP.X28,20%,$ 23.599,$ 18.879
962,ASTRA ZENECA DE CHILE LTDA.,BETALOC ZOK 50mg COMP.X30,20%,$ 25.399,$ 20.319
963,ANDROMACO FARMA,FLAPEX E CAPS.X20,20%,$ 7.299,$ 5.839
964,ANDROMACO FARMA,KILNITS 1% SH.60ml,20%,$ 3.699,$ 2.959
965,PFIZER,(R) LYRICA 75mg CAPS.X28,20%,$ 36.999,$ 29.599
966,ANDROMACO FARMA,VIPROXIL 5mg GTAS.15ml,20%,$ 3.999,$ 3.199
967,BAYER SCHERING FARMA,XARELTO 20mg COMP.X28,20%,$ 71.899,$ 57.519
968,ASTRA ZENECA DE CHILE LTDA.,(R) CRESTOR TABLETS 10mg COM.X30,20%,$ 34.399,$ 27.519
969,ANDROMACO FARMA,FLAPEX E CAPS.X10,20%,$ 4.599,$ 3.679
970,ANDROMACO FARMA,FLAPEX 4% GTAS.15ml,20%,$ 12.499,$ 9.999
971,SILESIA,ACTISER-T 2.5g GEL SOB.X30,20%,$ 32.999,$ 26.399
972,SILESIA,ACTISER-T 5g GEL SOB.X30,20%,$ 37.499,$ 29.999
973,ANDROMACO FARMA,HIPOGLOS PDA.100g,20%,$ 6.399,$ 5.119
974,ANDROMACO FARMA,HIPOGLOS PDA.20g,20%,$ 3.299,$ 2.639
975,ANDROMACO FARMA,HIPOGLOS PDA.35g,20%,$ 3.999,$ 3.199
976,ANDROMACO FARMA,HIPOGLOS PDA.60g,20%,$ 3.699,$ 2.959
977,ANDROMACO FARMA,POVIN PDA.20g,20%,$ 2.599,$ 2.079
978,BAYER DE CHILE S.A.,(R) ASPIRINA PED.COMP.X42,15%,$ 3.699,$ 3.144
979,ROCHE,(R) DILATREND 12.5mg COMP.X28,15%,$ 18.499,$ 15.724
980,ROCHE,(R) RAVOTRIL 2mg COMP.X30,15%,$ 12.999,$ 11.049
981,MERCK QCA.CHILENA SOC.LTDA.,(R) EUTIROX 100mcg TABL.X100,15%,$ 12.999,$ 11.049
982,BAYER DE CHILE S.A.,(R) CARDIOASPIRINA EC 100mg X50,10%,$ 9.699,$ 8.729
983,ANDROMACO FARMA,CONCOR AM 5 5mg COMP.X30,20%,$ 29.299,$ 23.439
984,ANDROMACO FARMA,QUINOBIOT 500 MG x 10 C,30%,$ 19.499,$ 13.649
985,ANDROMACO FARMA,CODELASA JBE.120ML.,20%,$ 12.599,$ 10.079
986,ANDROMACO FARMA,NATUREL CAJA 28 COMP.REC,20%,$ 12.999,$ 10.399
987,RECALCINE,(B) ACEBRON 4mg COMP.X20,20%,$ 18.699,$ 14.959
988,RECALCINE,PIPLEX 10mg CAPS.X30,20%,$ 30.999,$ 24.799
989,RECALCINE,PIPLEX 5mg CAPS.X30,20%,$ 17.199,$ 13.759
990,RECALCINE,T-INMUN 0.03% UNGTO.15g,20%,$ 17.999,$ 14.399
991,RECALCINE,T-INMUN 0.1 UNGTO.15g,20%,$ 26.299,$ 21.039
992,RECALCINE,PIPLEX 30mg CAPS.X30,20%,$ 61.690,$ 49.352
993,RECALCINE,(B) CIMAL 20mg COMP.X30,20%,$ 34.699,$ 27.759
994,RECALCINE,(B) LEODRIN 70mg COMP.X12,20%,$ 22.799,$ 18.239
995,RECALCINE,RIBOLAC 200mg COMP.X10,20%,$ 9.599,$ 7.679
996,RECALCINE,(B) ARADIX 10mg COMP.X30,20%,$ 25.499,$ 20.399
997,RECALCINE,ARADIX RET.10mg COMP.X30,20%,$ 29.799,$ 23.839
998,RECALCINE,ARADIX RET.20mg COMP.X30,20%,$ 42.999,$ 34.399
999,RECALCINE,SENEXON SR 37.5mg COMP.X30,20%,$ 25.599,$ 20.479
1000,RECALCINE,CODIPZONA 100mg COMP.X30,20%,$ 23.899,$ 19.119
1001,RECALCINE,LAFIGIN XR 100mg COM.X30,20%,$ 35.999,$ 28.799
1002,RECALCINE,LAFIGIN XR 50mg COM.X30,20%,$ 26.599,$ 21.279
1003,RECALCINE,LAFIGIN XR 25mg COM.X30,20%,$ 14.499,$ 11.599
1004,RECALCINE,BIOPSOL ER 1.5mg COM.X30,20%,$ 56.299,$ 45.039
1005,RECALCINE,BIOPSOL ER 0.75mg COM.X30,20%,$ 30.999,$ 24.799
1006,RECALCINE,BIOPSOL ER 0.375mg COM.X30,20%,$ 16.199,$ 12.959
1007,RECALCINE,BRONDILAT 4mg COMP.X30,20%,$ 36.299,$ 29.039
1008,RECALCINE,BRONDILAT 5mg COMP.X30,20%,$ 35.399,$ 28.319
1009,RECALCINE,(B) BRONDILAT 10mg COMP.X30,20%,$ 52.099,$ 41.679
1010,RECALCINE,AURITUSS 25/125 INH.120DS.,20%,$ 31.599,$ 25.279
1011,RECALCINE,BROPIL LF 100mcg 200DS.,20%,$ 7.299,$ 5.839
1012,RECALCINE,INFLUMIX 20mcg INH.200DS.,20%,$ 12.599,$ 10.079
1013,RECALCINE,AURITUSS 25/250 INH.120DS.,20%,$ 35.299,$ 28.239
1014,RECALCINE,BRONDILAT PED.4mg SOB.X40,20%,$ 29.899,$ 23.919
1015,RECALCINE,FLUIDASA 600mg SOB.X10,20%,$ 4.799,$ 3.839
1016,RECALCINE,FLUIDASA 100mg SOB.X10,20%,$ 4.499,$ 3.599
1017,RECALCINE,CICLOMEX COMP.X21,20%,$ 16.399,$ 13.119
1018,RECALCINE,CICLOMEX 20 COMP.X21,20%,$ 13.199,$ 10.559
1019,RECALCINE,MIZONASE OVUL.X10,20%,$ 14.299,$ 11.439
1020,RECALCINE,CORDIAX D 40/12.5 COMP.X30,25%,$ 21.099,$ 15.824
1021,RECALCINE,CORDIAX 40mg COMP.X30,25%,$ 21.399,$ 16.049
1022,RECALCINE,CORDIAX 80mg COMP.X30,25%,$ 25.799,$ 19.349
1023,RECALCINE,CORDIAX D 80/12.5 COMP.X30,25%,$ 23.799,$ 17.849
1024,RECALCINE,CORDIAX AM 80/10 COMP.X30,25%,$ 23.199,$ 17.399
1025,RECALCINE,CORDIAX AM 40/5 COMP.X30,25%,$ 23.199,$ 17.399
1026,RECALCINE,CORDIAX AM 80/5 COMP.X30,25%,$ 22.099,$ 16.574
1027,RECALCINE,REAX 10mg COM.X30,25%,$ 11.399,$ 8.549
1028,RECALCINE,RINITEK FREE 50mcg.200DS.,25%,$ 17.799,$ 13.349
1029,RECALCINE,FLEMEX J.A.T FTE.JBE.120ml,25%,$ 12.599,$ 9.449
1030,RECALCINE,FLEMEX J.A.T JBE.120ml,25%,$ 11.899,$ 8.924
1031,RECALCINE,PLEXUS JBE.120ml,25%,$ 10.799,$ 8.099
1032,RECALCINE,PLEXUS COMP.X30,25%,$ 10.299,$ 7.724
1033,RECALCINE,CONGESTEX GTAS.15ml,25%,$ 11.799,$ 8.849
1034,RECALCINE,CONGESTEX JBE.120ml,25%,$ 9.699,$ 7.274
1035,RECALCINE,CONGESTEX CAPS.X10,25%,$ 8.699,$ 6.524
1036,RECALCINE,BRONDILAT PED.4mg SOB.X40,25%,$ 29.899,$ 22.424
1037,RECALCINE,BRONDILAT 4mg COMP.X30,25%,$ 36.299,$ 27.224
1038,RECALCINE,BRONDILAT 5mg COMP.X30,25%,$ 35.399,$ 26.549
1039,RECALCINE,(B) BRONDILAT 10mg COMP.X30,25%,$ 52.099,$ 39.074
1040,HEEL,ENGYSTOLX50COM.SUBL.,20%,$ 16.099,$ 12.879
1041,HEEL,GRIPP HEEL X50COMP.SUBL.,20%,$ 16.999,$ 13.599
1042,HEEL,NERVOHEEL N X50COMP.SUB.,20%,$ 12.299,$ 9.839
1043,HEEL,VERTIGOHEEL GTAS.X30ml,20%,$ 15.099,$ 12.079
1044,PASTEUR,PLUSCAL COM.ED.30,25%,$ 18.099,$ 13.574
1045,PASTEUR,ABECIDIN-ACD GTS.30ML,20%,$ 7.299,$ 5.839
1046,PASTEUR,BERSEN COM.20MG.20,23%,$ 6.399,$ 4.927
1047,PASTEUR,FISIOLIMP LN 0.9% LAVADO NASAL FCO.100 ML,33%,$ 14.999,$ 10.049
1048,HOSPIFARMA,CLORURO SODIO 0.9% X500ml,43%,$ 1.499,$ 854
1049,CHEMOPHARMA S.A,CAPTOPRIL 25mg X30COM.,85%,$ 4.199,$ 630
1050,SYNTHON,HALOPERIDOL 1mg X30COM.,52%,$ 4.999,$ 2.400
1051,MINTLAB,CITALOPRAM (B) 20mg X30COM.REC.,66%,$ 6.999,$ 2.380
1052,ANDROMACO FARMA,ACIDO VALPROICO 500mg X30COM.,59%,$ 7.399,$ 3.034
1053,HOSPIFARMA,AC.MEFENAMICO 500mg X10COM.,70%,$ 1.299,$ 390
1054,OPKO,AC.ACETIL SALICILICO 100mg X100COM.,83%,$ 3.399,$ 578
1055,HOSPIFARMA,CLORANFENICOL 1% UNG.OFT.X3.5g,86%,$ 4.499,$ 630
1056,SYNTHON,HALOPERIDOL 5mg X20COM.,49%,$ 6.999,$ 3.569
1057,MINTLAB,AC.ACETIL SALICILICO 100mg X100COM,83%,$ 3.399,$ 578
1058,LABORATORIO CHILE,CARVEDILOL (B) 25mg X30COM.,78%,$ 5.099,$ 1.132
1059,LABORATORIO CHILE,CARVEDILOL (B) 12.5mg X30COM.,83%,$ 5.499,$ 962
1060,LABORATORIO CHILE,HIDROCLOROTIAZIDA (B) 50mg X20COM.,68%,$ 1.299,$ 413
1061,LABORATORIO CHILE,OMEPRAZOL (B) 20mg X30CAP.,65%,$ 1.299,$ 460
1062,LABORATORIO CHILE,ATENOLOL (B) 50mg X20COM.,66%,$ 699,$ 236
1063,LABORATORIO CHILE,FUROSEMIDA (B) 40mg X12COM.,80%,$ 999,$ 197
1064,LABORATORIO CHILE,ATORVASTATINA (B) 10mg X30COM.,81%,$ 2.299,$ 448
1065,LABORATORIO CHILE,METFORMINA (B) 850mg X60COM.REC.,88%,$ 4.999,$ 590
1066,ANDROMACO FARMA,AMOXICILINA 500mg X21CAP.,73%,$ 3.999,$ 1.100
1067,LABORATORIO CHILE,CICLOBENZAPRINA (B) 10mg X20COM.,80%,$ 2.099,$ 426
1068,LABORATORIO CHILE,SERTRALINA (B) 50mg X30COM.,85%,$ 2.899,$ 438
1069,LABORATORIO CHILE,FLUOXETINA (B) 20mg X20COM.,79%,$ 1.299,$ 270
1070,LABORATORIO CHILE,PREDNISONA (B) 5mg X20COM.,70%,$ 1.199,$ 357
1071,LABORATORIO CHILE,DOMPERIDONA (B) 10mg X20COM.,64%,$ 1.199,$ 428
1072,LABORATORIO CHILE,DIPIRONA 300mg X20COM.,68%,$ 1.199,$ 390
1073,LABORATORIO CHILE,LORATADINA (B)10mg X30COM.,73%,$ 1.099,$ 300
1074,LABORATORIO CHILE,ESPIRONOLACTONA 25mg X20COM.,70%,$ 1.999,$ 596
1075,LABORATORIO CHILE,IBUPROFENO (B) 400mg X20COM.,69%,$ 1.299,$ 400
1076,LABORATORIO CHILE,PARACETAMOL 100mg/ml GTAS.X15ml,77%,$ 1.499,$ 348
1077,ANDROMACO FARMA,ENALAPRIL 10mg X20COM.,86%,$ 699,$ 100
1078,LABORATORIO CHILE,CLORFENAMINA (B) 4mg X20COM.,83%,$ 699,$ 119
1079,LABORATORIO CHILE,NIFEDIPINO RET.20mg X30COM.REC.,80%,$ 2.099,$ 424
1080,LABORATORIO CHILE,LAMOTRIGINA 50mg X30COM.DISP.,84%,$ 6.199,$ 1.010
1081,LABORATORIO CHILE,CIPROFLOXACINO (B) 500mg X6COM.,60%,$ 999,$ 405
1082,LABORATORIO CHILE,CLOXACILINA 500mg X12CAP.,55%,$ 1.699,$ 765
1083,LABORATORIO CHILE,CLARITROMICINA (B) 500mg X14COM.,55%,$ 5.099,$ 2.289
1084,LABORATORIO CHILE,FAMOTIDINA 40mg X10COM.,76%,$ 799,$ 190
1085,ANDROMACO FARMA,CEFADROXILO (B) 500mg X8CAP.,36%,$ 1.999,$ 1.279
1086,MEDIPHARM,AMLODIPINO (B) 10mg X30COM.,72%,$ 2.899,$ 820
1087,LABORATORIO CHILE,PROPANOLOL 10mg X20COM.,75%,$ 799,$ 199
1088,LABORATORIO CHILE,PROPANOLOL 40mg X20COM.,72%,$ 599,$ 171
1089,ANDROMACO FARMA,COTRIMOXAZOL FTE.X10COM.,55%,$ 1.299,$ 590
1090,LABORATORIO CHILE,FENITOINA (B) 100mg X30COM.,54%,$ 1.499,$ 690
1091,LABORATORIO CHILE,CARBAMAZEPINA (B) 200mg X20COM.,70%,$ 2.199,$ 660
1092,OPKO,AMLODIPINO (B) 10mg X30COM.,72%,$ 2.899,$ 820
1093,OPKO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,53%,$ 7.999,$ 3.784
1094,MINTLAB,CAPTOPRIL 25mg X30COM.,85%,$ 4.199,$ 630
1095,HOSPIFARMA,DICLOFENACO 75mg X5AMP.,97%,$ 2.799,$ 87
1096,MINTLAB,AMIODARONA 200mg X20COM.,30%,$ 2.399,$ 1.679
1097,LABORATORIO CHILE,LOPERAMIDA 2mg X6COM.,81%,$ 699,$ 132
1098,LABORATORIO CHILE,DIPIRONA 1g/2ml X5AMP.,39%,$ 1.999,$ 1.213
1099,EUROFARMA CHILE SA,CLAVAM DUO (BE) 875/125 COMP.X14,40%,$ 19.999,$ 11.999
1100,EUROFARMA CHILE SA,CLAVAM DUO(BE) 875/125 COMP.X20,43%,$ 23.299,$ 13.280
1101,EUROFARMA CHILE SA,ESC (BE) 10mg COM.X30,51%,$ 17.699,$ 8.673
1102,EUROFARMA CHILE SA,ESC(BE) 20mg COM.X30,43%,$ 19.999,$ 11.399
1103,EUROFARMA CHILE SA,IRTANA H(BE) 150/12.5 COM.X30,49%,$ 26.499,$ 13.514
1104,EUROFARMA CHILE SA,IRTANA H(BE) 300/12.5 COM.X30,49%,$ 26.399,$ 13.463
1105,EUROFARMA CHILE SA,LETICO (BE) 50mg COM.X30,78%,$ 19.699,$ 4.334
1106,EUROFARMA CHILE SA,LETICO(BE) 100mg COM.X30,57%,$ 23.099,$ 9.933
1107,EUROFARMA CHILE SA,LEVOXIN (BE)500mg COMP.X10,45%,$ 19.799,$ 10.889
1108,EUROFARMA CHILE SA,LEVOXIN(BE) 500mg COMP.X7,58%,$ 16.099,$ 6.762
1109,EUROFARMA CHILE SA,LUCASTE(BE) 4mg COM.X30,41%,$ 17.899,$ 10.560
1110,EUROFARMA CHILE SA,LUCASTE(BE) 5mg COM.X30,37%,$ 18.399,$ 11.591
1111,EUROFARMA CHILE SA,VERALPRES(BE) 160mg COMP.X30,30%,$ 9.299,$ 6.509
1112,EUROFARMA CHILE SA,AMATO 25mg COM.X60,30%,$ 21.599,$ 15.119
1113,EUROFARMA CHILE SA,AMATO(BE) 50mg COM.X60,30%,$ 33.199,$ 23.239
1114,EUROFARMA CHILE SA,BETAVOL 5+2mg/ml AMP.X1,30%,$ 13.899,$ 9.729
1115,EUROFARMA CHILE SA,BETINA (B) 16mg X30COM.,30%,$ 26.599,$ 18.619
1116,EUROFARMA CHILE SA,BETINA (B) 24mg X30COM.,30%,$ 31.999,$ 22.399
1117,EUROFARMA CHILE SA,BISOPRIL 1.25 COMP.X30,30%,$ 6.199,$ 4.339
1118,EUROFARMA CHILE SA,BISOPRIL 2.5 COMP.X30,30%,$ 13.599,$ 9.519
1119,EUROFARMA CHILE SA,BISOPRIL 5mg COMP.X30,30%,$ 15.099,$ 10.569
1120,EUROFARMA CHILE SA,BUTRINO 150mg COM.X30,30%,$ 18.799,$ 13.159
1121,EUROFARMA CHILE SA,BUTRINO 150mg COM.X60,30%,$ 27.299,$ 19.109
1122,EUROFARMA CHILE SA,DAIVA 150/10 X1AMP,44%,$ 6.899,$ 3.863
1123,,FEMIPLUS 20 CD COMP.X28,38%,$ 14.699,$ 9.113
1124,,FEMIPLUS CD COMP.X28,30%,$ 15.799,$ 11.059
1125,EUROFARMA CHILE SA,KALITIUM 300mg COM.X50,30%,$ 9.699,$ 6.789
1126,EUROFARMA CHILE SA,KALITIUM 450mg COM.X30,30%,$ 9.799,$ 6.859
1127,EUROFARMA CHILE SA,MAREAMIN 100mg COMP.X20,30%,$ 10.299,$ 7.209
1128,EUROFARMA CHILE SA,PANTOCAL 40mg X28COM.REC.,40%,$ 20.999,$ 12.599
1129,EUROFARMA CHILE SA,"SOP 2,0/0,035 X21COM.REC.",30%,$ 11.499,$ 8.049
1130,EUROFARMA CHILE SA,TAMISA 30/75 GRA.X21,30%,$ 7.499,$ 5.249
1131,EUROFARMA CHILE SA,TIRIZ 5mg COMP.X30,40%,$ 5.499,$ 3.299
1132,EUROFARMA CHILE SA,ZETAMAX 500mg COMP.X6,49%,$ 9.499,$ 4.844
1133,MEDIPHARM,BILATEN 8 MG X 15 COMPR.,35%,$ 11.999,$ 7.799
1134,MEDIPHARM,CALCIO 500MG +VIT. D 400 UI x 30 compr.,32%,$ 6.499,$ 4.419
1135,MEDIPHARM,CALCIO 320MG + VIT. D3 125 UI x 60 compr.,32%,$ 7.999,$ 5.439
1136,MEDIPHARM,CLOTRIMIN CREMA X 20 G,54%,$ 1.990,$ 915
1137,MEDIPHARM,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,81%,$ 6.999,$ 1.330
1138,MEDIPHARM,DAMIXAN TABL.RECUBIE 10 MG X 30,33%,$ 14.699,$ 9.848
1139,MEDIPHARM,DESDOL X 20 COMPR.,55%,$ 6.999,$ 3.150
1140,MEDIPHARM,DOLOFAR 50 MG X 30 CAPS.,59%,$ 4.999,$ 2.050
