,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
708,MIRTAZAPINA,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,$22.499,25%,$16.874
709,MIRTAZAPINA,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,$49.499,38%,$30.689
710,MIRTAZAPINA,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,$26.199,16%,$22.007
711,MIRTAZAPINA,PROMYRTIL (R) 30mg X30COM.,MERCK SHARP&DOME,$52.399,30%,$36.679
712,MOMETASONA FUROATO PARA INHALACION,PLUSTER 50mcg NEB.X120DS.,DEUTSCHE PHARMA S.A.,$9.999,62%,$3.800
713,MOMETASONA FUROATO PARA INHALACION,RINITEK FREE 50mcg NEB.NAS.X200DS.,RECALCINE,$18.999,24%,$14.439
714,MOMETASONA FUROATO PARA INHALACION,SYNALLER 50mcg NEB.X200DS.,PASTEUR,$13.999,25%,$10.499
715,MONTELUKAST,LUCASTE(BE) 4mg COM.X30,EUROFARMA CHILE S.A.,$17.999,41%,$10.619
716,MONTELUKAST,LUCASTE(BE) 5mg COM.X30,EUROFARMA CHILE S.A.,$17.999,37%,$11.339
717,MONTELUKAST,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,$54.899,93%,$3.843
718,MONTELUKAST,BRONDILAT 4mg X30COM.REC.,RECALCINE,$36.499,25%,$27.374
719,MONTELUKAST,BRONDILAT 5mg X30COM.REC.,RECALCINE,$35.499,25%,$26.624
720,MONTELUKAST,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,$34.199,51%,$16.758
721,MONTELUKAST,MONKAST (B) 5mg X28COM.MAST.,PASTEUR,$18.399,25%,$13.799
722,MONTELUKAST,MONKAST (B) 4mg X28COM.MAST.,PASTEUR,$16.999,25%,$12.749
723,MUPIROCINA,MUPAX 2% UNG.X7.5g,RAFFO S.A.,$5.999,15%,$5.099
724,N-ACETILCISTEINA,FLUIDASA 100mg X10SOB.,RECALCINE,$4.499,20%,$3.599
725,N-ACETILCISTEINA,FLUIDASA 600mg X10SOB.,RECALCINE,$4.799,20%,$3.839
726,NALTREXONA,NALERONA 50mg COMP.X30,SILESIA,$80.999,28%,$58.319
727,NAPROXENO,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,$2.899,62%,$1.102
728,NEBIVOLOL,ANFIBOL (B) 5mg X30COM.REC.,RECALCINE,$22.999,25%,$17.249
729,NEBIVOLOL,DOOX 5 MG 30 COMP,LABORATORIO CHILE,$21.699,45%,$11.934
730,NEBIVOLOL,PERTIUM 5mg X42COM.,SAVAL S.A.,$26.999,25%,$20.249
731,NIFEDIPINO,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,$2.499,80%,$500
732,NIFUROXAZIDA + FTALILSULFATIAZOL,LIRACOL x 20 comprimidos,MEDIPHARM,$3.799,25%,$2.849
733,NIFUROXAZIDA + FTALILSULFATIAZOL,IMECOL AD.X20COM.,ANDROMACO FARMA,$5.199,25%,$3.899
734,NISTATINA + ZINC OXIDO + VIT.A + VIT.D,NISTAGLOS CR.30g,ANDROMACO FARMA,$14.199,30%,$9.939
735,NISTATINA DERMICA,NISTATINA 100000UI UNG.X15g,LABORATORIO CHILE,$2.399,51%,$1.176
736,NISTATINA VAGINAL,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,$3.599,54%,$1.656
737,NITROFURANTOINA,NITROFURANTOINA 100mg X10COM.,HOSPIFARMA,$1.599,21%,$1.263
738,NITROFURANTOINA,MACROSAN (B) 100mg X15CAP.,SANITAS S.A.,$10.499,30%,$7.349
739,NOMEGESTROL,MARILOW X28COM.,RECALCINE,$18.499,25%,$13.874
740,NOMEGESTROL,POEM 2.5mg X28COM.,SILESIA,$19.899,50%,$9.950
741,NOSCAPINA,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,$2.699,52%,$1.296
742,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX GTAS.X15ml,RECALCINE,$13.499,25%,$10.124
743,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX JBE.X120ml,RECALCINE,$10.499,25%,$7.874
744,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX X10CAP.,RECALCINE,$9.999,25%,$7.499
745,OLANZAPINA,SINCRIS (B) 10mg X30COM.REC.,LABORATORIO CHILE,$34.999,45%,$19.249
746,OLANZAPINA,(B) SINCRIS 5mg COMP.X30,LABORATORIO CHILE,$23.999,35%,$15.599
747,OLANZAPINA,ZAPINEX FT 10mg COMP.X30,ANDROMACO FARMA,$87.499,14%,$75.249
748,OLANZAPINA,OLIVIN 10mg X30COM.REC.,PHARMA INVESTI,$69.599,30%,$48.719
749,OLANZAPINA,OLANFAR (B) 10mg X30COM.REC.,MEDIPHARM,$28.999,30%,$20.299
750,OLANZAPINA,OLANFAR (B) 5mg X30COM.REC.,MEDIPHARM,$23.999,35%,$15.599
751,OLMESARTAN,CARDIOPLUS 20mg X30COM.REC.,RECALCINE,$19.699,25%,$14.774
752,OLMESARTAN,CARDIOPLUS 40mg X30COM.REC.,RECALCINE,$18.999,35%,$12.349
753,OLMESARTAN,OLTAN 20mg X30COM.REC.,ITF (EX LABOMED),$14.999,25%,$11.249
754,OLMESARTAN,OLTAN 40mg X30COM.REC.,ITF (EX LABOMED),$18.399,35%,$11.959
755,OLMESARTAN + AMLODIPINO,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),$17.499,35%,$11.374
756,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 20/12.5 X30COM.REC.,RECALCINE,$23.499,25%,$17.624
757,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 40/12.5 X30COM.REC.,RECALCINE,$24.699,25%,$18.524
758,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 20/12.5 X30COM.,ITF (EX LABOMED),$14.599,25%,$10.949
759,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 40/12.5 X30COM.,ITF (EX LABOMED),$16.999,25%,$12.749
760,OMEGA3+ANTIOXIDANTES+MINERALES+VITAMINAS,MANHAE X30CAP.,PASTEUR,$17.199,20%,$13.759
761,OMEPRAZOL,(B) OMEPRAZOL 20mg COM.X60,LABORATORIO CHILE,$3.299,30%,$2.309
762,OMEPRAZOL,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,$1.599,55%,$720
763,OMEPRAZOL,ULCRUX (FP) 20mg X28COM.,PRATER,$3.199,65%,$1.120
764,ONDANSETRON,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,$62.999,75%,$15.750
765,OXCARBAZEPINA,TRILEPTAL 300mg X30COM.,AXON PHARMA,$27.799,31%,$19.181
766,OXIDO DE ZINC,PASTA LASSAR X50g,RECETARIO,$1.499,61%,$585
767,OXOLAMINA,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,$2.199,60%,$880
768,OXOLAMINA,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.899,67%,$627
769,PANCREATINA,CREON 10.000 X20CAP.PROL.,ABBOTT FARMA,$24.999,58%,$10.500
770,PANCREATINA + PEPSINA + DIASTASA + BILIS DES. + SIMETICONA,FLAPEX E CAPS.X20,ANDROMACO FARMA,$7.799,20%,$6.239
771,PANCREATINA + SIMETICONA,DIGENIL X10CAP.,SAVAL S.A.,$6.199,20%,$4.959
772,PANTOPRAZOL,PANTOCAL 40mg X28COM.REC.,EUROFARMA CHILE S.A.,$18.999,36%,$12.159
773,PANTOPRAZOL,ZOLTUM 40mg X28COM.,TECNOFARMA LTDA.,$27.099,40%,$16.259
774,PARACETAMOL,GESIDOL 500 MG BE X 24 COMPRIMIDOS,MEDIPHARM,$1.490,29%,$1.058
775,PARACETAMOL,GESIDOL NIÑOS 160mg X16COM.MAST.,MEDIPHARM,$2.399,62%,$912
776,PARACETAMOL,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,$7.899,42%,$4.581
777,PARACETAMOL,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,$899,85%,$135
778,PARACETAMOL,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,$1.799,77%,$414
779,PARACETAMOL,PARACETAMOL PED.125mg X5SUP.,LABORATORIO CHILE,$1.499,63%,$555
780,PARACETAMOL,KITADOL PED.125mg X6SUP.,LABORATORIO CHILE,$4.799,65%,$1.680
781,PARACETAMOL,GESIDOL 1g X20COM.,MEDIPHARM,$6.599,51%,$3.234
782,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,CORTIGRIP DIA/NOCHE x 15 comprimidos,MEDIPHARM,$3.399,25%,$2.549
783,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN CPTO.S.O.X100ml,LABORATORIO CHILE,$6.999,86%,$980
784,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.JBE.X100ml,BAGO,$8.499,83%,$1.445
785,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.JBE.X100ml,CHEMOPHARMA S.A.,$8.599,84%,$1.376
786,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,$4.799,88%,$576
787,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN DN X15/5COM.,LABORATORIO CHILE,$5.899,25%,$4.424
788,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) CPTO.GTAS.X15ml,BAGO,$14.199,25%,$10.649
789,PARACETAMOL + CLORZOXAZONA,BREVEX X20COM.REC.,BAGO,$11.499,12%,$10.119
790,PARACETAMOL + CLORZOXAZONA,DESDOL X 20 COMPR.,MEDIPHARM,$7.499,55%,$3.375
791,PARACETAMOL + PROPIFENAZONA + FENILPROPANOLAMINA + CLORFENAMINA + CAFEINA,GRIPASAN X10COM.REC.,LABORATORIO CHILE,$2.399,25%,$1.799
792,PARACETAMOL + PSEUDOEFEDRINA,CORTIGRIP x 10 comprimidos,MEDIPHARM,$3.799,41%,$2.241
793,PARACETAMOL + TRAMADOL,ANALGEX SAP X20COM.REC.,RECALCINE,$22.499,44%,$12.599
794,PARACETAMOL + TRAMADOL,ZALDIAR X20COM.REC.,GRUNENTHAL,$26.099,41%,$15.398
795,PARACETAMOL + TRAMADOL,ZALEDOR P COMP.X30,MEDIPHARM,$12.999,68%,$4.160
796,PAROXETINA,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,$23.899,21%,$18.880
797,PAROXETINA,(B) POSIVYL 20mg COMP.X30,LABORATORIO CHILE,$37.499,35%,$24.374
798,PAROXETINA,SERETRAN 20mg X30COM.,RECALCINE,$38.499,25%,$28.874
799,PAROXETINA,(B) TRAVIATA 20mg COMP.X30,ANDROMACO FARMA,$42.999,40%,$25.799
800,PAROXETINA,AROTEX (B) 20mg X30COM.REC,RAFFO S.A.,$18.699,30%,$13.089
801,PENICILINA G SODICA,PENICILINA G SOD 1000000UI X1F-A,OPKO,$899,91%,$81
802,PENICILINA G SODICA,PENICILINA G SOD 2000000UI X1F-A,OPKO,$1.199,64%,$432
803,PENTOXIFILINA,PENTOXIFILINA 400mg X30COM.,LABORATORIO CHILE,$8.299,55%,$3.735
804,PERMETRINA,KILNITS 1% SH.60ml,ANDROMACO FARMA,$4.299,20%,$3.439
805,PERMETRINA,KILNITS 1% SH.X100ml,ANDROMACO FARMA,$8.899,80%,$1.780
806,PERMETRINA,NOLAIS SHAMPOO X 120 ML,MEDIPHARM,$3.799,34%,$2.507
807,PIRACETAM,NOOTROPYL 800mg X30COM.REC.,GLAXO,$25.499,54%,$11.730
808,POLIMIXINA B + NEOMICINA + BETAMETASONA + LIDOCAINA,OTOLISAN SOL.OT.X10ml,PHARMA INVESTI,$14.399,20%,$11.519
809,POLIVITAMINICO,BION 3 X30COM.REC.,PROCTER&GAMBLE (FARMA),$9.699,27%,$7.080
810,POLIVITAMINICO,INFORTIN PROBIOTICOS X30COM.MAST.,PRATER,$11.599,13%,$10.091
811,POLIVITAMINICO CON MINERALES,BIOCORD ACTIVE x 30 FLUIDCAPS,MEDIPHARM,$5.299,25%,$3.974
812,POLIVITAMINICO CON MINERALES,REGENESIS UP CAPS.X30,EXELTIS CHILE,$15.399,20%,$12.319
813,POLIVITAMINICO CON MINERALES,INFOR PRO X30COM.,PRATER,$11.399,27%,$8.321
814,POLIVITAMINICO PRENATAL,PRENAMIN NATAL VITAM/OMEGA X60CAP.,RECALCINE,$19.999,25%,$14.999
815,POLIVITAMINICO PRENATAL,REGENESIS MAX 30CAP.,EXELTIS CHILE,$14.999,20%,$11.999
816,POLIVITAMINICO PRENATAL,NATICARE SUPRA X30CAP.,ITF (EX LABOMED),$13.999,20%,$11.199
817,POLIVITAMINICOS C/GINSENG,REGENESIS NEXT 30CAP.,EXELTIS CHILE,$15.999,20%,$12.799
818,POLOXAMER + POLIETILENGLICOL + CARBOMER,BLEPHAGEL DUO GEL 40g,THEA PHARMA SPA,$23.899,30%,$16.729
819,POTASIO GLUCONATO,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,$6.499,53%,$3.055
820,POTASIO GLUCONATO,YONKA 780mg X40TAB.,ANDROMACO FARMA,$13.399,58%,$5.628
821,PRAMIPEXOLE,PARMITAL (B) 0.25mg COMP.X30,TECNOFARMA LTDA.,$11.099,3%,$10.766
822,PRAMIPEXOLE,BIOPSOL 1mg X30COM.,RECALCINE,$47.999,96%,$1.920
823,PRAMIPEXOLE,INTAXEL 1 MG 30 C,LABORATORIO CHILE,$30.999,35%,$20.149
824,PRAMIPEXOLE,SIFROL ER (R) 1.5mg X30COM.PROL.,BOEHRINGER INGELHEIM,$94.799,64%,$34.128
825,PREDNISOLONA ACETATO COLIRIO,PREDNISOLONA 1% SOF.X10ml,HOSPIFARMA,$10.899,63%,$4.033
826,PREDNISOLONA ACETATO COLIRIO,SOPHIPREN OFTENO 1% SOF.X5ml,SOPHIA,$19.999,65%,$7.000
827,PREDNISONA,(B) BERSEN 20mg COMP.X20,PASTEUR,$6.499,23%,$5.004
828,PREDNISONA,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,$7.399,20%,$5.919
829,PREDNISONA,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,$12.499,20%,$9.999
830,PREDNISONA,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,$11.099,85%,$1.665
831,PREDNISONA,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,$1.299,70%,$390
832,PREDNISONA,PROCION 20 mg. x 20 comprimidos,MEDIPHARM,$6.999,70%,$2.100
833,PREDNISONA,PROCION 20 mg/5ml SUSPENSION 60 ml.,MEDIPHARM,$7.499,55%,$3.375
834,PREGABALINA,(B) PRESTAT 75mg COMP.X40,BAGO,$12.999,30%,$9.099
835,PREGABALINA,(R) LYRICA 75mg CAPS.X28,PFIZER,$41.299,15%,$35.104
836,PREGABALINA,ALIVAX 150 MG 30 CAPSULAS,LABORATORIO CHILE,$23.699,34%,$15.641
837,PREGABALINA,ALIVAX 75MG X 30 COMP BE,LABORATORIO CHILE,$13.499,35%,$8.774
838,PREGABALINA,PREGALEX 150MG/30COMP,ANDROMACO FARMA,$42.499,25%,$31.874
839,PREGABALINA,(B) PREGALEX 75mg COMP.X30,ANDROMACO FARMA,$19.699,23%,$15.168
840,PREGABALINA,PREGOBIN (B) 150mg X30CAP.,RECALCINE,$44.999,25%,$33.749
841,PREGABALINA,NEURUM (B) 75mg X30COM.,SAVAL S.A.,$12.699,20%,$10.159
842,PREGABALINA,PLENITEX (B) 150mg X30CAP.,RAFFO S.A.,$22.999,25%,$17.249
843,PRIMIDONA,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,$5.599,30%,$3.919
844,PROGESTERONA,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,$19.999,20%,$15.999
845,PROGESTERONA,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,$19.999,25%,$14.999
846,PROGESTERONA,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,$22.999,25%,$17.249
847,PROGESTERONA,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,$32.999,24%,$25.079
848,PROGESTERONA,PROGEVA 200mg X30CAP.,ITF (EX LABOMED),$18.999,20%,$15.199
849,PROPAFENONA,RITMOCOR 150mg X20COM.,RECALCINE,$28.399,48%,$14.767
850,PROPAFENONA,RITMOCOR 300mg X20COM.,RECALCINE,$41.499,35%,$26.974
851,PROPANOLOL,PROPANOLOL 10mg X20COM.,HOSPIFARMA,$1.299,78%,$286
852,PROPANOLOL,PROPANOLOL 40mg X20COM.,HOSPIFARMA,$799,72%,$224
853,PROPARACAINA,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.OTC,$32.999,81%,$6.270
854,PROPINOXATO,VIPLAN FORTE GOTAS x 15 ml,MEDIPHARM,$5.199,59%,$2.132
855,PROPINOXATO,VIPLAN GOTAS x 20 ml.,MEDIPHARM,$6.099,25%,$4.574
856,PROPINOXATO,VIPROXIL 5mg GTAS.15ml,ANDROMACO FARMA,$4.899,20%,$3.919
857,PROPINOXATO + METAMIZOL,VIADIL CPTO.GTAS.15ml,PHARMA INVESTI,$9.099,25%,$6.824
858,PROPINOXATO + METAMIZOL,VIPLAN CPTO.GTAS.X15ml,MEDIPHARM,$5.499,25%,$4.124
859,PRUCALOPRIDA SUCCINATO,PRUCALEX 2mg COMP.X30,ANDROMACO FARMA,$44.999,30%,$31.499
860,PRUCALOPRIDA SUCCINATO,PRUVAL 2mg X30COM.REC,SAVAL S.A.,$37.599,30%,$26.319
861,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D x 20 cápsulas,MEDIPHARM,$10.599,25%,$7.949
862,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D X10CAP.,MEDIPHARM,$8.599,25%,$6.449
863,QUETIAPINA,ASICOT 100MG 30CR,LABORATORIO CHILE,$23.599,35%,$15.339
864,QUETIAPINA,ASICOT 200MG 30CR,LABORATORIO CHILE,$47.699,35%,$31.004
865,QUETIAPINA,ASICOT 25MG 30CR,LABORATORIO CHILE,$17.399,35%,$11.309
866,QUETIAPINA,EUFRENIM (B) 100mg X30COM.REC.,NOVARTIS CHILE S.A.,$21.599,84%,$3.456
867,QUETIAPINA,NORSIC 100MGX30COMP.REC,ANDROMACO FARMA,$55.499,31%,$38.294
868,QUETIAPINA,NORSIC 25MG.30COMP.,ANDROMACO FARMA,$25.999,35%,$16.899
869,QUETIAPINA,QUEPIMAX (B) 25mg COMP.X30,MEDIPHARM,$16.499,61%,$6.435
870,QUETIAPINA,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,$11.999,66%,$4.080
871,QUETIAPINA,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,$43.499,35%,$28.274
872,QUETIAPINA,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,$65.499,25%,$49.124
873,QUETIAPINA,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,$25.999,35%,$16.899
874,QUETIAPINA,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,$80.999,35%,$52.649
875,QUETIAPINA,QUETIDIN XR 150mg X30COM.,RECALCINE,$47.999,31%,$33.119
876,QUETIAPINA,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,$55.999,35%,$36.399
877,QUETIAPINA,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,$39.499,35%,$25.674
878,QUETIAPINA,SEROQUEL (R) 100mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$76.099,19%,$61.640
879,QUETIAPINA,SEROQUEL (R) 200mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$105.999,25%,$79.499
880,QUETIAPINA,SEROQUEL (R) 25mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$41.799,19%,$33.857
881,QUETIAPINA,SEROQUEL XR (R) 200mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$90.299,25%,$67.724
882,QUETIAPINA,SEROQUEL XR (R) 300mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$100.999,87%,$13.130
883,QUETIAPINA,SEROQUEL XR (R) 400mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$116.299,16%,$97.691
884,QUETIAPINA,SEROQUEL XR (R) 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$78.199,21%,$61.777
885,QUETIAPINA,SEROQUEL XR 150mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.699,25%,$63.524
886,QUETIAPINA,QUETEX (B) 200mg X30COM.REC,EXELTIS CHILE,$42.799,25%,$32.099
887,QUETIAPINA,QUETEX XR (B) 150mg X30COM.REC,EXELTIS CHILE,$45.199,25%,$33.899
888,QUETIAPINA,QUETEX XR (B) 50mg X30COM.REC,EXELTIS CHILE,$35.099,25%,$26.324
889,QUETIAPINA,QUETIUM (B) 300mg X30COM.REC.,SAVAL S.A.,$37.199,25%,$27.899
890,RABEPRAZOL,GASTRODINE 20 mg. x 28 comprimidos,MEDIPHARM,$15.499,51%,$7.595
891,RANITIDINA,RANITIDINA 300mg X10COM.,ANDROMACO FARMA,$1.599,52%,$768
892,RIFAXIMA,NORMIX 200mg COMP.X24,ANDROMACO FARMA,$36.499,41%,$21.534
893,RIFAXIMA,RIBOLAC 200mg X10COM.,RECALCINE,$10.999,20%,$8.799
894,RISPERIDONA,DAGOTIL 3mg X30COM.,PHARMA INVESTI,$23.799,93%,$1.666
895,RISPERIDONA,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,$17.599,20%,$14.079
896,RISPERIDONA,RADIGEN 1 mg. FRASCO 30 ml.,MEDIPHARM,$16.899,25%,$12.674
897,RISPERIDONA,SPIRON 1MG.30COMP.,ANDROMACO FARMA,$30.499,40%,$18.299
898,RISPERIDONA,SPIRON 1mg/ml GTAS.X30ml,ANDROMACO FARMA,$26.499,39%,$16.164
899,RISPERIDONA,SPIRON FT 3MG. 30COMP.TRISECTADOS,ANDROMACO FARMA,$30.999,40%,$18.599
900,RISPERIDONA,DAGOTIL 1mg/ml GTAS.X30ml,PHARMA INVESTI,$28.399,45%,$15.619
901,RISPERIDONA,DAGOTIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$20.599,40%,$12.359
902,RIVAROXABAN,XARELTO 15mg COMP.X28,BAYER ETICO,$70.499,23%,$54.284
903,RIVAROXABAN,XARELTO 20mg COMP.X28,BAYER ETICO,$75.499,28%,$54.359
904,RIVASTIGMINA,EXELON (R) 1.5mg X28CAP.,AXON PHARMA,$75.799,30%,$53.059
905,RIVASTIGMINA,EXELON (R) 3mg X28CAP.,AXON PHARMA,$71.599,30%,$50.119
906,RIVASTIGMINA,EXELON (R) 4.5mg X28CAP.,AXON PHARMA,$75.199,30%,$52.639
907,RIVASTIGMINA,EXELON (R) 6mg X28CAP.,AXON PHARMA,$74.599,30%,$52.219
908,RIVASTIGMINA,EXELON 10 X30PCHE.,AXON PHARMA,$94.599,30%,$66.219
909,RIVASTIGMINA,EXELON 15 X30PCHE.,AXON PHARMA,$94.599,30%,$66.219
910,RIVASTIGMINA,EXELON 5 X30PCHE.,AXON PHARMA,$92.499,30%,$64.749
911,ROSUVASTATINA,(R) CRESTOR TABLETS 10mg COM.X30,ASTRA ZENECA DE CHILE LTDA.,$41.399,20%,$33.119
912,ROSUVASTATINA,CRESADEX 10mg X30COM.REC.,RECALCINE,$26.999,73%,$7.290
913,ROSUVASTATINA,CRESADEX 20mg X30COM.REC.,RECALCINE,$36.999,66%,$12.580
914,ROSUVASTATINA,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$60.299,25%,$45.224
915,ROSUVASTATINA,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$81.099,24%,$61.635
916,ROSUVASTATINA,ROSVEL 10 MG 30 CR,LABORATORIO CHILE,$10.599,35%,$6.889
917,ROSUVASTATINA,ROSVEL 10 MG 60 CR,LABORATORIO CHILE,$13.899,35%,$9.034
918,ROSUVASTATINA,ROSVEL 20 MG 30 CR,LABORATORIO CHILE,$14.199,35%,$9.229
919,ROSUVASTATINA,ROSAT (B) 10mg X30COM.REC,PASTEUR,$12.999,20%,$10.399
920,ROSUVASTATINA,ROSUGRAS (B) 20mg X30COM.REC.,RAFFO S.A.,$22.399,25%,$16.799
921,RUPATADINA,REAX 10mg X30COM.,RECALCINE,$11.499,25%,$8.624
922,RUPATADINA,REXANEL 10mg X30COM.,PRATER,$12.099,25%,$9.074
923,SACHAROMYCES BOULARDII,VINTIX 250mg X10CAP.,PHARMA INVESTI,$9.999,32%,$6.799
924,SALBUTAMOL INHALACION,BROPIL LF 100mcg INH.X200DS.,RECALCINE,$8.999,20%,$7.199
925,SALBUTAMOL INHALACION,SALBUTAMOL 100mcg INH.X200DS.,OPKO,$2.699,66%,$918
926,SALMETEROL + FLUTICASONA,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,$30.499,20%,$24.399
927,SALMETEROL + FLUTICASONA,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,$36.499,20%,$29.199
928,SALMETEROL + FLUTICASONA,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$49.599,96%,$1.984
929,SALMETEROL + FLUTICASONA,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$52.399,12%,$46.111
930,SALMETEROL + FLUTICASONA,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,$37.899,32%,$25.771
931,SALMETEROL + FLUTICASONA,SERETIDE DISKUS 100/50 INH.X60DS.,GLAXO,$46.999,53%,$22.090
932,SALMETEROL + FLUTICASONA,SERETIDE LF 250/25 CD X120DS.,GLAXO,$65.799,28%,$47.375
933,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$27.999,30%,$19.599
934,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,$49.499,56%,$21.780
935,SELEGILINA,SELGINA 5mg COMP.X30,ANDROMACO FARMA,$18.999,21%,$15.009
936,SERTRALINA,ELEVAL 100mg X30COM.REC.,RECALCINE,$36.999,35%,$24.049
937,SERTRALINA,ELEVAL 50mg X30COM.REC.,RECALCINE,$19.499,25%,$14.624
938,SERTRALINA,ELEVAL 50mg X60COM.REC.,RECALCINE,$35.499,25%,$26.624
939,SERTRALINA,EMERGEN 100MG 30C,LABORATORIO CHILE,$36.999,35%,$24.049
940,SERTRALINA,EMERGEN 50MG 30CR,LABORATORIO CHILE,$23.999,35%,$15.599
941,SERTRALINA,SERONEX (B) 100mg X30COM.REC.,EXELTIS CHILE,$25.999,20%,$20.799
942,SERTRALINA,SERONEX (B) 50mg X30COM.REC.,EXELTIS CHILE,$19.999,20%,$15.999
943,SERTRALINA,SERTAC 100MG.30COMP.RC.,ANDROMACO FARMA,$23.499,40%,$14.099
944,SERTRALINA,SERTAC 50MG.30COMP.REC.,ANDROMACO FARMA,$22.499,40%,$13.499
945,SERTRALINA,SERTRALINA (B) 50mg X30COM.,LABORATORIO CHILE,$2.499,85%,$375
