,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
856,GEMFIBROZILO 300mg X30CAP.,ANDROMACO FARMA,50%,$ 3.699,$ 1.850
857,GEMFIBROZILO 300mg X30CAP.,SANITAS S.A.,50%,$ 3.699,$ 1.850
858,GEMFIBROZILO 300mg X30CAP.,MINTLAB,50%,$ 3.699,$ 1.850
859,GEMFIBROZILO 600mg X20COM.,GENERICOS,64%,$ 4.099,$ 1.476
860,GEMFIBROZILO 600mg X20COM.,MINTLAB,64%,$ 4.099,$ 1.476
861,GEMFIBROZILO 600mg X20COM.,PASTEUR,64%,$ 4.099,$ 1.476
862,GEMFIBROZILO 600mg X20COM.,SANITAS S.A.,64%,$ 4.099,$ 1.476
863,GEMFIBROZILO 600mg X20COM.,ANDROMACO FARMA,64%,$ 4.099,$ 1.476
864,GEMFIBROZILO 600mg X20COM.,LABORATORIO CHILE,64%,$ 4.099,$ 1.476
865,GENTAMICINA 0.3% SOF.X5ml,LABORATORIO CHILE,71%,$ 3.099,$ 899
866,GENTAMICINA 0.3% SOF.X5ml,GENERICOS,71%,$ 3.099,$ 899
867,GENTAMICINA 0.3% SOF.X5ml,OPKO,71%,$ 3.099,$ 899
868,GENTAMICINA 0.3% SOF.X5ml,HOSPIFARMA,71%,$ 3.099,$ 899
869,GENTAMICINA 0.3% SOF.X5ml,PHARMATECH CHILE S.A.,71%,$ 3.099,$ 899
870,GENTAMICINA 0.3% UNG.OF.X3.5g,GENERICOS,49%,$ 6.499,$ 3.314
871,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,49%,$ 6.499,$ 3.314
872,GENTAMICINA 80mg X5AMP.,GENERICOS,97%,$ 3.299,$ 99
873,GENTAMICINA 80mg X5AMP.,RECALCINE,97%,$ 3.299,$ 99
874,GENTAMICINA 80mg X5AMP.,ANDROMACO FARMA,97%,$ 3.299,$ 99
875,GENTAMICINA 80mg X5AMP.,LABORATORIO CHILE,97%,$ 3.299,$ 99
876,GESER 30mg X30COM.REC.,RECALCINE,77%,$ 78.399,$ 18.032
877,GESER 60mg X30COM.REC.,RECALCINE,25%,$ 157.999,$ 118.499
878,GESIDOL 500 MG BE X 24 COMPRIMIDOS,MEDIPHARM,29%,$ 1.490,$ 1.058
879,GESIDOL NIÑOS 160mg X16COM.MAST.,MEDIPHARM,62%,$ 2.399,$ 912
880,GESIPROCT X 30 GR.,MEDIPHARM,25%,$ 10.399,$ 7.799
881,GESTEL 100mg X30CAP.BLANDAS,EXELTIS CHILE,20%,$ 17.499,$ 13.999
882,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,20%,$ 17.999,$ 14.399
883,GIABRI 100mg X30COM.,MERCK SA CHILE,49%,$ 23.699,$ 12.086
884,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,25%,$ 14.599,$ 10.949
885,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,25%,$ 5.799,$ 4.349
886,GINODERM 0.06% GEL X80g,RECALCINE,68%,$ 24.499,$ 7.840
887,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,38%,$ 7.699,$ 4.773
888,GLIBENCLAMIDA (B) 5mg X60COM.,GENERICOS,83%,$ 1.199,$ 204
889,GLIBENCLAMIDA (B) 5mg X60COM.,MINTLAB,83%,$ 1.199,$ 204
890,GLIBENCLAMIDA (B) 5mg X60COM.,RECALCINE,83%,$ 1.199,$ 204
891,GLIBENCLAMIDA (B) 5mg X60COM.,SANITAS S.A.,83%,$ 1.199,$ 204
892,GLIBENCLAMIDA (B) 5mg X60COM.,ANDROMACO FARMA,83%,$ 1.199,$ 204
893,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,83%,$ 1.199,$ 204
894,GLIDANIL 500mg. BE x 30 compr.,MEDIPHARM,46%,$ 3.199,$ 1.727
895,GLIDANIL 850 MG. 30 comprimidos (BE),MEDIPHARM,71%,$ 4.099,$ 1.189
896,GLIFORTEX XR 1000 COMP.X30,ANDROMACO FARMA,30%,$ 13.999,$ 9.799
897,GLIFORTEX XR 500 COMP.X30,ANDROMACO FARMA,30%,$ 7.699,$ 5.389
898,GLIFORTEX XR 750 COMP.X30,ANDROMACO FARMA,30%,$ 11.999,$ 8.399
899,GLUCOSA 5% X500ml,GENERICOS,53%,$ 1.499,$ 705
900,GLUCOSA 5% X500ml,HOSPIFARMA,53%,$ 1.599,$ 752
901,GLUCOSA 5% X500ml,SANDERSON S.A.,53%,$ 1.499,$ 705
902,GLUCOSALINO ISOTONICO X500ml,GENERICOS,81%,$ 1.799,$ 342
903,GLUCOSALINO ISOTONICO X500ml,HOSPIFARMA,81%,$ 1.899,$ 361
904,GLUCOSALINO ISOTONICO X500ml,SANDERSON S.A.,81%,$ 1.799,$ 342
905,GLUCOVANCE 500/5 COMP.X30,MERCK SA CHILE,30%,$ 17.599,$ 12.319
906,GLUKAUT 500/5 X60COM.,SANITAS S.A.,90%,$ 10.999,$ 1.100
907,GONAL F 75UI X1AMP.,MERCK SA CHILE,40%,$ 41.099,$ 24.659
908,GONAL F INYECTOR 300UI/0.75ml X1F-A,MERCK SA CHILE,28%,$ 161.099,$ 115.991
909,GOTELY 0.4mg CAPS.X30,TECNOFARMA LTDA.,25%,$ 14.699,$ 11.024
910,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,87%,$ 16.999,$ 2.210
911,GRIFOCLOBAM 10MG 20C,LABORATORIO CHILE,35%,$ 21.099,$ 13.714
912,GRIFODILZEM 60mg COMP.X60,LABORATORIO CHILE,35%,$ 17.999,$ 11.699
913,GRIFOPARKIN 30C,LABORATORIO CHILE,87%,$ 15.999,$ 2.080
914,GYNORELLE X28COM.REC.,RECALCINE,50%,$ 21.999,$ 11.000
915,HALOPERIDOL 1mg X30COM.,GENERICOS,52%,$ 4.999,$ 2.400
916,HALOPERIDOL 1mg X30COM.,SYNTHON,52%,$ 4.999,$ 2.400
917,HALOPERIDOL 5mg X20COM.,SYNTHON,49%,$ 6.999,$ 3.569
918,HALOPERIDOL 5mg X20COM.,GENERICOS,49%,$ 6.999,$ 3.569
919,HEMOFOLIC 30CAP.,EXELTIS CHILE,20%,$ 16.999,$ 13.599
920,HIDROCLOROTIAZIDA (B) 50mg X20COM.,GENERICOS,68%,$ 1.399,$ 448
921,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,68%,$ 1.399,$ 448
922,HIDROCLOROTIAZIDA (B) 50mg X20COM.,MINTLAB,68%,$ 1.399,$ 448
923,HIDROCLOROTIAZIDA (B) 50mg X20COM.,PASTEUR,68%,$ 1.399,$ 448
924,HIDROCLOROTIAZIDA (B) 50mg X20COM.,RECALCINE,68%,$ 1.399,$ 448
925,HIDROCLOROTIAZIDA (B) 50mg X20COM.,SANITAS S.A.,68%,$ 1.399,$ 448
926,HIDROCLOROTIAZIDA (B) 50mg X20COM.,ANDROMACO FARMA,68%,$ 1.399,$ 448
927,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,51%,$ 5.299,$ 2.597
928,HIDROCORTISONA 20mg X20COM.,GENERICOS,51%,$ 5.299,$ 2.597
929,HIDROXICARBAMIDA 500mg X100COM.,BESTPHARMA,57%,$ 67.399,$ 28.982
930,HIDROXICARBAMIDA 500mg X100COM.,BIOTOSCANA,57%,$ 67.399,$ 28.982
931,HIDROXICARBAMIDA 500mg X100COM.,GENERICOS,57%,$ 67.399,$ 28.982
932,HIDROXIDO ALUMINIO 6% SOL.X180ml,GENERICOS,38%,$ 2.199,$ 1.363
933,HIDROXIDO ALUMINIO 6% SOL.X180ml,PASTEUR,38%,$ 2.199,$ 1.363
934,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,38%,$ 2.199,$ 1.363
935,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,79%,$ 3.899,$ 819
936,HIPERFLEX K FTE.X60COM.,RECALCINE,25%,$ 32.399,$ 24.299
937,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,53%,$ 43.099,$ 20.257
938,HIPOGLOS PDA.100g,ANDROMACO FARMA,20%,$ 6.399,$ 5.119
939,HIPOGLOS PDA.20g,ANDROMACO FARMA,20%,$ 3.499,$ 2.799
940,HIPOGLOS PDA.60g,ANDROMACO FARMA,20%,$ 4.499,$ 3.599
941,HIPOGLUCIN 1000 LP 30 C,LABORATORIO CHILE,35%,$ 12.299,$ 7.994
942,HIPOGLUCIN 1000 LP 60 C,LABORATORIO CHILE,35%,$ 22.399,$ 14.559
943,HIPOGLUCIN 1GR 30C,LABORATORIO CHILE,35%,$ 16.699,$ 10.854
944,HIPOGLUCIN 500 MG 30 C LP,LABORATORIO CHILE,35%,$ 7.499,$ 4.874
945,HIPOGLUCIN 500 MG 60 C LP,LABORATORIO CHILE,35%,$ 11.599,$ 7.539
946,HIPOGLUCIN 750 LP 30 C,LABORATORIO CHILE,43%,$ 12.399,$ 7.067
947,HIPOGLUCIN 750 LP 60 C,LABORATORIO CHILE,35%,$ 20.299,$ 13.194
948,HIPOGLUCIN 850MG 30CR,LABORATORIO CHILE,35%,$ 7.499,$ 4.874
949,HIPOGLUCIN 850MG 60 CR,LABORATORIO CHILE,35%,$ 15.899,$ 10.334
950,HIPOGLUCIN DA 500MG/2.5MG 30C,LABORATORIO CHILE,35%,$ 8.999,$ 5.849
951,HIPOGLUCIN DA 500MG/5MG 30C,LABORATORIO CHILE,35%,$ 9.599,$ 6.239
952,HORMOGEL PUMP 0.1% GEL TRANS. 35g,SILESIA,30%,$ 13.999,$ 9.799
953,HYABAK SOL.OFT.10ml,THEA PHARMA SPA,48%,$ 25.999,$ 13.519
954,IBAMES 150mg COMP.X1,ANDROMACO FARMA,30%,$ 32.999,$ 23.099
955,IBAMES CD CAPS.X30,ANDROMACO FARMA,30%,$ 25.999,$ 18.199
956,IBANOX (B) 150mg X1COM.REC.,PASTEUR,20%,$ 21.999,$ 17.599
957,IBUPROFENO (B) 400mg X20COM.,GENERICOS,75%,$ 1.399,$ 350
958,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,75%,$ 1.399,$ 350
959,IBUPROFENO (B) 400mg X20COM.,OPKO,75%,$ 1.399,$ 350
960,IBUPROFENO (B) 400mg X20COM.,GENEXX,75%,$ 1.399,$ 350
961,IBUPROFENO (B) 400mg X20COM.,MINTLAB,75%,$ 1.399,$ 350
962,IBUPROFENO (B) 400mg X20COM.,RECALCINE,75%,$ 1.399,$ 350
963,IBUPROFENO (B) 400mg X20COM.,EUROFARMA CHILE S.A.,75%,$ 1.399,$ 350
964,IBUPROFENO (B) 400mg X20COM.,ANDROMACO FARMA,75%,$ 1.399,$ 350
965,IDON PED.30mg X5SUP.,SAVAL S.A.,32%,$ 15.999,$ 10.879
966,IMIPRAMINA 25mg X40COM.,GENERICOS,64%,$ 1.799,$ 648
967,IMIPRAMINA 25mg X40COM.,RECALCINE,64%,$ 1.799,$ 648
968,IMIPRAMINA 25mg X40COM.,ANDROMACO FARMA,64%,$ 1.799,$ 648
969,IMIPRAMINA 25mg X40COM.,LABORATORIO CHILE,64%,$ 1.799,$ 648
970,INFLUMIX 20mcg INH.X200DS.,RECALCINE,64%,$ 13.799,$ 4.968
971,INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,92%,$ 34.999,$ 2.800
972,INTAXEL 1 MG 30 C,LABORATORIO CHILE,35%,$ 30.999,$ 20.149
973,INVOKANA 100mg X30COM.,JANSSEN,25%,$ 34.399,$ 25.799
974,INVOKANA 300mg X30COM.,JANSSEN,25%,$ 41.199,$ 30.899
975,IPRAN (B) 10mg X30COM.REC.,RECALCINE,35%,$ 27.099,$ 17.614
976,IPRAN (B) 20mg X30COM.REC.,RECALCINE,35%,$ 48.999,$ 31.849
977,IRAZEM (B) 15mg X30COM.,DEUTSCHE PHARMA S.A.,78%,$ 40.999,$ 9.020
978,IRAZEM 10mg X30COM.,DEUTSCHE PHARMA S.A.,23%,$ 36.999,$ 28.489
979,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,20%,$ 22.999,$ 18.399
980,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,20%,$ 24.199,$ 19.359
981,ISOPRINOSINE 500mg COMP.X20,ANDROMACO FARMA,30%,$ 44.399,$ 31.079
982,ISOSORBIDE 10mg X60COM.,GENERICOS,92%,$ 3.999,$ 320
983,ISOSORBIDE 10mg X60COM.,MINTLAB,92%,$ 3.999,$ 320
984,ISOSORBIDE 10mg X60COM.,SANOFI PASTEUR S.A.,92%,$ 3.999,$ 320
985,ISOSORBIDE 10mg X60COM.,AVENTIS,92%,$ 3.999,$ 320
986,ISOSORBIDE 10mg X60COM.,ANDROMACO FARMA,92%,$ 3.999,$ 320
987,JANUMET 50/1000 COMP.X56,MERCK SHARP&DOME,30%,$ 49.999,$ 34.999
988,JANUMET 50/500 COMP.X28,MERCK SHARP&DOME,25%,$ 31.999,$ 23.999
989,JANUMET 50/500 COMP.X56,MERCK SHARP&DOME,30%,$ 46.099,$ 32.269
990,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,33%,$ 38.299,$ 25.660
991,JERINGA DESECH.1ml TUBERCULINA 25G,MED CELL IMPORTACIONES,94%,$ 499,$ 30
992,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,93%,$ 599,$ 42
993,KALITIUM 300mg COM.X50,EUROFARMA CHILE S.A.,30%,$ 9.299,$ 6.509
994,KALITIUM 450mg COM.X30,EUROFARMA CHILE S.A.,30%,$ 9.799,$ 6.859
995,KALMAFTA GEL 20ml,ANDROMACO FARMA,20%,$ 4.799,$ 3.839
996,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,71%,$ 1.799,$ 522
997,KETOPROFENO (B) 50mg X20CAP.,ANDROMACO FARMA,71%,$ 1.799,$ 522
998,KETOPROFENO (B) 50mg X20CAP.,MINTLAB,71%,$ 1.799,$ 522
999,KETOPROFENO (B) 50mg X20CAP.,GENERICOS,71%,$ 1.799,$ 522
1000,KETOPROFENO 100mg/2ml IV AMP.X5,GENERICOS,25%,$ 5.499,$ 4.124
1001,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,25%,$ 5.499,$ 4.124
1002,KETOPROFENO 50mg X20CAP.,RECALCINE,71%,$ 1.799,$ 522
1003,KETOPROFENO 50mg X20CAP.,SANITAS S.A.,71%,$ 1.799,$ 522
1004,KETOPROFENO 50mg X20CAP.,EUROFARMA CHILE S.A.,71%,$ 1.799,$ 522
1005,KILNITS 1% SH.60ml,ANDROMACO FARMA,20%,$ 3.699,$ 2.959
1006,KILNITS 1% SH.X100ml,ANDROMACO FARMA,80%,$ 8.399,$ 1.680
1007,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,51%,$ 7.899,$ 3.871
1008,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,56%,$ 46.299,$ 20.372
1009,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,64%,$ 47.999,$ 17.280
1010,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,69%,$ 24.299,$ 7.533
1011,KOPODEX (B) 500mg X60COM.REC.,RECALCINE,35%,$ 44.499,$ 28.924
1012,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,63%,$ 19.199,$ 7.104
1013,KOPODEX XR 500mg X30COM.,RECALCINE,35%,$ 26.099,$ 16.964
1014,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,50%,$ 16.199,$ 8.100
1015,LACTIL 1g X6SOB.,LABORATORIO CHILE,30%,$ 10.999,$ 7.699
1016,LACTULOSA 65% SOL.ORAL 200ml,MED CELL RECETARIO,25%,$ 7.499,$ 5.624
1017,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,65%,$ 33.999,$ 11.900
1018,LADEE (B) X28COM.REC.,EXELTIS CHILE,20%,$ 15.999,$ 12.799
1019,LADEE 20 (B) X28COM.REC.,EXELTIS CHILE,20%,$ 14.999,$ 11.999
1020,LADYGEX (B) X28COM.,MINTLAB,30%,$ 9.799,$ 6.859
1021,LADYGEX 20 (B) COM.X28,MINTLAB,30%,$ 10.499,$ 7.349
1022,LAFIGIN (B) 25mg X30COM.,RECALCINE,25%,$ 15.999,$ 11.999
1023,LAFIGIN (B) 50mg X30COM.,RECALCINE,25%,$ 29.199,$ 21.899
1024,LAFIGIN 100mg X30COM.,RECALCINE,25%,$ 35.999,$ 26.999
1025,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,25%,$ 31.699,$ 23.774
1026,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,76%,$ 58.299,$ 13.992
1027,LAFIGIN XR 50mg X30COM.REC.,RECALCINE,20%,$ 25.499,$ 20.399
1028,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,74%,$ 24.999,$ 6.500
1029,LAGRIMAS ARTIFICIALES SOF.X15ml,ANDROMACO FARMA,62%,$ 2.799,$ 1.064
1030,LAGRIMAS ARTIFICIALES SOF.X15ml,LABORATORIO CHILE,62%,$ 2.799,$ 1.064
1031,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,62%,$ 2.799,$ 1.064
1032,LAGRIMAS ARTIFICIALES SOF.X15ml,GENERICOS,62%,$ 2.799,$ 1.064
1033,LAGRIMAS ARTIFICIALES SOF.X15ml,PHARMATECH CHILE S.A.,62%,$ 2.799,$ 1.064
1034,LAMICTAL (R) 50mg X30COM.,GLAXO,46%,$ 41.999,$ 22.679
1035,LAMOTRIGINA 50mg X30COM.DISP.,GENERICOS,84%,$ 7.099,$ 1.136
1036,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,84%,$ 7.099,$ 1.136
1037,LAMPIT 120mg X100COM.,BAYER ETICO,22%,$ 122.999,$ 95.939
1038,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,17%,$ 19.799,$ 16.433
1039,LANZOPRAL 30mg COMP.X28,PHARMA INVESTI,20%,$ 26.699,$ 21.359
1040,LANZOPRAL HELIPACK X14DS.,PHARMA INVESTI,42%,$ 37.899,$ 21.981
1041,LANZOPRAZOL 30mg COMP.X30,GENERICOS,30%,$ 4.299,$ 3.009
1042,LANZOPRAZOL 30mg COMP.X30,OPKO,30%,$ 4.299,$ 3.009
1043,LANZOPRAZOL 30mg COMP.X30,LABORATORIO CHILE,30%,$ 4.299,$ 3.009
1044,LANZOPRAZOL 30mg COMP.X30,MINTLAB,30%,$ 4.299,$ 3.009
1045,LANZOPRAZOL 30mg COMP.X30,SYNTHON,30%,$ 4.299,$ 3.009
1046,LARGACTIL 100mg X20COM.REC.,AVENTIS,74%,$ 10.099,$ 2.626
1047,"LATANOPROST 50mcg/ml SOF.X2,5ml",OPKO,45%,$ 8.399,$ 4.619
1048,"LATANOPROST 50mcg/ml SOF.X2,5ml",GENERICOS,45%,$ 8.399,$ 4.619
1049,LAUNOL SH.X120ml,LABORATORIO CHILE,51%,$ 6.999,$ 3.430
1050,LAX SOB.X7,ANDROMACO FARMA,48%,$ 10.699,$ 5.563
1051,LEODRIN (B) 70mg X12COM.REC.,RECALCINE,88%,$ 22.999,$ 2.760
1052,LEODRIN 70 DUO X4/56COM.REC.,RECALCINE,25%,$ 22.299,$ 16.724
1053,LEODRIN PLUS 5600 X5COM.,RECALCINE,25%,$ 28.999,$ 21.749
1054,LEROGIN X30GRA.,RECALCINE,50%,$ 21.399,$ 10.700
1055,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,61%,$ 31.999,$ 12.480
1056,LEVOFAMIL 250/25 COMP.X30,ANDROMACO FARMA,30%,$ 20.999,$ 14.699
1057,LEVROX (B) 4mg/2ml X5AMP.,SYNTHON,91%,$ 5.299,$ 477
1058,LEXAPRO (R) 10mg X14COM.REC.,LUNDBECK,20%,$ 21.999,$ 17.599
1059,LEXAPRO (R) 10mg X28COM.REC.,LUNDBECK,20%,$ 38.999,$ 31.199
1060,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,20%,$ 60.899,$ 48.719
1061,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,20%,$ 57.999,$ 46.399
1062,LEXIE20 28COMP,EXELTIS CHILE,20%,$ 10.999,$ 8.799
1063,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,78%,$ 16.299,$ 3.586
1064,LIDOCAINA 2% 5ml X5AMP.,GENERICOS,94%,$ 1.399,$ 84
1065,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,94%,$ 1.399,$ 84
1066,LINFONEX (B) 250mg X60COM.REC.,RECALCINE,35%,$ 65.099,$ 42.314
1067,LINFONEX (B) 500mg X30COM.REC.,RECALCINE,35%,$ 65.999,$ 42.899
1068,LIORESYL 10mg X60COM.,NOVARTIS CHILE S.A.,27%,$ 65.999,$ 48.179
1069,LIPOX 10 MG 30 CR Z BE,LABORATORIO CHILE,35%,$ 10.999,$ 7.149
1070,LIPOX 20 MG 30 CR Z BE,LABORATORIO CHILE,35%,$ 20.999,$ 13.649
1071,LIPOX 40 MG 30 CR Z BE,LABORATORIO CHILE,35%,$ 34.399,$ 22.359
1072,LIPOX 80 MG 30 CR Z BE,LABORATORIO CHILE,39%,$ 37.499,$ 22.874
1073,LIRACOL x 20 comprimidos,MEDIPHARM,25%,$ 3.799,$ 2.849
1074,LIREX 2.5mg X30COM.,SILESIA,42%,$ 21.799,$ 12.643
1075,LIXIE X28 COM.REC,EXELTIS CHILE,20%,$ 10.999,$ 8.799
1076,LODIPRES 12.5MG 30C,LABORATORIO CHILE,35%,$ 18.099,$ 11.764
1077,LODIPRES 25MG 30C,LABORATORIO CHILE,35%,$ 17.099,$ 11.114
1078,LODIPRES 6.25 MG 30 C,LABORATORIO CHILE,35%,$ 10.299,$ 6.694
1079,LOPERAMIDA 2mg X6COM.,GENERICOS,81%,$ 699,$ 133
1080,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,81%,$ 699,$ 133
1081,LOPERAMIDA 2mg X6COM.,GENEXX,81%,$ 699,$ 133
1082,LOPERAMIDA 2mg X6COM.,MINTLAB,81%,$ 699,$ 133
1083,LOPERAMIDA 2mg X6COM.,BAGO,81%,$ 699,$ 133
1084,LOPERAMIDA 2mg X6COM.,ANDROMACO FARMA,81%,$ 699,$ 133
1085,LORATADINA (B)1 0mg X30COM.,GENERICOS,73%,$ 1.199,$ 324
1086,LORATADINA (B)10mg X30COM.,OPKO,73%,$ 1.199,$ 324
1087,LORATADINA (B)10mg X30COM.,LABORATORIO CHILE,73%,$ 1.199,$ 324
1088,LORATADINA (B)10mg X30COM.,MINTLAB,73%,$ 1.199,$ 324
1089,LORATADINA (B)10mg X30COM.,RECALCINE,73%,$ 1.199,$ 324
1090,LORATADINA (B)10mg X30COM.,ANDROMACO FARMA,73%,$ 1.199,$ 324
1091,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,70%,$ 7.899,$ 2.370
1092,LOSARTAN (B) 50mg X30COM.,GENERICOS,88%,$ 1.799,$ 216
1093,LOSARTAN (B) 50mg X30COM.,MINTLAB,88%,$ 1.799,$ 216
1094,LOSARTAN (B) 50mg X30COM.,ASCEND LABORATORIES SPA,88%,$ 1.799,$ 216
1095,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,88%,$ 1.799,$ 216
1096,LOSARTAN (B) 50mg X30COM.,ANDROMACO FARMA,88%,$ 1.799,$ 216
1097,LOSARTAN (B) 50mg X30COM.,PHARMA INVESTI,88%,$ 1.799,$ 216
1098,LOSARTAN (B) 50mg X30COM.,OPKO,88%,$ 1.799,$ 216
1099,LOSARTAN 100mg 30COM.REC.,SEVEN PHARMA CHILE SPA,70%,$ 7.899,$ 2.370
1100,LOSARTAN/HIDRO 100/25 COMP.X30,GENERICOS,30%,$ 2.999,$ 2.099
1101,LOSARTAN/HIDRO 100/25 COMP.X30,EUROFARMA CHILE S.A.,30%,$ 2.999,$ 2.099
1102,LOSARTAN/HIDROCL 100/25 X30COM.,HOSPIFARMA,30%,$ 2.999,$ 2.099
1103,LOSARTAN/HIDROCL COMP.X30,GENERICOS,30%,$ 5.199,$ 3.639
1104,LOSARTAN/HIDROCL COMP.X30,MINTLAB,30%,$ 5.199,$ 3.639
1105,LOSARTAN/HIDROCL COMP.X30,HOSPIFARMA,30%,$ 5.199,$ 3.639
1106,LOSARTAN/HIDROCL COMP.X30,EUROFARMA CHILE S.A.,30%,$ 4.699,$ 3.289
1107,LOSARTAN/HIDROCL COMP.X30,PHARMA INVESTI,30%,$ 5.199,$ 3.639
1108,LOSIRAL 2.5mg X30COM.REC.,RECALCINE,91%,$ 100.099,$ 9.009
1109,"LOSOPIL 7,5 mg. x 30 comprimidos",MEDIPHARM,25%,$ 5.399,$ 4.049
1110,LOVASTATINA 20mg X28COM.,MINTLAB,75%,$ 1.699,$ 425
1111,LOVASTATINA 20mg X28COM.,PASTEUR,75%,$ 1.699,$ 425
1112,LOVASTATINA 20mg X28COM.,ANDROMACO FARMA,75%,$ 1.699,$ 425
1113,LOVASTATINA 20mg X28COM.,RECALCINE,75%,$ 1.699,$ 425
1114,LOVASTATINA 20mg X28COM.,LABORATORIO CHILE,75%,$ 1.699,$ 425
1115,LOVASTATINA 20mg X28COM.,GENERICOS,75%,$ 1.699,$ 425
1116,LOVASTATINA 20mg X28COM.,EUROFARMA CHILE S.A.,75%,$ 1.699,$ 425
1117,LOVELLE CICL 1/0.25 COMP.X28,SILESIA,20%,$ 19.999,$ 15.999
1118,LOVELLE CONT 1/0.125 COMP.X28,SILESIA,20%,$ 22.099,$ 17.679
1119,LUVAT 100mg. 30 comprimidos,MEDIPHARM,25%,$ 18.999,$ 14.249
1120,LUVOX 100mg X30COM.,ABBOTT CHILE,51%,$ 41.799,$ 20.482
1121,MADOZIDE (B) 200/50 X30COM.,LABORATORIO CHILE,35%,$ 17.999,$ 11.699
1122,MALTOFER 100mg BEB.X10,ANDROMACO FARMA,30%,$ 19.999,$ 13.999
1123,MALTOFER 50mg GTAS.30ml,ANDROMACO FARMA,55%,$ 17.999,$ 8.100
1124,MALTOFER FOL PLUS COMP.X30,ANDROMACO FARMA,30%,$ 22.499,$ 15.749
1125,MANHAE X30CAP.,PASTEUR,20%,$ 17.599,$ 14.079
1126,MAREAMIN 100mg COMP.X20,EUROFARMA CHILE S.A.,30%,$ 10.299,$ 7.209
1127,MARILOW X28COM.,RECALCINE,25%,$ 17.199,$ 12.899
1128,MEBENDAZOL 100mg X6COM.,GENERICOS,50%,$ 1.299,$ 650
1129,MEBENDAZOL 100mg X6COM.,MINTLAB,50%,$ 1.299,$ 650
1130,MEBENDAZOL 100mg X6COM.,PASTEUR,50%,$ 1.299,$ 650
1131,MEBENDAZOL 100mg X6COM.,LABORATORIO CHILE,50%,$ 1.299,$ 650
1132,MEDAZOL GEL 30 grs.,MEDIPHARM,25%,$ 7.399,$ 5.549
1133,MEDITOINA 135 mg. x 30 comprimidos,MEDIPHARM,25%,$ 13.999,$ 10.499
1134,MEDROL 4mg X20COM.,PFIZER,33%,$ 18.099,$ 12.126
1135,MEMOREX X60CAP.,RECALCINE,65%,$ 30.199,$ 10.570
1136,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,11%,$ 12.299,$ 10.946
1137,METFORMINA (B) 850mg X30COM.REC.,OPKO,67%,$ 2.399,$ 792
1138,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,67%,$ 2.399,$ 792
1139,METFORMINA (B) 850mg X30COM.REC.,ANDROMACO FARMA,67%,$ 2.399,$ 792
